Question	Which is a nonrenewable resource?	question
Answer	oil	answer
0	oil is a nonrenewable resource	gold
1	fossil fuels are a nonrenewable resource	nongold
2	oil is a kind of fossil fuel	nongold
3	natural gas is a nonrenewable resource	nongold
4	renewable is the opposite of nonrenewable	nongold
5	petroleum is a kind of fossil fuel	nongold
6	oil is a kind of energy resource	nongold
7	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	gold
8	fossil fuels are a kind of energy resource	nongold
9	a nonrenewable resource is limited in supply	nongold
10	oil is a kind of substance; matter	nongold
11	a fossil fuel is a kind of natural resource	nongold
12	coal is a nonrenewable resource	nongold
13	a material is a kind of resource	nongold
14	minerals are a nonrenewable resource	nongold
15	metal is a nonrenewable resource	nongold
16	natural gas is a kind of fossil fuel	nongold
17	oil is a kind of liquid	nongold
18	oil is a kind of liquid	nongold
19	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
20	an event is a kind of action	nongold
21	a renewable resource is a kind of natural resource	nongold
22	an inexhaustible resource is a kind of renewable resource	nongold
23	a source of something emits; produces; generates; provides that something	nongold
24	a process is a kind of event	nongold
25	if something is a raw material then that something comes directly from a source	nongold
26	oil is  insoluble in water	nongold
27	plastic is a nonrenewable resource	nongold
28	a renewable resource is a kind of naturally replaced resource	nongold
29	nonrenewable resources will eventually be depleted	nongold
30	if something is a raw material in a process then that something is required for that process	nongold
31	renewable resources are often available for many years	nongold
32	can be means able to be	nongold
33	oil is a source of energy	nongold
34	aluminum is a nonrenewable resource	nongold
35	food is a kind of resource	nongold
36	a part of a process means a stage in a process	nongold
37	a supply of something is a source of that something	nongold
38	to be formed by is similar to being produced by	nongold
39	a change is a kind of event	nongold
40	an energy source is a kind of resource	nongold
41	if something releases something else then that something is the source of that something else	nongold
42	water is a renewable resource	nongold
43	answering questions requires information	nongold
44	generate means produce	nongold
45	if something causes a process then that something is required for that process	nongold
46	coal is a kind of fossil fuel	nongold
47	a producer is a kind of living thing	nongold
48	resources sometimes are used for energy	nongold
49	petroleum is a source of raw material for the production of plastics	nongold
50	a renewable resource can be renewed	nongold
51	products are formed; are produced; are created	nongold
52	affected means changed	nongold
53	a motion is a kind of event; action	nongold
54	to be used for something means to be required by that something	nongold
55	producing is a kind of process	nongold
56	an object; material; substance comes from that object or material's source	nongold
57	a component means a part of	nongold
58	if something transfers something else then that something is a source of something else	nongold
59	land is a kind of resource	nongold
60	where something  comes from is a source of that something	nongold
61	a component of something means a part of that something	nongold
62	vegetable oil is a renewable resource	nongold
63	oil is a kind of pollutant	nongold
64	if something comes from something else then that something else is a source of that something	nongold
65	something that happens is a kind of event	nongold
66	fossil fuels have high potential energy	nongold
67	to depend on; to rely on; to need means to require	nongold
68	composed of means made of	nongold
69	carbon dioxide is a kind of gas	nongold
70	if something gains something from something else then that something else is a source of that something	nongold
71	material means substance	nongold
72	if something requires something else then that something requires a source of that something else	nongold
73	a step in a process means a stage in a process	nongold
74	water is a kind of natural resource	nongold
75	water is a kind of natural resource	nongold
76	water is more dense than oil	nongold
77	animals are a renewable resource	nongold
78	a source of something supplies that something	nongold
79	approximately means about	nongold
80	all elements are a kind of pure substance	nongold
81	oil is used for producing electricity	nongold
82	emit means produce	nongold
83	made up of means contains; made of	nongold
84	renewable resources can be used over again	nongold
85	form means kind	nongold
86	plants are a kind of resource	nongold
87	alternative fuel is usually a renewable resource	nongold
88	typically means usually	nongold
89	if something is powered by something else then that something requires a source of that something else	nongold
90	fossil fuel contains chemical energy	nongold
91	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
92	to be made of something means to be formed of that something	nongold
93	fuel supply is a kind of resource	nongold
94	a liquid is a kind of substance	nongold
95	length of time means period of time	nongold
96	an element is a kind of  substance	nongold
97	quantity means amount	nongold
98	to be made of means to consist of	nongold
99	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
