Question	In order for students to perform lab experiments safely and accurately, they should	question
Answer	read and understand all directions before starting the experiment.	answer
0	performing lab expiriments accurately requires reading; understanding all directions beforehand	gold
1	a student is a kind of human	nongold
2	experiment is synonymous with test	nongold
3	direction is similar to instruction	nongold
4	motion is when moves an object; something to a direction	nongold
5	reading is a kind of activity	nongold
6	lab equipment is often used for measuring; observing	nongold
7	experimentation requires measuring	nongold
8	navigation requires knowing direction	nongold
9	preparing for an experiment in a laboratory requires practicing safety	nongold
10	reading  requires seeing	nongold
11	toward is a kind of direction	nongold
12	safe is the opposite of unsafe; harm; danger	nongold
13	performing multiple trials of the same experiment increases the likelihood of obtaining accurate experiment results	nongold
14	observations; data are a part of the results of an experiment	nongold
15	being able to read is a kind of skill	nongold
16	a human is a kind of animal	nongold
17	measuring requires reading a measurement	nongold
18	to repeat an experiment means to perform multiple trials of the same experiment	nongold
19	answering questions requires information	nongold
20	trial is synonymous with test	nongold
21	away is a kind of direction	nongold
22	if an experiment is repeated then the results are more likely to be correct due to fewer errors being made	nongold
23	a classroom is a kind of a room	nongold
24	following orders is a learned characteristic	nongold
25	down is a kind of direction	nongold
26	performance is similar to ability	nongold
27	a process is a kind of event	nongold
28	undertaking is similar to doing	nongold
29	to happen means to occur	nongold
30	a part of a process means a stage in a process	nongold
31	a scientist is a kind of human	nongold
32	if something performs a task then that task is that something's function	nongold
33	if an event is required for a process then that event must occur before that process can occur	nongold
34	to pass means to occur	nongold
35	testing often requires measuring	nongold
36	instruction is a kind of information	nongold
37	investigation sometimes requires experimentation	nongold
38	person is synonymous with human	nongold
39	to be used for something means to be required by that something	nongold
40	a demonstration is similar to an example	nongold
41	a motion is a kind of event; action	nongold
42	if an animal is trained to do something then that something is a learned behavior	nongold
43	research is used for learning	nongold
44	can be means able to be	nongold
45	process is similar to method	nongold
46	a classroom is a kind of  area	nongold
47	a tool is a kind of object	nongold
48	helping means something can be done; completed more easily; better	nongold
49	a process usually requires all of the stages in that process	nongold
50	quickly means in a short period of time	nongold
51	to originate means to begin	nongold
52	rapidly means quickly	nongold
53	to protect means to make safe	nongold
54	to input means to add	nongold
55	affected means changed	nongold
56	a vehicle for something allows; enables that something to occur	nongold
57	measuring is a kind of science skill	nongold
58	instrument means tool	nongold
59	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
60	events occur at a specific place; at a specific time; with a specific frequency	nongold
61	protecting something means preventing harm to that something	nongold
62	a type is synonymous with a kind	nongold
63	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
64	skills are learned characteristics; behaviors	nongold
65	to slow; to slow down decreases speed	nongold
66	result means outcome	nongold
67	actions mean behavior	nongold
68	fast means quickly	nongold
69	learning; studying information causes one to know that information	nongold
70	bias can cause error in an experiment	nongold
71	high is similar to increase	nongold
72	getting information sometimes requires observing; observation	nongold
73	performing a task in less time; more quickly; faster has a positive impact on a person's life	nongold
74	form means kind	nongold
75	knowing sometimes requires determing	nongold
76	an event is a kind of action	nongold
77	to help; to benefit means to be of use	nongold
78	the function of something is what that something  is used to do	nongold
79	can means having the ability to	nongold
80	the ability to do means be able to do	nongold
81	to do a job means to perform a job	nongold
82	must have means require	nongold
83	an instrument is a piece of equipment	nongold
84	system means a set of objects	nongold
85	a velocity is a measure of a speed in a direction	nongold
86	requiring is similar to needing help	nongold
87	to advance means to improve	nongold
88	action means activity	nongold
89	coordinate is similar to control	nongold
90	material means substance	nongold
91	device means tool	nongold
92	if something causes a process then that something is required for that process	nongold
93	knowing the properties of something means knowing information about that something	nongold
94	variable means able to change	nongold
95	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
96	speed up means increase	nongold
97	travel means to move	nongold
98	sensing a warning means receiving a warning	nongold
99	good means positive	nongold
