Question	Minerals are formed by which process?	question
Answer	magma cooling	answer
0	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	gold
1	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
2	cooling is a kind of process	gold
3	the formation of something is a kind of process	nongold
4	magma is a kind of hot rock	nongold
5	the formation of rock is a kind of process	nongold
6	rock is made of minerals	nongold
7	all minerals are formed by natural geological processes	nongold
8	to be formed by is similar to being produced by	nongold
9	magma is found below the ground	nongold
10	temperature is a measure of heat energy	nongold
11	to be made of something means to be formed of that something	nongold
12	to cause the formation of means to form	nongold
13	a process is a kind of event	nongold
14	heat means heat energy	nongold
15	cooling means temperature decreases	nongold
16	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
17	formation of a state of matter is a kind of process	nongold
18	products are formed; are produced; are created	nongold
19	extreme heat and pressure change; metamorphose rock into metamorphic rock	nongold
20	a mineral is a kind of solid; natural material	nongold
21	evaporation is a kind of process	nongold
22	evaporating is a kind of phase change	nongold
23	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
24	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
25	state means form	nongold
26	to change into means to form	nongold
27	a volcano is a source of magma; lava	nongold
28	crystallization is a kind of process	nongold
29	if something causes a process then that something is required for that process	nongold
30	to add means to increase	nongold
31	to form means to create	nongold
32	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
33	geothermal energy is formed by magma heating Earth's crust	nongold
34	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
35	to be formed by is to be the result of	nongold
36	change is a kind of process	nongold
37	a change is a kind of event	nongold
38	metamorphosis is a kind of process	nongold
39	heating means adding heat	nongold
40	temperature changing can cause phase changes	nongold
41	melting is a kind of process	nongold
42	a source of something emits; produces; generates; provides that something	nongold
43	conversion is a kind of process	nongold
44	producing is a kind of process	nongold
45	to change means to cause a change	nongold
46	a part of a process means a stage in a process	nongold
47	emit means produce	nongold
48	to make means to form	nongold
49	a reaction is a kind of process	nongold
50	water is a kind of liquid at room temperature	nongold
51	forming something is a kind of change	nongold
52	decomposition is a kind of process	nongold
53	phase means state	nongold
54	a mineral is a kind of object	nongold
55	to emit means to release	nongold
56	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
57	liquid; solid means nongaseous	nongold
58	different classes of rocks are formed by different methods	nongold
59	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
60	composed of means made of	nongold
61	forming is similar to converting	nongold
62	high is similar to increase	nongold
63	adding heat means increasing temperature	nongold
64	cooling is a kind of condition	nongold
65	water is a kind of water phase	nongold
66	seafloor spreading causes cooled magma to form on the edges of tectonic plates on Earth	nongold
67	an increase is a kind of change	nongold
68	hot means high in heat energy; temperature	nongold
69	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
70	an event is a kind of action	nongold
71	a process usually requires all of the stages in that process	nongold
72	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
73	if something releases something else then that something is the source of that something else	nongold
74	something that happens is a kind of event	nongold
75	if something causes an increase in something else then that something produces that something else	nongold
76	affected means changed	nongold
77	to increase is similar to to create	nongold
78	condensation is a kind of process	nongold
79	melting is a kind of phase change	nongold
80	to generate means to form	nongold
81	to reduce means to decrease	nongold
82	a chemical reaction is a kind of process	nongold
83	rock is a kind of material	nongold
84	heat means temperature increases	nongold
85	freezing is a kind of phase change	nongold
86	to produce means to create	nongold
87	an increase is the opposite of a decrease	nongold
88	water is a kind of substance	nongold
89	made up of means contains; made of	nongold
90	temperature drop means cooling	nongold
91	metamorphic rock is a kind of rock	nongold
92	heating is the opposite of cooling	nongold
93	warmer means greater; higher in temperature; warmth	nongold
94	lava is a kind of matter	nongold
95	producing is similar to releasing	nongold
96	conduction is a kind of process	nongold
97	to be a source of something means to cause that something	nongold
98	freezing is a kind of  exothermic process	nongold
99	low is similar to decrease	nongold
