Question	At what temperature does pure water boil?	question
Answer	100°C	answer
0	boiling point means temperature at which a liquid boils; above which a liquid boils	gold
1	boiling is when liquids are heated above their boiling point	nongold
2	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
3	the boiling point of water is 212F; 100C; 373K	gold
4	boiling is a kind of phase change	nongold
5	boiling point is a property of a substance; material	nongold
6	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
7	water is a kind of liquid at room temperature	gold
8	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
9	steam;water vapor is a kind of water above 100 degrees celsius	nongold
10	heating means adding heat	nongold
11	water is an thermal; thermal energy conductor	nongold
12	temperature is a measure of heat energy	nongold
13	heat means temperature increases	nongold
14	melting point means temperature at which a solid melts; above which a solid melts	nongold
15	heat means heat energy	nongold
16	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
17	boiling point is the highest temperature a liquid can reach	nongold
18	to add means to increase	nongold
19	water is a kind of substance	nongold
20	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
21	heat energy is synonymous with thermal energy	nongold
22	all elements are a kind of pure substance	nongold
23	boiling point is a kind of physical  property	nongold
24	mass has no impact on boiling; melting; freezing point	nongold
25	adding heat means increasing temperature	nongold
26	a liquid is a kind of substance	nongold
27	if liquid is boiling then that liquid is hot	nongold
28	moisture means liquid; liquid water	nongold
29	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
30	pure water is neutral; 7 in pH level	nongold
31	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
32	conductivity is a property of a material; substance	nongold
33	to give off means to be the source of	nongold
34	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
35	volume has no impact on boiling; melting; freezing point	nongold
36	boiling is a kind of event	nongold
37	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
38	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
39	when a cooler object touches a warmer object , thermal conduction occurs	nongold
40	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
41	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
42	when gas compresses , the temperature of the gas increases	nongold
43	ability to undergo a phase change is a property of a substance; material	nongold
44	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
45	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
46	boiling point is an intensive property	nongold
47	a hot substance is a source of heat	nongold
48	metal is a thermal; thermal energy conductor	nongold
49	boiling means the volume of a liquid decreases	nongold
50	a solid is a kind of substance	nongold
51	evaporating is a kind of phase change	nongold
52	thermal conduction is when heat flows from warmer object to cooler object	nongold
53	melting is when solids are heated above their melting point	nongold
54	air temperature is a kind of temperature	nongold
55	air is usually a thermal; thermal energy insulator	nongold
56	heat means the transfer of thermal energy	nongold
57	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
58	gas is a kind of nonmetal	nongold
59	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
60	heating is the opposite of cooling	nongold
61	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
62	cooling means temperature decreases	nongold
63	a source of something emits; produces; generates; provides that something	nongold
64	gas is a kind of state of matter	nongold
65	if something emits something else then that something increases the amount of that something else	nongold
66	gas is a kind of material	nongold
67	warm means medium heat energy; temperature	nongold
68	melting is a kind of phase change	nongold
69	melting point is a property of a substance; material	nongold
70	worldwide temperature means atmospheric temperature	nongold
71	hot means high in heat energy; temperature	nongold
72	material means substance	nongold
73	a thermal insulator slows; prevents the transfer of heat	nongold
74	a phase change is a kind of physical change	nongold
75	a thermal conductor is made of materials that conduct thermal energy	nongold
76	wood is a thermal; thermal energy insulator	nongold
77	liquid is a kind of state of matter	nongold
78	gas is a kind of substance	nongold
79	wood is an thermal; thermal energy insulator	nongold
80	a source of something increases the amount of that something	nongold
81	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
82	the heat energy in the cooler object increases in thermal conduction	nongold
83	a heating element converts electrical energy; electricity into heat energy for heating	nongold
84	oxygen is a kind of gas at room temperature	nongold
85	if something is places over a heat source then that something is exposed to that heat source	nongold
86	a liquid is a kind of fluid	nongold
87	a source of heat can be used to heat something	nongold
88	a source of heat can be used to heat something	nongold
89	to reduce means to decrease	nongold
90	heating salt water causes the water to evaporate while the salt remains	nongold
91	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
92	vapor is synonymous with gas	nongold
93	mercury is liquid at room temperature	nongold
94	to combust means to catch fire	nongold
95	degrees celsius ( C ) is a metric unit used for measuring temperature generally used for values between -273.0 and 50000000.0	nongold
96	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
97	condensing is when gasses are  cooled below their boiling point	nongold
98	high is similar to increase	nongold
99	if heat is added to a substance then that substance absorbs that heat	nongold
