Question	Mr. Pratt does a science demonstration. He inflates a balloon, places it in a freezer, and then removes it after 10 minutes. Which best describes the balloon's volume when in the freezer and then after being removed and allowed to warm up?	question
Answer	contracts in the freezer and then expands as it gets warmer again	answer
0	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
1	a balloon is a kind of container	nongold
2	warm up means increase temperature	nongold
3	a balloon is a kind of object	nongold
4	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
5	a balloon contains gas	gold
6	contract is the opposite of expand	gold
7	expand means increase in volume	nongold
8	contract is a kind of change in volume	gold
9	remove means decrease	nongold
10	expand is a kind of change in volume	gold
11	being  on something; placed in something; placed over something means touching  that something	nongold
12	a freezer is used for cooling things	nongold
13	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
14	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
15	placing an object into a liquid causes the volume of the liquid to increase by the volume of object under the liquid	nongold
16	warmer means greater; higher in temperature; warmth	nongold
17	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
18	when water freezes , that water expands	nongold
19	to enable means to allow	nongold
20	if  something is placed in warm air then that something will become warm	nongold
21	warm; becoming warm means heat is added	gold
22	heat means temperature increases	gold
23	being in something means touching that something	nongold
24	temperature changing can cause volume of the object to change	nongold
25	colder; cooler means lower in temperature	nongold
26	if gas in a flexible container is heated then that container will expand	nongold
27	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
28	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
29	if  a  material is heated , then the  material will expand	nongold
30	liquids expand more than solids when heated	nongold
31	a demonstration is similar to an example	nongold
32	a balloon is highly flexible	gold
33	if gas is heated then that gas will expand; rise	nongold
34	to add means to increase	nongold
35	Matter in the gas phase has variable volume	gold
36	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
37	expand is a kind of change	nongold
38	the heat energy in the cooler object increases in thermal conduction	nongold
39	warm means medium heat energy; temperature	nongold
40	cooling means temperature decreases	gold
41	temperature is a measure of heat energy	nongold
42	Matter in the liquid phase has definite volume	nongold
43	adding heat means increasing temperature	nongold
44	a balloon is made of rubber	nongold
45	an increase is a kind of change	nongold
46	to lower means to decrease	nongold
47	heating means adding heat	gold
48	when a cooler object touches a warmer object , thermal conduction occurs	nongold
49	to be used for is similar to allowing	nongold
50	become warm means get warm	nongold
51	a freezer; refrigerator is cool; cold in temperature	gold
52	expand means increase in size	nongold
53	Matter in the solid phase has definite volume	nongold
54	to reduce means to decrease	nongold
55	something in a cold place becomes cold	nongold
56	increasing heat causes thermal expansion	nongold
57	an increase is the opposite of a decrease	gold
58	a container contains objects; material; substances	gold
59	if something is in something , then something is exposed to something	nongold
60	size; amount of space means volume	nongold
61	a decrease is a kind of change	nongold
62	cooler means colder	nongold
63	as heat increases , a flexible container containing gas will expand	gold
64	the volume of an object can be used to describe  the size of that object	nongold
65	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
66	heat means heat energy	nongold
67	contracting is a kind of movement	nongold
68	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
69	high is similar to increase	nongold
70	if one surface; one substance; one object touches something then one is exposed to that something	nongold
71	causing is similar to allowing	nongold
72	warm means warm temperature	nongold
73	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
74	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
75	heat energy is synonymous with thermal energy	nongold
76	water expanding when it freezes is a physical property of water	nongold
77	thermal conduction is when heat flows from warmer object to cooler object	nongold
78	if a substance has volume , then the substance takes up space	nongold
79	volume is a property of matter	nongold
80	if something has a definite volume , then its volume will not change when transferred into a different container	nongold
81	air is usually a thermal; thermal energy insulator	nongold
82	minutes are a kind of unit for measuring time	nongold
83	increase means more	nongold
84	variable means able to change	gold
85	the properties of something are used for describing that something	nongold
86	low is similar to decrease	nongold
87	as the volume  of a gas in a flexible container increases ,  the volume of the container will increase	nongold
88	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
89	a hot; warm something is a source of heat	nongold
90	if something emits something else then that something increases the amount of that something else	nongold
91	water is an thermal; thermal energy conductor	nongold
92	cold means low in temperature	nongold
93	doing something more means doing something again	nongold
94	freezing is a kind of phase change	nongold
95	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
96	volume has no impact on boiling; melting; freezing point	nongold
97	cool means cold	nongold
98	a container is a kind of object	nongold
99	heating is the opposite of cooling	nongold
