Question	Which type of scientist would study the relationship between simple machines and energy?	question
Answer	physicist	answer
0	a physicist studies energy	gold
1	a physicist is a kind of scientist	gold
2	a scientist is a kind of human	nongold
3	a complex machine is made of more than one simple machine	nongold
4	a type is synonymous with a kind	gold
5	a machine is a kind of object	nongold
6	a simple machine is a kind of tool	nongold
7	a machine is a kind of  device	nongold
8	scientists make observations	nongold
9	both means two	nongold
10	heat is a kind of energy	nongold
11	researcher is a kind of scientist	nongold
12	a theory is a kind of scientific term	nongold
13	a simple machine requires mechanical energy to function	gold
14	electrical energy is a kind of energy	nongold
15	if two or more things are in a relationship then those things impact each other	nongold
16	to study means to examine	nongold
17	matter; materials; substances are made of atoms; particles	nongold
18	a relationship occurs when two or more things interact with one another	nongold
19	nuclear energy is a kind of energy	nongold
20	studying is similar to investigating	nongold
21	energy transformation means one kind of energy changes into another kind of energy	nongold
22	if a tool is made of a simple machine then that tool uses the principle demonstrated in that simple machine	nongold
23	chemical energy is a kind of energy	nongold
24	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
25	studying is similar to observing	nongold
26	affected means changed	nongold
27	magnetic energy is a kind of energy	nongold
28	a source of something emits; produces; generates; provides that something	nongold
29	light is a kind of energy	nongold
30	light is a kind of energy	nongold
31	mechanical energy is a kind of energy	nongold
32	particles in objects are a kind of matter	nongold
33	thermal energy is a kind of energy	nongold
34	observations; data are a part of the results of an experiment	nongold
35	objects are made of materials; substances; matter	nongold
36	a particle is a kind of object	nongold
37	different is the opposite of the same	nongold
38	a lever is a kind of simple machine	nongold
39	an animal is a kind of living thing	nongold
40	if two things perform the same function then those two things are similar	nongold
41	a human is a kind of animal	nongold
42	electromagnetic energy is a kind of energy	nongold
43	Earth is a kind of planet	nongold
44	a screw is a kind of simple machine	nongold
45	opposite is a kind of different	nongold
46	an animal is a kind of organism	nongold
47	a hypothesis is a kind of scientific term	nongold
48	an atom is a kind of object	nongold
49	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
50	magnetism is a kind of energy	nongold
51	if two things are made from the same objects; material then those two things are similar	nongold
52	resources sometimes are used for energy	nongold
53	can be means able to be	nongold
54	a biologist is a kind of scientist	nongold
55	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
56	comparing requires observing that something	nongold
57	studying  something usually requires seeing that something	nongold
58	heat means heat energy	nongold
59	a type of something is a kind of property of that something	nongold
60	high is similar to increase	nongold
61	a physical property is a kind of property	nongold
62	location is a kind of relationship	nongold
63	an event is a kind of action	nongold
64	if two objects are similar , then the two objects share properties	nongold
65	if two objects are apart from each other then matter is between those two objects	nongold
66	person is synonymous with human	nongold
67	to impact means to affect	nongold
68	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
69	variable means able to change	nongold
70	impact means effect	nongold
71	a device is a kind of object	nongold
72	Charles Darwin was a kind of scientist	nongold
73	definite is the opposite of variable	nongold
74	temperature is a measure of heat energy	nongold
75	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
76	potential energy is a kind of energy	nongold
77	atoms are made of particles	nongold
78	if something is made by something else then that something is affected by that something else	nongold
79	chemical energy is a kind of potential energy	nongold
80	causing means influencing	nongold
81	classifying means grouping objects; materials by their properties	nongold
82	if something generates energy for something else then that something powers that something else	nongold
83	an object has properties	nongold
84	a living thing is a kind of object	nongold
85	food is a kind of chemical energy	nongold
86	a wheel and axle is a kind of simple machine	nongold
87	phase means state	nongold
88	classifying is when one sorts something by kind; type	nongold
89	an organism is a living thing	nongold
90	events occur at a specific place; at a specific time; with a specific frequency	nongold
91	a molecule is a kind of particle	nongold
92	energy conversion is similar to energy transformation	nongold
93	electricity means electrical energy	nongold
94	the effects of something is a property of that something	nongold
95	a pulley is a kind of simple machine	nongold
96	a planet is a kind of celestial object; body	nongold
97	not is similar to the opposite of	nongold
98	an atom is the smallest particle; unit that has the properties of an element	nongold
99	a theory is a kind of idea that has been tested and supported by results repeatedly	nongold
