Question	What is necessary to use on a telescope in order to photograph solar flares and solar prominences?	question
Answer	a light filter	answer
0	using a telescope to photograph solar events requires a light filter	gold
1	a solar prominence is a kind of solar event	gold
2	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	nongold
3	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	nongold
4	to be used for something means to be required by that something	nongold
5	to be required means to be necessary	gold
6	detailed observation of celestial objects requires a telescope	nongold
7	an optical telescope requires visible light for human to use	nongold
8	to depend on; to rely on; to need means to require	nongold
9	a solar flare is a kind of solar event	gold
10	a filter is a kind of tool for separating liquid from solid particles	nongold
11	astronomy is the study of celestial (objects, bodies)	nongold
12	a lens is a part of a telescope	nongold
13	essential means required	nongold
14	requiring something means needing that something	nongold
15	a star is a kind of celestial object; celestial body	nongold
16	the function of something is what that something  is used to do	nongold
17	sunlight is a kind of light	nongold
18	a filter is used for separating liquid from solid particles	nongold
19	requiring is similar to needing help	nongold
20	the sun is a source of light; light energy called sunlight	nongold
21	astronomy is a kind of branch of science	nongold
22	sunlight is a kind of solar energy	nongold
23	instrument means tool	nongold
24	solar radiation means solar energy	nongold
25	instrument means device	nongold
26	the Sun is a kind of star	nongold
27	the sun is a source of radiation; heat called sunlight	nongold
28	light is a kind of wave	nongold
29	to serve as means to be used as	nongold
30	answering questions requires information	nongold
31	a reflecting telescope is a kind of telescope	nongold
32	an optical telescope is a kind of telescope	nongold
33	the sun is the source of solar energy called sunlight	nongold
34	light is made of photons	nongold
35	sunlight means solar energy	nongold
36	a device is a kind of object	nongold
37	to illuminate means to light up	nongold
38	a camera is a kind of tool for recording images	nongold
39	if an object is in the light then that object is blocking the light	nongold
40	solar energy is a kind of light	nongold
41	an instrument is a piece of equipment	nongold
42	light is a kind of electromagnetic radiation	nongold
43	a magnifying glass is a kind of tool for observing small things	nongold
44	astronomical body means celestial body	nongold
45	a camera is used for recording images	nongold
46	a tool is a kind of object	nongold
47	brightness means amount of light	nongold
48	if something requires something else then that something requires a source of that something else	nongold
49	a planet is a kind of celestial object; body	nongold
50	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
51	visible light is a kind of  light	nongold
52	the sun is a kind of yellow dwarf	nongold
53	if something is required then that something must be provided	nongold
54	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
55	to make possible means to be required	nongold
56	if something causes a process then that something is required for that process	nongold
57	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
58	a hand lens; a magnifying lens is synonymous with a magnifying glass	nongold
59	emit means send out	nongold
60	light means light energy	nongold
61	can be means able to be	nongold
62	if an object is made of a material then that object has the properties of that material	nongold
63	optical tools are used for observing materials up close; in greater detail	nongold
64	to reflect light means to scatter light	nongold
65	to help; to benefit means to be of use	nongold
66	sunlight contains infrared light	nongold
67	to be used  for something means to help to do that something	nongold
68	to give off means to be the source of	nongold
69	light pollution is made of light	nongold
70	brightness is a property of a light source	nongold
71	a source of something emits; produces; generates; provides that something	nongold
72	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
73	light reflecting off of an object causes that object to be visible to the observer	nongold
74	a star produces light and heat	nongold
75	emit means produce	nongold
76	something is used for that something's purpose	nongold
77	if something is a raw material in a process then that something is required for that process	nongold
78	viewing means observing light	nongold
79	high is similar to increase	nongold
80	intensity of sunlight is similar to amount of sunlight	nongold
81	sunlight is made of ultraviolet, infrared, and visible light	nongold
82	sunspots occurs on the photosphere	nongold
83	detecting is similar to observing	nongold
84	objects are made of materials; substances; matter	nongold
85	if something performs a task then that task is that something's function	nongold
86	radiation means radiant energy	nongold
87	distance is a property of space and includes ordered values of close; far	nongold
88	solar energy is a kind of heat energy	nongold
89	observable means visible	nongold
90	a surface is a part of a material	nongold
91	a convex lens is a part of telescope	nongold
92	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
93	dark means a low amount of light	nongold
94	Earth is a kind of planet	nongold
95	affected means changed	nongold
96	must have means require	nongold
97	visible light is able to be seen without using equipment	nongold
98	extreme means very high in value	nongold
99	refraction is when light passes from one medium to another medium	nongold
