Question	A student is watching a local television weather report for Gloucester, Massachusetts. Which of the following is most likely included in this weather report?	question
Answer	the amount of moisture in the air	answer
0	moisture means liquid; liquid water	nongold
1	a weather report describes weather	gold
2	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
3	An example of moisture is water vapor in the atmosphere	nongold
4	Massachusetts is not located in an arctic environment	nongold
5	moisture is a property of air mass and includes ordered values of dry; humid	nongold
6	Massachusetts is a state located in the United States of America	nongold
7	weather is  a measure of the condition of the air in a place at a certain time	nongold
8	temperature is a measure of heat energy	nongold
9	air temperature is a kind of temperature	nongold
10	Massachusetts is not located on the boundary of two tectonic plates	nongold
11	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
12	a student is a kind of human	nongold
13	humidity is the amount of water vapor; moisture in the air; in the atmosphere	gold
14	air is a part of the environment	nongold
15	to report means to show	nongold
16	temperature is a property of weather	nongold
17	local means relating to a certain area	nongold
18	air is a kind of gas	nongold
19	the air is a kind of substance	nongold
20	weather is a property of a environment	nongold
21	atmosphere means  air	nongold
22	the atmosphere is a part of nature; the environment	nongold
23	to add means to increase	nongold
24	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
25	an increase is the opposite of a decrease	nongold
26	precipitation is a property of weather	nongold
27	the atmosphere contains gases; liquids; solids	nongold
28	precipitation is a kind of weather	nongold
29	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
30	the atmosphere is a kind of area	nongold
31	an increase is a kind of change	nongold
32	often is similar to likely	nongold
33	an air mass has similar temperature and moisture throughout it	nongold
34	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
35	quantity means amount	nongold
36	water vapor has an impact on weather conditions associated with an air mass	nongold
37	high is similar to increase	nongold
38	including means containing	nongold
39	water vapor is found in the atmosphere	nongold
40	less means a reduced amount	nongold
41	a decrease is a kind of change	nongold
42	heat means heat energy	nongold
43	moist means high in moisture	nongold
44	to reduce means to decrease	nongold
45	climate is the usual kind of weather in a location over a period of time	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	absorbing something from the air decreases the  amount of  that something in the air	nongold
48	to breathe in means to absorb air	nongold
49	to lower means to decrease	nongold
50	largest amount means most	nongold
51	water is a kind of substance	nongold
52	air is a kind of matter	nongold
53	weather  usually happens in troposphere	nongold
54	heat has a great impact on weather	nongold
55	measuring sometimes requires  recording; learning an amount	nongold
56	humidity is a property of  weather and include ordered values of dry; humid	gold
57	recording an observation sometimes requires measuring	nongold
58	storm is a kind of weather; weather event	nongold
59	humidity is a kind of water vapor	nongold
60	the atmosphere is similar to the sky	nongold
61	precipitation is when water falls from the sky	nongold
62	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
63	as distance from water decreases , humidity will increase	nongold
64	level is similar to amount; quantity	nongold
65	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
66	weather forecast means weather prediction	nongold
67	gas is a kind of substance	nongold
68	less is similar to decrease	nongold
69	heat energy is synonymous with thermal energy	nongold
70	atmospheric means of the atmosphere	nongold
71	moist air mass contains a high amount of water vapor	nongold
72	greatest means largest; highest; most amount of something	nongold
73	increase means more	nongold
74	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
75	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	nongold
76	a human is a kind of animal	nongold
77	heating means adding heat	nongold
78	average amount of precipitation is a property of climate	nongold
79	affected means changed	nongold
80	vapor is synonymous with gas	nongold
81	low is similar to decrease	nongold
82	Gloucestershire is a county located in England	nongold
83	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
84	answering questions requires information	nongold
85	sky conditions are a property of weather	nongold
86	rain is a kind of precipitation	nongold
87	adding heat means increasing temperature	nongold
88	dry means low in amount of water; wetness; moisture	nongold
89	variable means able to change	nongold
90	precipitation is a kind of natural occurrence; cause	nongold
91	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
92	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
93	to slow; to slow down decreases speed	nongold
94	Earth has air	nongold
95	determining often requires measuring; observing	nongold
96	higher means greater; above in value; amount; number	nongold
97	extreme means very high in value	nongold
98	water is a kind of liquid at room temperature	nongold
99	cloudy is a kind of  weather	nongold
