Question	To which group does an animal belong if it lays eggs and has scales and gills?	question
Answer	fish	answer
0	fish lay eggs	gold
1	a scale is a part of a fish	nongold
2	a fish is a kind of aquatic animal	nongold
3	a fish is a kind of animal	gold
4	a fish is a kind of scaled animal	gold
5	to belong to a group means to be a kind of something	gold
6	reptiles have scales	nongold
7	an animal is a kind of living thing	gold
8	amphibians lay eggs	nongold
9	to belong to a group means to be classified in that group	gold
10	an aquatic animal is a kind of animal	nongold
11	gills are a part of a fish used for breathing water	gold
12	an egg is a kind of object	nongold
13	a gill is a kind of organ for breathing water	nongold
14	some adult animals lay eggs	nongold
15	laying eggs is a kind of property of an animal	gold
16	a living thing is a kind of object	gold
17	an organism is a living thing	nongold
18	to belong to a class means to be a kind of something	nongold
19	an animal's scales are small in size	nongold
20	an animal is a member of an animal species	nongold
21	a fish is a kind of predator	nongold
22	reptiles lay eggs	nongold
23	a shark is a kind of fish	nongold
24	an animal is a kind of organism	nongold
25	if an animal hatches from an egg then that animal is born	nongold
26	amphibians hatch from eggs	nongold
27	a bird is a kind of animal	nongold
28	a bird is a kind of living thing	nongold
29	species means a group of like organisms	nongold
30	fish eat insects	nongold
31	scales are a covering around the body of a scaled animal	nongold
32	a fish lives in water	nongold
33	an amphibian is a kind of animal	nongold
34	gills are used for breathing water by aquatic animals	nongold
35	gills are a part of trout	nongold
36	an egg is a kind of food	nongold
37	some animals have offspring by laying eggs	nongold
38	An example of reproduction is laying eggs	nongold
39	scales are found on the skin of scaled animals	nongold
40	young amphibians breathe through gills	nongold
41	an egg requires warmth to survive; hatch; develop	nongold
42	a structure of something is synonymous with a part of that something	nongold
43	a reptile is a kind of animal	nongold
44	fish is a kind of meat	nongold
45	a mammal is a kind of animal	nongold
46	to group means to separate	nongold
47	an animal is a kind of eukaryote	nongold
48	category means kind	nongold
49	fish have been on Earth for 419000000 years	nongold
50	an animal requires a mate to fertilize an egg	nongold
51	aquatic animal means water animal	nongold
52	to be made of something means to be formed of that something	nongold
53	an object is made of its parts	nongold
54	an animal; living thing requires nutrients for survival	nongold
55	breathing is when a gill converts from oxygen in water into oxygen in blood	nongold
56	a  fish is cold-blooded	nongold
57	to classify means to decide what class something belongs to	nongold
58	grouping means putting; placing in different groups	nongold
59	together means in a group	nongold
60	to be made of means to consist of	nongold
61	a scale is hard	nongold
62	if an object is made of something then the parts of that object are made of that something	nongold
63	life means living things	nongold
64	gills are a kind of adaptation for getting oxygen underwater	nongold
65	an amoeba is a kind of organism	nongold
66	all living things have life cycles	nongold
67	organisms mean life	nongold
68	birds lay eggs	nongold
69	composed of means made of	nongold
70	live birth means developing inside the mother instead of an egg	nongold
71	an part of an object is smaller than the entire object	nongold
72	a diatom is a kind of organism	nongold
73	a body part is a kind of object	nongold
74	the body is a part of an organism	nongold
75	young means immature	nongold
76	living things can all reproduce	nongold
77	a worm is a kind of animal	nongold
78	a human is a kind of animal	nongold
79	a worm is a kind of living thing	nongold
80	frogs lay eggs	nongold
81	predators; carnivores; omnivores eat other animals	nongold
82	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
83	ocean animal is similar to water animal	nongold
84	a mollusk is a kind of animal	nongold
85	a type is synonymous with a kind	nongold
86	characteristic means property	nongold
87	classifying is when one sorts something by kind; type	nongold
88	eggs become baby animals	nongold
89	a whale  is a kind of mammal	nongold
90	reproduction produces; produce offspring	nongold
91	each is similar to individual	nongold
92	if something is made of something; a material then that something contains that something; that material	nongold
93	a female insect lays eggs during the adult stage of an insect's life cycle	nongold
94	animals require fertilization to reproduce	nongold
95	a zygote is a kind of fertilized ovum; egg	nongold
96	a part of a living thing is a natural structure	nongold
97	a source of something emits; produces; generates; provides that something	nongold
98	sexual reproduction in animals is when egg; sperm join together	nongold
99	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
