Question	How many times does Earth rotate on its axis in one day?	question
Answer	once	answer
0	Earth rotating on its axis occurs once per day	gold
1	once means one time	gold
2	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
3	the Earth rotates on its axis	nongold
4	once per means every	nongold
5	cycles of day and night occur once per day	nongold
6	daily means every day; once per day	nongold
7	the day time is part of one day	nongold
8	rotate means turn	nongold
9	the sun rising; setting occurs once per day	nongold
10	days are a kind of unit for measuring time	nongold
11	rotation is a kind of motion	nongold
12	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
13	how many means what number	nongold
14	to rotate means to complete a rotation	nongold
15	annual means once per year	nongold
16	a planet rotating causes cycles of day and night on that planet	nongold
17	length of time means period of time	nongold
18	each of the moon's phases occurs once per month	nongold
19	a rotation of the moon takes 1; one month	nongold
20	Earth is a kind of planet	nongold
21	a revolution of the moon around the Earth takes 1; one month	nongold
22	the Earth revolves around the sun	nongold
23	a cycle happens; occurs repeatedly	nongold
24	the night time is part of one day	nongold
25	rotating is similar to moving	nongold
26	period is similar to amount of time	nongold
27	the moon rotates on its axis	nongold
28	how long something takes is a kind of measurement of time	nongold
29	the moon orbiting the Earth occurs once per month	nongold
30	a rotation is a kind of movement	nongold
31	monthly means once per month	nongold
32	many means high in number	nongold
33	years are a kind of unit for measuring time	nongold
34	revolving is a kind of motion	nongold
35	some celestial bodies rotate in space	nongold
36	rotation  is  the  circular movement of an object around a center; axis	nongold
37	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
38	rotate is similar to revolve	nongold
39	hours are a kind of unit for measuring time	nongold
40	1 day is equal to 24 hours	nongold
41	spin means rotate	nongold
42	Earth's rotation causes time zones	nongold
43	the moon rising occurs once per day	nongold
44	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
45	a measure of time is a length of time	nongold
46	a unit for measuring time is a kind of time interval	nongold
47	seconds are a kind of unit for measuring time	nongold
48	Earth's angle of tilt causes the length of day and night to vary	nongold
49	seconds are used to measure time	nongold
50	revolve once means to complete a revolution	nongold
51	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
52	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
53	one in  two means half; 50%	nongold
54	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
55	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
56	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
57	a planet is a kind of celestial object; body	nongold
58	Earth's revolution is a kind of cycle	nongold
59	months are a kind of unit for measuring time	nongold
60	minutes are a kind of unit for measuring time	nongold
61	1 year is equal to 365 days	nongold
62	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
63	a revolution occurs when something revolves around something else	nongold
64	once-living means dead	nongold
65	a watch;clock;stopwatch is used for measuring time	nongold
66	all the time means at day and at night	nongold
67	shift means move	nongold
68	four is a kind of number	nongold
69	a different moon phase occurs once per week	nongold
70	Tuesday is a kind of  time	nongold
71	month is a kind of period of time	nongold
72	both means two	nongold
73	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
74	timing; multiplying is a kind of calculating	nongold
75	events occur at a specific place; at a specific time; with a specific frequency	nongold
76	1 year is equal to 12 months	nongold
77	constant means not changing	nongold
78	greatest means largest; highest; most amount of something	nongold
79	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
80	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
81	astronomy is the study of celestial (objects, bodies)	nongold
82	noon is a kind of time of day	nongold
83	a comet orbit occurs usually once per 1000.0 years	nongold
84	to a human a time period of 1000 years or more years is considered very long	nongold
85	instantaneously means short in time	nongold
86	the Moon is Earth's moon	nongold
87	rate is similar to speed	nongold
88	approximately means about	nongold
89	the number of parts of something is a property of that something	nongold
90	to turn means to change	nongold
91	each season occurs once per year	nongold
92	motion; movement means moving; to move	nongold
93	Earth is a planet that is closer to the  Sun than Jupiter	nongold
94	a motion is a kind of event; action	nongold
95	motion is when moves an object; something to a direction	nongold
96	to add means to increase	nongold
97	high is similar to increase	nongold
98	affected means changed	nongold
99	variable means able to change	nongold
