Question	Which of the following human traits is least likely to be inherited?	question
Answer	fingerprints	answer
0	fingerprints are usually unique	gold
1	a fingerprint is small in size	nongold
2	identical means copy	gold
3	least is the opposite of greatest	nongold
4	trait is synonymous with characteristic	gold
5	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
6	least is the opposite of most	nongold
7	An example of biometric authentication is using fingerprints for identification	nongold
8	a human is a kind of animal	nongold
9	an inherited characteristic is a kind of characteristic	nongold
10	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
11	unique  is the opposite of diverse	gold
12	trait means property	nongold
13	a finger is a part of a hand	nongold
14	if something is copied then that something will be the same; similar; identical	nongold
15	an animal is a kind of organism	nongold
16	human is a kind of organism	nongold
17	an animal is a kind of living thing	nongold
18	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
19	characteristic means property	nongold
20	often is similar to likely	nongold
21	classifying means grouping objects; materials by their properties	nongold
22	inherited characteristics can change over several generations	nongold
23	a type is synonymous with a kind	nongold
24	personality is an acquired characteristic	nongold
25	identifying sometimes requires examining	nongold
26	the shape of body parts is an inherited characteristic	nongold
27	identical is the opposite of different	nongold
28	a human is a kind of mammal	nongold
29	a Punnett square is used to show; identify; calculate the percent chance of a trait being passed down from a parent to its offspring	nongold
30	if an organism passes on its traits then future generations will have those traits	nongold
31	identifying is similar to determining	nongold
32	a part of something means a characteristic of something	nongold
33	a pedigree chart is used for tracing genetic inheritance	nongold
34	human is similar to individual	nongold
35	lowest means least in value; amount; number	nongold
36	the color of; coloration of fur is an inherited characteristic	nongold
37	inherited characteristics are a kind of hereditary information	nongold
38	shortest means least; smallest in length	nongold
39	phenotype of an organism means the visible traits of  an organism	nongold
40	the colors of parts of an organism are inherited characteristics	nongold
41	the properties of something can be used to identify; used to describe that something	nongold
42	trait is a kind of genetic information	nongold
43	a learned characteristic is a kind of acquired characteristic	nongold
44	identical twins have all of the same inherited characteristics	nongold
45	blood type is an inherited characteristic	nongold
46	similarity means the same property	nongold
47	living things can all reproduce	nongold
48	intelligence is an acquired characteristic	nongold
49	an organism is a living thing	nongold
50	genetic variation is similar to trait variation	nongold
51	genes are able to determine the inherited characteristics of a living thing	nongold
52	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
53	greatest means largest; highest; most amount of something	nongold
54	information in an organism's chromosomes cause genetic traits to be passed down to that organism's offspring	nongold
55	classifying is when one sorts something by kind; type	nongold
56	less is similar to decrease	nongold
57	biometric authentication is a kind of  technology	nongold
58	a structure of something is synonymous with a part of that something	nongold
59	what an object is made of is a kind of characteristic	nongold
60	parents produce offspring	nongold
61	eye color is an inherited characteristic	nongold
62	chance means likelihood	nongold
63	according to is similar to be determined by	nongold
64	to impact means to affect	nongold
65	answering questions requires information	nongold
66	feature is synonymous with characteristic	nongold
67	genetic; hereditary means of genes; heredity	nongold
68	to distinguish means to tell the difference between	nongold
69	a type of something is a kind of property of that something	nongold
70	a face is often a part of an animal	nongold
71	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
72	blue eyes is a recessive trait in humans	nongold
73	more likely means increased likelihood	nongold
74	person is synonymous with human	nongold
75	a living thing is a kind of object	nongold
76	a source of something emits; produces; generates; provides that something	nongold
77	offspring are a part of a generation	nongold
78	dark eyes is a dominant trait in human	nongold
79	shape is a kind of characteristic	nongold
80	biometric authentication has a positive impact on the protection of private information	nongold
81	to be characterized by  a property means to have that property	nongold
82	to reproduce means to have; to produce offspring	nongold
83	the composition of something can be used to identify that something	nongold
84	impact means effect	nongold
85	traits can be determined by one pair; many pairs of genes in an organism	nongold
86	a baby is the offspring of a parent	nongold
87	a baby is the offspring of a parent	nongold
88	an object has properties	nongold
89	resemble means similar characteristics	nongold
90	typically means usually	nongold
91	children; young is synonymous with offspring	nongold
92	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
93	most means over 50% of something	nongold
94	generally means usually	nongold
95	parents are a part of a generation	nongold
96	each is similar to individual	nongold
97	an increase is the opposite of a decrease	nongold
98	a kind of something is an example of that something	nongold
99	to cause an event means to make that event more likely	nongold
