Question	Tony is studying ladybugs in a garden. Which of these would BEST help Tony to count the spots on a ladybug?	question
Answer	Magnifying glass	answer
0	magnifying glass is used to see  small things by making objects appear bigger	gold
1	a magnifying glass is a kind of tool for observing small things	gold
2	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
3	a ladybug is a kind of insect	gold
4	a hand lens; a magnifying lens is synonymous with a magnifying glass	nongold
5	counting something usually requires seeing that something	gold
6	a living thing is a kind of object	gold
7	spot means location	nongold
8	an animal is a kind of living thing	gold
9	spots are a part of a lady bug	gold
10	helping something has a  positive impact on that something	nongold
11	glass is a kind of object	nongold
12	gardens are located outside	nongold
13	spots are a part of some organisms	nongold
14	studying  something usually requires seeing that something	nongold
15	helping means something can be done; completed more easily; better	nongold
16	a bird is a kind of living thing	nongold
17	an insect is a kind of animal	gold
18	if a living thing requires something then that something has a positive impact on that living thing	nongold
19	a bird is a kind of animal	nongold
20	a human is a kind of animal	nongold
21	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
22	to be used  for something means to help to do that something	nongold
23	an animal is a kind of organism	nongold
24	an part of an object is smaller than the entire object	gold
25	inspect; observe means examine	nongold
26	to be helpful means to help to do	nongold
27	an environment is a kind of place	nongold
28	an insect usually has a small size	nongold
29	requiring is similar to needing help	nongold
30	glass is a kind of material	nongold
31	to study means to examine	nongold
32	a labybug  has a small  size	gold
33	an insect is a kind of prey	nongold
34	measuring sometimes requires  recording; learning an amount	nongold
35	studying moving habits requires knowing location	nongold
36	to help; to benefit means to be of use	nongold
37	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
38	an environment means an area	nongold
39	to help means to aid	nongold
40	an insect has six legs	nongold
41	an object is an item	nongold
42	instrument means tool	nongold
43	a surface is a part of an object	nongold
44	objects are made of materials; substances; matter	nongold
45	a cricket is a kind of insect	nongold
46	a mammal is a kind of animal	nongold
47	being  on something; placed in something; placed over something means touching  that something	nongold
48	a plant is a kind of living thing	nongold
49	an insect has three body parts	nongold
50	a tool is a kind of object	nongold
51	a fly is a kind of insect	nongold
52	person is synonymous with human	nongold
53	a duck is a kind of bird	nongold
54	a part of a living thing is a natural structure	nongold
55	glass is a kind of medium	nongold
56	helping means to assist in a change	nongold
57	a plant is a kind of organism	nongold
58	glass is a kind of solid at room temperature	nongold
59	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
60	objects in an environment are a part of that environment	nongold
61	amount is similar to number	nongold
62	measuring requires reading a measurement	nongold
63	measuring is used for describing an object	nongold
64	examining sometimes requires measuring	nongold
65	studying is similar to observing	nongold
66	classifying means grouping objects; materials by their properties	nongold
67	glass is a kind of open container	nongold
68	a rabbit is a kind of animal	nongold
69	greatest means largest; highest; most amount of something	nongold
70	seeing small things is difficult	nongold
71	length is a part of size	nongold
72	look at means observe	nongold
73	an object is made of its parts	nongold
74	image means visual depiction of an object	nongold
75	instrument means device	nongold
76	definite shape means the shape of an object stays the same when moved to different spot	nongold
77	an organism is a living thing	nongold
78	measuring is a kind of observing	nongold
79	an instrument is a piece of equipment	nongold
80	glass is recyclable	nongold
81	harming something has a  negative impact on; effect on that something	nongold
82	motion; movement means moving; to move	nongold
83	vegetation means plants	nongold
84	heat means heat energy	nongold
85	capturing an animal can be used for studying that animal	nongold
86	a type is synonymous with a kind	nongold
87	the number of parts of something is a property of that something	nongold
88	the shape  of an object can be discovered through feeling that object; touching that object	nongold
89	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
90	to get a better look at means to see better	nongold
91	eyes are usually part of an animal for seeing	nongold
92	a person is a kind of animal	nongold
93	glass is a kind of product	nongold
94	to see means to look	nongold
95	a structure of something is synonymous with a part of that something	nongold
96	feeling is when an living thing senses through touch	nongold
97	a surface is a kind of object	nongold
98	the location of an object can be used to describe that object	nongold
99	a structure is a kind of feature	nongold
