Question	Rust is a compound with the formula Fe_{2}O_{3}. Which elements combine to form rust?	question
Answer	iron and oxygen	answer
0	rust is a kind of compound	gold
1	rust is a kind of substance	nongold
2	rusting means forming rust	nongold
3	iron oxide; rust; Fe2O3 is made of iron and oxygen	gold
4	metal rusts	nongold
5	iron in contact with water and oxygen will rust	nongold
6	the chemical symbol for iron is Fe	nongold
7	Fe is the chemical symbol for iron	nongold
8	rust forming is a kind of chemical change	nongold
9	a compound is made of two or more elements that have been chemically combined	gold
10	iron is a kind of metal	nongold
11	the  chemical symbol for oxygen is O	nongold
12	iron is a kind of element	gold
13	O2 means oxygen	nongold
14	to add means to combine	nongold
15	O is the chemical symbol for oxygen	nongold
16	oxygen  is a kind of element	gold
17	combining; mixing two substances chemically causes chemical reactions	nongold
18	ferrous metals contain iron	nongold
19	chemical reactions cause new substances; different substances to form	nongold
20	to be made of something means to be formed of that something	gold
21	hydrogen is a kind of element	nongold
22	a metal is a kind of element	nongold
23	metal is a kind of substance	nongold
24	compound is a kind of chemical	nongold
25	all elements are a kind of pure substance	nongold
26	iron is a kind of solid	nongold
27	oxygen is a part of many organic molecules	nongold
28	to change into means to form	nongold
29	an element is a kind of  substance	nongold
30	a chemical compound is a kind of compound	nongold
31	substances are made of elements	nongold
32	both means two	nongold
33	nitrogen is a kind of element	nongold
34	to make means to form	nongold
35	a compound can be chemically separated into the elements that it is made of	nongold
36	when a metal rusts , that metal becomes orange; flaky on the surface	nongold
37	a compound is a kind of substance	nongold
38	carbon is a kind of element	nongold
39	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
40	an element is a kind of material	nongold
41	state means form	nongold
42	oxygen gas is made of only  oxygen element	nongold
43	to be a combination of means to be made of	nongold
44	to fuse means to combine	nongold
45	iron is a kind of mineral	nongold
46	sulfur is a kind of element	nongold
47	to combust means to catch fire	nongold
48	metals are made of metal	nongold
49	water is made of hydrogen and oxygen	nongold
50	if a substance is made of one element , then the substance is called an element	nongold
51	oxygen is a kind of gas at room temperature	nongold
52	chemical compounds contain chemical bonds between atoms; between elements	nongold
53	metal is a kind of material	nongold
54	rusty means having rust	nongold
55	a compound is a kind of material	nongold
56	plus means to combine	nongold
57	to cause the formation of means to form	nongold
58	An example of a chemical property is the elements a compound is made of	nongold
59	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
60	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
61	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
62	organic compounds contain hydrogen	nongold
63	nitrogen is a kind of gas	nongold
64	substances have chemical properties	nongold
65	hydrogen is a kind of gas at room temperature	nongold
66	an  element is a kind of atom	nongold
67	an element is made of one kind of atoms	nongold
68	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
69	form means kind	nongold
70	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
71	a molecule is made of atoms chemically combined; bonded	nongold
72	photosynthesis is a source of oxygen	nongold
73	chemical reactions cause chemical change	nongold
74	combustion is a kind of chemical change	nongold
75	an mixture is formed by two or more substances combined together physically	nongold
76	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
77	an alkaline earth metal is a kind of element	nongold
78	a  gas is a kind of  element	nongold
79	substances are made of molecules	nongold
80	to form means to create	nongold
81	plants are a source of oxygen through photosynthesis	nongold
82	to be formed by is similar to being produced by	nongold
83	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
84	products are formed; are produced; are created	nongold
85	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
86	copper is a kind of element	nongold
87	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
88	matter; materials; substances are made of atoms; particles	nongold
89	the  elements in the chemical reaction stays the same after the reaction	nongold
90	the chemistry of something is similar to what that something is made of	nongold
91	helium is a kind of element	nongold
92	composed of means made of	nongold
93	oxygenated means having oxygen	nongold
94	an atom is the smallest particle; unit that has the properties of an element	nongold
95	steel is a kind of metal	nongold
96	water is a kind of compound	nongold
97	oxygen is always nonmagnetic	nongold
98	chemical reaction means chemical bonds change	nongold
99	lead is a kind of element	nongold
