Question	Which form of energy are x rays and ultraviolet light?	question
Answer	electromagnetic	answer
0	ultraviolet rays means ultraviolet light	nongold
1	an x ray is a kind of electromagnetic energy	gold
2	ultraviolet light is a kind of electromagnetic energy	gold
3	ultraviolet light is a kind of light	nongold
4	x-ray is a kind of ionizing radiation	nongold
5	ultraviolet radiation is ionizing	nongold
6	form means kind	gold
7	ultraviolet light has very short wavelength	nongold
8	electromagnetic radiation means electromagnetic energy	nongold
9	light rays means light	nongold
10	sunlight is made of ultraviolet, infrared, and visible light	nongold
11	light is a kind of electromagnetic radiation	nongold
12	sunlight contains ultraviolet light	nongold
13	UV mean ultraviolet	nongold
14	electromagnetic radiation is arranged in the electromagnetic spectrum by wavelength; frequency	nongold
15	electromagnetic energy is a kind of energy	gold
16	x-rays transfer energy	nongold
17	light means light energy	nongold
18	radiation is when electromagnetic waves transfers heat and light energy	nongold
19	radiation means radiant energy	nongold
20	light is a kind of energy	nongold
21	light is a kind of energy	nongold
22	ionizing radiation is a kind of electromagnetic wave	nongold
23	different types of light have different wavelengths	nongold
24	x-rays are used in medical technology	nongold
25	both means two	nongold
26	electromagnetic energy travels as electromagnetic waves	nongold
27	electromagnetic wave is a kind of  wave	nongold
28	visible light is a kind of  light	nongold
29	visible light is a part of the electromagnetic spectrum	nongold
30	infrared wave is a kind of  electromagnetic wave	nongold
31	sunlight is a kind of light	nongold
32	wavelength is a property of wave	nongold
33	solar energy is a kind of light	nongold
34	radiant energy  is a kind of energy	nongold
35	light is a kind of wave	nongold
36	to be made of something means to be formed of that something	nongold
37	solar radiation means solar energy	nongold
38	being exposed to the ultraviolet light has a negative  impact on living organisms	nongold
39	UV light is a kind of light	nongold
40	ultraviolet light causes sunburn	nongold
41	light is made of photons	nongold
42	radiation is when heat is transferred through waves; particles	nongold
43	solar energy is a kind of energy	nongold
44	electromagnetic wave is not a mechanical wave	nongold
45	red light has the longest wavelength	nongold
46	sunlight is a kind of solar energy	nongold
47	can be means able to be	nongold
48	electrical energy is a kind of energy	nongold
49	visible  light is the smallest range within the electromagnetic spectrum	nongold
50	x-rays can pass through some parts of the body	nongold
51	to be a combination of means to be made of	nongold
52	electromagnetic radiation distorts the frequency of the radio waves	nongold
53	to change into means to form	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	rays of the sun means sunlight	nongold
56	composed of means made of	nongold
57	radio wave is a kind of electromagnetic wave	nongold
58	light energy can be used to heat up  an object by radiation	nongold
59	emit means produce	nongold
60	a wave is a kind of object	nongold
61	heat is a kind of energy	nongold
62	if something comes from something else then that something else is a source of that something	nongold
63	infrared light has a longer wavelength than visible light	nongold
64	tinted lenses reflect ultraviolet rays	nongold
65	state means form	nongold
66	chemical energy is a kind of energy	nongold
67	a human is a kind of animal	nongold
68	frequency is a property of a wave; a particel of light; an event	nongold
69	all elements are a kind of pure substance	nongold
70	electromagnetic spectrum is bands; ranges of frequencies of light waves	nongold
71	a laser is a kind of device for producing light	nongold
72	a photon is a kind of  particles	nongold
73	if something generates energy for something else then that something powers that something else	nongold
74	sunlight contains infrared light	nongold
75	violet light has the shortest wavelength	nongold
76	magnetic energy is a kind of energy	nongold
77	a physical property is a kind of property	nongold
78	a laser is used for producing light	nongold
79	objects are made of materials; substances; matter	nongold
80	to reflect light means to scatter light	nongold
81	made up of means contains; made of	nongold
82	if something transfers something else then that something is a source of something else	nongold
83	an event is a kind of action	nongold
84	the range of visible light approximately is less than 10% in electromagnetic spectrum	nongold
85	a type is synonymous with a kind	nongold
86	sound is a kind of energy	nongold
87	emit means send out	nongold
88	intense means high in intensity	nongold
89	if something is made of something; a material then that something contains that something; that material	nongold
90	a component means a part of	nongold
91	if something is made of something else , then that something else will be the component of that something	nongold
92	an object; material; substance comes from that object or material's source	nongold
93	all waves transfer; transmit energy from one place to another	nongold
94	refraction is when light passes from one medium to another medium	nongold
95	substances are made of matter	nongold
96	classifying is when one sorts something by kind; type	nongold
97	magnetism is a kind of energy	nongold
98	if something is made of something else then that something can be broken down into that something else	nongold
99	energy transformation means one kind of energy changes into another kind of energy	nongold
