Question	Which is the thickest layer of Earth?	question
Answer	mantle	answer
0	the mantle is the thickest; largest layer of the Earth	gold
1	the mantle is a layer of the Earth	gold
2	Earth's mantle has properties of both liquids and solids	nongold
3	thickness is  a measure of how thick an object  is	nongold
4	the mantle is located just below Earth's crust	nongold
5	thickness is a property of an object and includes ordered  values of thin; thick	nongold
6	the mantle is located between the crust and the outer core	nongold
7	Earth is made of rock	nongold
8	the inner core is the most dense layer of Earth	nongold
9	denser means more dense	nongold
10	the crust is a layer of the Earth	nongold
11	a covering is a kind of object	nongold
12	the ground is part of the Earth	nongold
13	continental crust is less dense than mantle	nongold
14	the  outer core is a layer of the Earth	nongold
15	the bottom is the lowest part of something	nongold
16	extreme means very high in value	nongold
17	convection in the mantle transfers heat  from deep in the interior of Earth to the crust	nongold
18	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
19	Earth is a kind of planet	nongold
20	material means substance	nongold
21	to split means to break down	nongold
22	the inner core is a layer of the Earth	nongold
23	low means down	nongold
24	an animal is a kind of living thing	nongold
25	skin is the first; outermost layer around the body of some animals	nongold
26	composed of means made of	nongold
27	lithosphere is a  layer of the Earth	nongold
28	thin means small in width	nongold
29	to be formed by is similar to being produced by	nongold
30	cracking something may cause that something  to break apart	nongold
31	a structure of something is synonymous with a part of that something	nongold
32	to be made of something means to be formed of that something	nongold
33	dense means high in density	nongold
34	shortest means least; smallest in length	nongold
35	soil is a kind of material	nongold
36	lowest means least in value; amount; number	nongold
37	objects are made of materials; substances; matter	nongold
38	deepest means greatest in depth	nongold
39	to break down means to break into smaller pieces	nongold
40	made of is similar to contains	nongold
41	greatest means largest; highest; most amount of something	nongold
42	longest means greatest in length	nongold
43	to lower means to decrease	nongold
44	can be means able to be	nongold
45	a living thing is a kind of object	nongold
46	asthenosphere is a layer of the Earth	nongold
47	high is similar to increase	nongold
48	furthest; farthest means greatest; most; highest in distance	nongold
49	made up of means contains; made of	nongold
50	to add means to increase	nongold
51	below means lower down	nongold
52	the bottom of a body of water is the deepest	nongold
53	sediment is a kind of matter	nongold
54	low is similar to decrease	nongold
55	beneath means below	nongold
56	form means kind	nongold
57	a type is synonymous with a kind	nongold
58	to make means to form	nongold
59	affected means changed	nongold
60	soil usually has layers	nongold
61	break down means change from a whole into pieces	nongold
62	a component means a part of	nongold
63	rock is a kind of material	nongold
64	weak means low in strength	nongold
65	fewest means lowest; least in number	nongold
66	no longer means used to be	nongold
67	answering questions requires information	nongold
68	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
69	tearing means  ripping	nongold
70	materials are made of matter	nongold
71	to contain means to have inside	nongold
72	an increase is the opposite of a decrease	nongold
73	Earth's surface is made of rock	nongold
74	the outer core is the layer that is closest to  the center of the earth	nongold
75	less is similar to decrease	nongold
76	to give is similar to to cause	nongold
77	tearing means changing a whole into pieces	nongold
78	lower means less	nongold
79	to form means to create	nongold
80	colder; cooler means lower in temperature	nongold
81	an organism is a living thing	nongold
82	an object is made of its parts	nongold
83	strong means high in strength	nongold
84	moisture means liquid; liquid water	nongold
85	smaller means less; lower in size	nongold
86	length is a part of size	nongold
87	the crust of the Earth is similar to the surface of the Earth	nongold
88	albumen is thick in consistency	nongold
89	shallow means low  in  depth	nongold
90	troposphere is a lower layer of Earth's atmosphere	nongold
91	unit is similar to part	nongold
92	the ground means Earth's surface	nongold
93	dissolving is similar to breaking down	nongold
94	highest means largest; greatest; most in height	nongold
95	the body is a part of an organism	nongold
96	crumble means break down	nongold
97	break apart means break down	nongold
98	to be made of means to consist of	nongold
99	substances are made of matter	nongold
