Question	Because sulfur cannot be decomposed by simple chemical methods into two or more different substances, it is classified as	question
Answer	an element.	answer
0	an element cannot be decomposed into two or more different substances by simple chemical methods	gold
1	sulfur is a kind of element	gold
2	classifying means grouping objects; materials by their properties	nongold
3	an element is a kind of  substance	nongold
4	classifying is when one sorts something by kind; type	nongold
5	an  element is a kind of atom	nongold
6	if a substance is made of one element , then the substance is called an element	nongold
7	a kind of something is classified as that something	gold
8	a compound is made of two or more elements that have been chemically combined	nongold
9	to decompose means to separate	nongold
10	substances are made of elements	nongold
11	hydrogen is a kind of element	nongold
12	chemical reactions cause new substances; different substances to form	nongold
13	a decomposer is a kind of living thing	nongold
14	a compound can be chemically separated into the elements that it is made of	nongold
15	to decompose means to decay	nongold
16	an element is made of one kind of atoms	nongold
17	carbon is a kind of element	nongold
18	all elements are a kind of pure substance	nongold
19	an atom is a kind of object	nongold
20	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
21	process is similar to method	nongold
22	compound is a kind of chemical	nongold
23	a compound is a kind of substance	nongold
24	the structure  of an atom can be used for identifying the element	nongold
25	to be made of something means to be formed of that something	nongold
26	category means kind	nongold
27	an alkaline earth metal is a kind of element	nongold
28	composition means the (materials, substances) of which something is composed	nongold
29	chemicals means substances	nongold
30	classification is a kind of process	nongold
31	decomposing is similar to separating	nongold
32	sulfur is a kind of mineral	nongold
33	substances have chemical properties	nongold
34	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
35	matter; materials; substances are made of atoms; particles	nongold
36	an atom is the smallest particle; unit that has the properties of an element	nongold
37	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
38	a chemical compound is a kind of compound	nongold
39	composed of means made of	nongold
40	chemical compounds contain chemical bonds between atoms; between elements	nongold
41	including means containing	nongold
42	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
43	An example of a chemical property is the elements a compound is made of	nongold
44	can be means able to be	nongold
45	a metal is a kind of element	nongold
46	a pure substance is made of only one kind of atom; molecule	nongold
47	a type is synonymous with a kind	nongold
48	iron sulfide is made of iron and sulfur	nongold
49	a nonmetal is a kind of element	nongold
50	hydrogen is a kind of gas at room temperature	nongold
51	chemical reactions cause chemical change	nongold
52	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
53	sodium is a kind of element	nongold
54	an mixture is formed by two or more substances combined together physically	nongold
55	nitrogen is a kind of element	nongold
56	form means kind	nongold
57	atom cannot be divided into smaller substances	nongold
58	to be formed by is similar to being produced by	nongold
59	both means two	nongold
60	oxygen  is a kind of element	nongold
61	zinc is a kind of metal	nongold
62	cannot is the opposite of  can	nongold
63	combining; mixing two substances chemically causes chemical reactions	nongold
64	to change means to become different	nongold
65	sodium is a kind of metal	nongold
66	iron sulfide can be formed by heating a mixture of powdered iron and sulfur	nongold
67	to belong to a class means to be a kind of something	nongold
68	tungsten is a kind of metal	nongold
69	composition is a property of an object; matter	nongold
70	hydrogen contains chemical energy	nongold
71	a halogen is a kind of element	nongold
72	to give is similar to to cause	nongold
73	if something is made of something else then that something can be broken down into that something else	nongold
74	decomposition is when a decomposer breaks down dead organisms	nongold
75	to tell the difference between things means to classify those things	nongold
76	chlorine is a kind of element	nongold
77	made of is similar to contains	nongold
78	the properties of something can be used to identify; used to describe that something	nongold
79	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
80	elements in noble gases family are gases at room temperature	nongold
81	an atom is exceptionally small in size	nongold
82	nonmetal means not metal	nongold
83	the chemistry of something is similar to what that something is made of	nongold
84	chemical composition is a kind of property	nongold
85	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
86	a chemical reaction is a kind of process	nongold
87	metal is a kind of substance	nongold
88	argon is a kind of element	nongold
89	a  gas is a kind of  element	nongold
90	to cause means to make	nongold
91	sulfur dioxide is formed by the combustion of fossil fuels	nongold
92	structure is a property of an object; a material; a substance	nongold
93	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
94	substances are made of matter	nongold
95	cannot means not be able to	nongold
96	an atom is made of protons; neutrons; electrons	nongold
97	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
98	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
99	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
