Question	An earthquake in the Earth's crust under the ocean releases sound waves. Which statement accurately describes how the sound waves spread?	question
Answer	They spread in all directions away from their source.	answer
0	sound waves spread in all directions away from their source	gold
1	away is a kind of direction	nongold
2	apart means away	nongold
3	an earthquake wave is a kind of wave	gold
4	spreading is a kind of motion	nongold
5	expand means spread out	nongold
6	sound wave is a kind of wave	nongold
7	moving away from the source increases the distance	nongold
8	toward is the opposite of away	nongold
9	sound waves means sound energy	nongold
10	motion is when moves an object; something to a direction	nongold
11	toward is a kind of direction	nongold
12	sound wave is similar to sound	nongold
13	distant means far away	nongold
14	south; southward is a kind of direction	nongold
15	radio waves spread in all directions	nongold
16	to move away means to increase distance	nongold
17	north; northward is a kind of direction	nongold
18	ocean wave is a kind of wave	nongold
19	waves travel outward from the source	nongold
20	down is a kind of direction	nongold
21	earthquake  is a kind of vibration  of the ground	nongold
22	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
23	a wave is formed by the vibration of the source spreading around from the source	nongold
24	sound wave is a kind of mechanical wave	nongold
25	downward is a kind of direction	nongold
26	earthquake causes seismic waves	nongold
27	sound means sound energy	nongold
28	faulting of rock in Earth's crust causes earthquakes	nongold
29	the crust of the Earth is similar to the surface of the Earth	nongold
30	an ocean is a kind of body of water	nongold
31	an ocean contains waves	nongold
32	near; close is the opposite of far; away	nongold
33	waves are made of moving water	nongold
34	earthquakes are most common along tectonic plate boundaries	nongold
35	an earthquake is a kind of natural; geological event	nongold
36	the crust is a layer of the Earth	nongold
37	far means great in distance	nongold
38	an earthquake changes Earth's surface quickly	nongold
39	upward is a kind of direction	nongold
40	Earth is a kind of planet	nongold
41	crust is similar to surface	nongold
42	sound travels as longitudinal waves	nongold
43	noise means sound	nongold
44	wave motion is transferred from the source to matter to produce sound	nongold
45	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
46	sound is a kind of sound energy	nongold
47	vibrations are a source of sound	gold
48	as distance from a source of something increases , that something will decrease	nongold
49	an increase is a kind of change	nongold
50	when an earthquake passes from the crust to the mantle ,  the wave of the earthquake changes speed	nongold
51	sound waves transfer energy	nongold
52	where something  comes from is a source of that something	nongold
53	tectonic plates being pushed together causes earthquakes	nongold
54	an echo is a kind of sound	nongold
55	sound energy is transferred by vibrational waves	nongold
56	Earth is made of rock	nongold
57	sinking is a kind of downward direction	nongold
58	a source of something emits; produces; generates; provides that something	nongold
59	Earth's surface is made of rock	nongold
60	sound requires matter to travel	nongold
61	if something releases something else then that something is the source of that something else	nongold
62	to emit means to release	nongold
63	distant means great in distance	nongold
64	crustal plate means tectonic plate	nongold
65	matter; molecules vibrating can cause sound	nongold
66	a wave is a kind of object	nongold
67	a motion is a kind of event; action	nongold
68	vibration is a kind of motion	nongold
69	the properties of something are used for describing that something	nongold
70	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
71	sound is a kind of energy	nongold
72	high-frequency sound waves have low; short wavelengths	nongold
73	pitch of a sound can be  used to describe the frequency of the sound wave	nongold
74	a velocity is a measure of a speed in a direction	nongold
75	waves can travel through matter	nongold
76	An example of a transverse wave is an ocean wave	nongold
77	if something comes from something else then that something else is a source of that something	nongold
78	the movement of crustal plates causes seafloor spreading	nongold
79	produce is similar to release	nongold
80	sound is a kind of air vibration	nongold
81	pulling is a kind of motion	nongold
82	high is similar to increase	nongold
83	weathering; erosion usually occurs over a period of many years	nongold
84	Rossby wave is a kind of ocean wave	nongold
85	towards means closer to something	nongold
86	as distance from an object decreases , the the pull of gravity on that object increases	nongold
87	rising is a kind of motion	nongold
88	converting is similar to releasing	nongold
89	meters;centimeters;kilometers are used to describe distance; describe length	nongold
90	loud means high in sound energy;sound intensity	nongold
91	the location of an object can be used to describe that object	nongold
92	producing is similar to releasing	nongold
93	Doppler Effect is when the  frequency of the waves changes when the distance from the wave source changes	nongold
94	movement is a kind of change	nongold
95	weathering occurs at the surface of the Earth	nongold
96	Earth's plates means tectonic plates	nongold
97	measuring is used for describing an object	nongold
98	if something releases something else then that something else decreases in that something	nongold
99	sound travels fastest through solid	nongold
