Question	Which of the following forms of energy can travel by vibrating particles of air?	question
Answer	sound	answer
0	sound can travel through air by vibrating air	gold
1	vibrating matter can produce sound	nongold
2	matter; molecules vibrating can cause sound	nongold
3	sound requires matter to travel	nongold
4	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
5	travel means to move	nongold
6	form means kind	gold
7	air is a kind of matter	nongold
8	transport means to move; to make travel	nongold
9	sound is a kind of air vibration	gold
10	matter; materials; substances are made of atoms; particles	nongold
11	sound means sound energy	nongold
12	sound is a kind of energy	gold
13	air is a kind of gas	nongold
14	sound is a kind of sound energy	nongold
15	air is a vehicle for sound	nongold
16	waves can travel through matter	nongold
17	the air is a kind of substance	nongold
18	a particle is a kind of object	nongold
19	vibration is a kind of motion	nongold
20	particles in objects are a kind of matter	nongold
21	sound energy is transferred by vibrational waves	nongold
22	atmosphere means  air	nongold
23	sound travels slowest through gas	nongold
24	a molecule is a kind of particle	nongold
25	moving is similar to travelling	nongold
26	vibrations are a source of sound	nongold
27	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
28	state means form	nongold
29	substances are made of matter	nongold
30	media; medium means the material something travel through	nongold
31	materials are made of matter	nongold
32	objects are made of materials; substances; matter	nongold
33	wave motion is transferred from the source to matter to produce sound	nongold
34	intense sound energy can move objects	nongold
35	sound waves means sound energy	nongold
36	gas is a kind of substance	nongold
37	gas is a kind of state of matter	nongold
38	sound is produced when mechanical energy is transformed into sound energy	nongold
39	when mechanical  energy is transferred to the air , then the air will start to vibrate	nongold
40	sound wave is similar to sound	nongold
41	sound travels fastest through solid	nongold
42	the atmosphere contains gases; liquids; solids	nongold
43	material means substance	nongold
44	sound travels as longitudinal waves	nongold
45	the type of material through which sound passes changes the speed  at which sound travels	nongold
46	gas is a kind of material	nongold
47	mechanical energy is a kind of energy	nongold
48	sound wave is a kind of wave	nongold
49	motion; movement means moving; to move	nongold
50	gas is a kind of object	nongold
51	a vibration is similar to a wave	nongold
52	can be means able to be	nongold
53	sound cannot travel through a vacuum	nongold
54	atoms are made of particles	nongold
55	distance moved; distance travelled is a measure of how far an object moves	nongold
56	oscillation means physical vibration	nongold
57	to be made of something means to be formed of that something	nongold
58	to make means to form	nongold
59	hitting an object causes the particles in that object to vibrate	nongold
60	a vehicle is a kind of tool for travel; transport	nongold
61	heat is a kind of energy	nongold
62	composed of means made of	nongold
63	to pass means to travel	nongold
64	liquid is a kind of state of matter	nongold
65	when two objects are touched; are contacted; move against each other , sound is produced	nongold
66	a liquid is a kind of substance	nongold
67	a molecule is a kind of object	nongold
68	to change into means to form	nongold
69	electromagnetic waves can travel through a vacuum and matter	nongold
70	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
71	to be formed by is similar to being produced by	nongold
72	as the amount that matter vibrates increases , sound produced increases	nongold
73	mass; weight is a property of matter; objects; materials	nongold
74	a vehicle is used for travel	nongold
75	motion is when moves an object; something to a direction	nongold
76	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
77	molecules in a solid vibrates within a fixed place	nongold
78	solid is a kind of state of matter	nongold
79	forming something is a kind of change	nongold
80	frequency is a property of a wave; a particel of light; an event	nongold
81	flying is a kind of motion through air; space	nongold
82	a container contains objects; material; substances	nongold
83	volume is a property of matter	nongold
84	sound wave is a kind of mechanical wave	nongold
85	a wave is a kind of object	nongold
86	convert is similar to transfer	nongold
87	air mass means a volume of air	nongold
88	to transfer is similar to transport	nongold
89	noise means sound	nongold
90	vapor is synonymous with gas	nongold
91	particles in a liquid are closer together than particles in a gas	nongold
92	sound waves transfer energy	nongold
93	electromagnetic energy is a kind of energy	nongold
94	as  matter vibrates harder; faster , the  volume of the sound produced will increase	nongold
95	electromagnetic energy travels as electromagnetic waves	nongold
96	tapping two objects together causes the particles in those objects to vibrate	nongold
97	a type is synonymous with a kind	nongold
98	matter is made of molecules	nongold
99	pitch of a sound can be  used to describe the frequency of the sound wave	nongold
