Question	Most underground caves are formed by the action of water on	question
Answer	limestone	answer
0	forming is a kind of action	nongold
1	a cavern is formed by carbonic acid in groundwater seeping through rock and dissolving limestone	gold
2	a motion is a kind of event; action	nongold
3	a cavern is a cave	gold
4	sinkholes; caves are formed by precipitation; infiltration	nongold
5	an event is a kind of action	nongold
6	a cavern is a kind of land form	nongold
7	dissolving is a kind of action	gold
8	flowing is a kind of action	nongold
9	action means activity	nongold
10	groundwater is a kind of water	gold
11	limestone is formed by water evaporating from a solution of water and minerals	nongold
12	limestone is a kind of sedimentary rock	nongold
13	underground means under ground	gold
14	water is a kind of substance	nongold
15	leaving something on is a kind of action	nongold
16	to cause the formation of means to form	nongold
17	action can cause change	nongold
18	underground means buried deep below other rocks	nongold
19	groundwater is located under ground	gold
20	to form means to create	nongold
21	ground water is a kind of water	nongold
22	burning is a kind of action	nongold
23	bringing is a kind of action	nongold
24	to be formed by is similar to being produced by	nongold
25	form means kind	nongold
26	water is a part of an environment	nongold
27	breaking down is a kind of forming	nongold
28	a process is a kind of event	nongold
29	water causes the most soil and rock erosion	nongold
30	the formation of something is a kind of process	nongold
31	becoming is a kind of action	nongold
32	revolving is a kind of action	nongold
33	placing is a kind of action	nongold
34	water is a kind of liquid at room temperature	nongold
35	temperature is a measure of heat energy	nongold
36	settling is a kind of action	nongold
37	to be made of something means to be formed of that something	nongold
38	laying down is a kind of action	nongold
39	a body of water is a kind of environment	nongold
40	something in the soil is located underground	nongold
41	heat means heat energy	nongold
42	soil contains water; humus; weathered rocks; organic matter	nongold
43	to make means to form	nongold
44	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
45	to happen means to occur	nongold
46	to change into means to form	nongold
47	the formation of rock is a kind of process	nongold
48	water is a kind of object	nongold
49	to emit means to release	nongold
50	something that contains water is similar to a body of water	nongold
51	to be formed by is to be the result of	nongold
52	water is a kind of natural resource	nongold
53	water is a kind of natural resource	nongold
54	to be filled with means to contain	nongold
55	a body of water is a source of water	nongold
56	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
57	impact means effect	nongold
58	water is a kind of matter	nongold
59	extreme means very high in value	nongold
60	squeezing is a kind of action	nongold
61	passing is a kind of action	nongold
62	forming is similar to converting	nongold
63	moisture means liquid; liquid water	nongold
64	recycling is a kind of action	nongold
65	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
66	composed of means made of	nongold
67	a body of water contains water	nongold
68	water is a kind of water phase	nongold
69	deepest means greatest in depth	nongold
70	rainwater is a kind of water	nongold
71	rock is hard	nongold
72	rolling over is a kind of action	nongold
73	to cause means to have an effect	nongold
74	discarding is a kind of action	nongold
75	a river is a kind of flowing body of water	nongold
76	to lower means to decrease	nongold
77	to give off means to be the source of	nongold
78	to exhale means to release	nongold
79	concluding is a kind of action	nongold
80	heating means adding heat	nongold
81	something that happens is a kind of event	nongold
82	to add means to increase	nongold
83	events occur at a specific place; at a specific time; with a specific frequency	nongold
84	to cause an event is similar to being involved in that event	nongold
85	boiling is a kind of event	nongold
86	creating is similar to causing	nongold
87	class is a measure of how a rock is formed	nongold
88	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
89	a rock is a kind of object	nongold
90	high is similar to increase	nongold
91	sandstone is a kind of sedimentary rock	nongold
92	fighting is a kind of action	nongold
93	an organism eating is a kind of action	nongold
94	no longer means used to be	nongold
95	intense means extreme	nongold
96	state means form	nongold
97	low is similar to decrease	nongold
98	forming something is a kind of change	nongold
99	a type is synonymous with a kind	nongold
