Question	Copper is used in house wiring because it is	question
Answer	an electrical conductor.	answer
0	wiring requires an electrical conductor	gold
1	metal is an  electrical; electrical energy conductor	gold
2	copper is a kind of metal	gold
3	an insulator is the opposite of a conductor	nongold
4	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
5	electricity means electrical energy	nongold
6	copper is a kind of element	nongold
7	a good conductor is a conductor	nongold
8	conductivity is a property of a material; substance	nongold
9	An electrical conductor is a vehicle for the flow of electricity	nongold
10	electricity is used as an energy source by electrical devices	nongold
11	a home is a kind of building	nongold
12	electrical devices are used for industrial purposes; household purposes by humans	nongold
13	metal is a thermal; thermal energy conductor	nongold
14	a source of something emits; produces; generates; provides that something	nongold
15	a house is a kind of building	nongold
16	a house is a kind of home	nongold
17	insulator means good insulator	nongold
18	to be used for something means to be required by that something	gold
19	metal is a kind of material	nongold
20	the function of something is what that something  is used to do	nongold
21	metal is a kind of natural resource	nongold
22	an insulator is a kind of material	nongold
23	metal is a kind of substance	nongold
24	electricity sometimes is used for heating buildings; substances	nongold
25	household appliances are a kind of electrical device	nongold
26	a circuit is a kind of electrical component	nongold
27	an electromagnet is a kind of device	nongold
28	something is used for that something's purpose	nongold
29	copper is always nonmagnetic	nongold
30	copper is a kind of transition metal	nongold
31	a metal is a kind of element	nongold
32	conductivity is a measure of how easily electricity travels through a material	nongold
33	a device is a kind of object	nongold
34	a telephone is a kind of electrical device for communication	nongold
35	aluminum is a kind of metal	nongold
36	if something is powered by something else then that something requires a source of that something else	nongold
37	a complete electrical circuit is a source of  electrical energy	nongold
38	electrical energy is a kind of energy	nongold
39	answering questions requires information	nongold
40	electrocution causes harm to an organism	nongold
41	conductivity is a kind of physical property	nongold
42	an element is a kind of material	nongold
43	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
44	brick is an electrical; electrical energy insulator	nongold
45	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
46	to provide something means to be the source of that something	nongold
47	material means substance	nongold
48	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
49	an electromagnet contains a wire; cylindrical ferrous metal	nongold
50	electromagnets can be powered by electricity	nongold
51	device means tool	nongold
52	zinc is a kind of metal	nongold
53	an object; material; substance comes from that object or material's source	nongold
54	electric devices require electrical energy to function	nongold
55	a thermal conductor is made of materials that conduct thermal energy	nongold
56	a living thing is a kind of object	nongold
57	if an object is made of a material then that object has the properties of that material	nongold
58	a electromagnet is formed by attaching an iron nail wrapped in a copper wire to a circuit	nongold
59	emit means produce	nongold
60	carbon is a kind of element	nongold
61	a machine is a kind of  device	nongold
62	steel is a kind of metal	nongold
63	an element is a kind of  substance	nongold
64	ringing is a kind of function of a doorbell	nongold
65	wax is an electrical; electrical energy insulator	nongold
66	tungsten is a kind of metal	nongold
67	if something requires something else then that something requires a source of that something else	nongold
68	aluminum is a kind of element	nongold
69	if one electrical conductor contacts another electrical conductor then electricity will flow through both conductors	nongold
70	nonmetal means not metal	nongold
71	if something comes from something else then that something else is a source of that something	nongold
72	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
73	nonconductor is similar to insulator	nongold
74	iron is a kind of metal	nongold
75	all elements are a kind of pure substance	nongold
76	if something transfers something else then that something is a source of something else	nongold
77	metals are made of metal	nongold
78	an electromagnet is a kind of electric magnet	nongold
79	where something  comes from is a source of that something	nongold
80	household appliances are connected  in parallel circuit	nongold
81	to depend on; to rely on; to need means to require	nongold
82	substances are made of elements	nongold
83	if something is a raw material then that something comes directly from a source	nongold
84	metal is sometimes magnetic	nongold
85	a battery-operated device is a kind of electrical device	nongold
86	wood is an thermal; thermal energy insulator	nongold
87	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
88	a wire is a part of an electrical circuit for conducting electricity	nongold
89	if something generates energy for something else then that something powers that something else	nongold
90	aluminum is a kind of matter	nongold
91	wood is a thermal; thermal energy insulator	nongold
92	to power means to provide energy for	nongold
93	to use means to utilize	nongold
94	a component of something means a part of that something	nongold
95	metal rusts	nongold
96	if two things perform the same function then those two things are similar	nongold
97	electrical insulation requires wrapping a conductor in an insulator	nongold
98	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
99	insulation requires an insulator	nongold
