Question	If left in the sunshine, water in an open jar will	question
Answer	evaporate.	answer
0	left in the sun means exposed to the sun	nongold
1	sunshine means sunlight	gold
2	if an object; something is in the sunlight then that object; that something will absorb solar energy	gold
3	the sun is a source of radiation; heat called sunlight	nongold
4	sunlight produces heat	nongold
5	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
6	the sun causes water to evaporate more quickly by adding heat	nongold
7	if something is left out in the open then that something is exposed to oxygen	nongold
8	a jar is a kind of container	nongold
9	temperature is a measure of heat energy	gold
10	absorbing sunlight causes objects to heat	nongold
11	sunlight is a kind of solar energy	nongold
12	sunlight means solar energy	nongold
13	sunlight is a kind of light	nongold
14	heating means adding heat	nongold
15	heat means heat energy	nongold
16	the sun is a source of light; light energy called sunlight	nongold
17	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
18	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
19	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	gold
20	a container contains objects; material; substances	nongold
21	adding heat means increasing temperature	nongold
22	the sun is the source of solar energy called sunlight	nongold
23	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
24	being in the sun is synonymous with being in the sunlight	nongold
25	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
26	a container is a kind of object	nongold
27	contents means the substance in a container	nongold
28	if a liquid disappears then that liquid probably evaporated	nongold
29	if something is outside during the day then that something will receive sunlight	nongold
30	water is a kind of liquid at room temperature	gold
31	receiving sunlight  is synonymous with absorbing sunlight	nongold
32	solar energy is a kind of heat energy	gold
33	water is a kind of substance	nongold
34	heat means temperature increases	nongold
35	hot means high in heat energy; temperature	nongold
36	if a container contains something then that container touches that something	nongold
37	evaporation causes amount of water to decrease	nongold
38	evaporation can be used for separating a mixture of a liquid and a solid	nongold
39	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
40	moisture means liquid; liquid water	nongold
41	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
42	to add means to increase	gold
43	heating salt water causes the water to evaporate while the salt remains	nongold
44	glass is a kind of open container	nongold
45	a hot substance is a source of heat	nongold
46	evaporation is a kind of process	nongold
47	heat energy is synonymous with thermal energy	nongold
48	if heat is added to a substance then that substance absorbs that heat	nongold
49	out is synonymous with outside	nongold
50	heat is a kind of energy	nongold
51	water is an thermal; thermal energy conductor	nongold
52	a source of something emits; produces; generates; provides that something	nongold
53	if heat is conducted to an object then that object will become hot	nongold
54	to receive sunlight means to absorb sunlight	nongold
55	left out of means moved from	nongold
56	if an object is put inside; poured into another object , then two objects are touching	nongold
57	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
58	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
59	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
60	to lower means to decrease	nongold
61	to be in the sun means to be in the sunlight	nongold
62	to give off means to be the source of	nongold
63	absorbing energy causes objects; materials; substances to heat	nongold
64	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
65	a liquid is a kind of substance	nongold
66	water is a kind of object	nongold
67	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
68	a  plant requires sunlight for photosynthesis	nongold
69	solar energy is a kind of light	nongold
70	daylight is when the sun shines on a location	nongold
71	evaporation is when water is drawn back up into the air in the water cycle	nongold
72	warm; becoming warm means heat is added	nongold
73	if something is in something , then something is exposed to something	nongold
74	adding heat to something kills viruses; bacteria in that something	nongold
75	radiation is when heat is transferred through waves; particles	nongold
76	daylight means sunlight	nongold
77	if  something is placed in warm air then that something will become warm	nongold
78	the sunlight occurs during the day	nongold
79	material means substance	nongold
80	water is a kind of matter	nongold
81	leaving something undisturbed means not changing that something	nongold
82	solar energy can warm up  the air	nongold
83	water absorbs solar energy in the water cycle	nongold
84	adding heat to an object sometimes causes chemical reactions	nongold
85	a can is a kind of container	nongold
86	a living thing is a kind of object	nongold
87	leaving is a kind of movement	nongold
88	a source of heat can be used to heat something	nongold
89	a source of heat can be used to heat something	nongold
90	gas is a kind of substance	nongold
91	high is similar to increase	nongold
92	water absorbs light energy	nongold
93	liquid is a kind of state of matter	nongold
94	vapor is synonymous with gas	nongold
95	warm means medium heat energy; temperature	nongold
96	water is a kind of medium for light	nongold
97	if one surface; one substance; one object touches something then one is exposed to that something	nongold
98	being  on something; placed in something; placed over something means touching  that something	nongold
99	solar energy is a kind of energy	nongold
