Question	Which energy resource is non-renewable?	question
Answer	oil	answer
0	renewable is the opposite of nonrenewable	nongold
1	oil is a kind of fossil fuel	gold
2	oil is a nonrenewable resource	nongold
3	oil is a kind of energy resource	gold
4	fossil fuels are a nonrenewable resource	gold
5	petroleum is a kind of fossil fuel	nongold
6	fossil fuels are a kind of energy resource	nongold
7	a fossil fuel is a kind of natural resource	nongold
8	natural gas is a nonrenewable resource	nongold
9	oil is a source of energy	nongold
10	natural gas is a kind of fossil fuel	nongold
11	a renewable resource is a kind of natural resource	nongold
12	oil is used for producing electricity	nongold
13	coal is a kind of fossil fuel	nongold
14	coal is a nonrenewable resource	nongold
15	a renewable resource is a kind of naturally replaced resource	nongold
16	resources sometimes are used for energy	nongold
17	oil is a kind of substance; matter	nongold
18	solar energy is a renewable; inexhaustible resource	nongold
19	fossil fuels have high potential energy	nongold
20	an energy source is a kind of resource	nongold
21	alternative fuel is usually a renewable resource	nongold
22	producing renewable electric energy requires renewable resources	nongold
23	a producer is a source of energy for consumers	nongold
24	a source of something emits; produces; generates; provides that something	nongold
25	renewable resources are often available for many years	nongold
26	an inexhaustible resource is a kind of renewable resource	nongold
27	an event is a kind of action	nongold
28	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
29	fossil fuel contains chemical energy	nongold
30	a nonrenewable resource is limited in supply	nongold
31	fuel is a kind of energy source	nongold
32	if something is a raw material then that something comes directly from a source	nongold
33	if something releases something else then that something is the source of that something else	nongold
34	green plants are a kind of producer	nongold
35	a producer is a kind of living thing	nongold
36	if something requires something else then that something requires a source of that something else	nongold
37	if something is a raw material in a process then that something is required for that process	nongold
38	a process is a kind of event	nongold
39	animals are a renewable resource	nongold
40	water is a renewable resource	nongold
41	fuel is a source of energy	nongold
42	to be formed by is similar to being produced by	nongold
43	oil is a kind of liquid	nongold
44	oil is a kind of liquid	nongold
45	to be used for something means to be required by that something	nongold
46	generate means produce	nongold
47	to power means to provide energy for	nongold
48	if something comes from something else then that something else is a source of that something	nongold
49	carbon dioxide is a kind of gas	nongold
50	if something is powered by something else then that something requires a source of that something else	nongold
51	if something generates energy for something else then that something powers that something else	nongold
52	oil is  insoluble in water	nongold
53	if something transfers something else then that something is a source of something else	nongold
54	electricity means electrical energy	nongold
55	a material is a kind of resource	nongold
56	a part of a process means a stage in a process	nongold
57	minerals are a nonrenewable resource	nongold
58	a renewable resource can be renewed	nongold
59	vegetable oil is a renewable resource	nongold
60	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
61	to depend on; to rely on; to need means to require	nongold
62	metal is a nonrenewable resource	nongold
63	nature is the source of natural resources	nongold
64	a supply of something is a source of that something	nongold
65	coal is a kind of fuel	nongold
66	renewable resources can be used over again	nongold
67	An example of conservation is not using fossil fuel	nongold
68	emit means produce	nongold
69	where something  comes from is a source of that something	nongold
70	can be means able to be	nongold
71	a change is a kind of event	nongold
72	the potential energy in fossil fuels mostly are converted into thermal energy	nongold
73	if something causes a process then that something is required for that process	nongold
74	a renewable resource can be replaced	nongold
75	wave energy is a renewable resource	nongold
76	producing is a kind of process	nongold
77	if something gains something from something else then that something else is a source of that something	nongold
78	petroleum is a source of raw material for the production of plastics	nongold
79	oil is a source of gasoline	nongold
80	products are formed; are produced; are created	nongold
81	water is a kind of natural resource	nongold
82	water is a kind of natural resource	nongold
83	fossil fuels release carbon dioxide into the atmosphere	nongold
84	oil is a kind of pollutant	nongold
85	a biofuel is a kind of alternative energy resource	nongold
86	a component of something means a part of that something	nongold
87	solar energy is a kind of energy	nongold
88	answering questions requires information	nongold
89	food is a kind of resource	nongold
90	a step in a process means a stage in a process	nongold
91	affected means changed	nongold
92	sulfur dioxide is formed by the combustion of fossil fuels	nongold
93	producing electricity sometimes requires burning oil	nongold
94	all elements are a kind of pure substance	nongold
95	a component means a part of	nongold
96	plants are a kind of resource	nongold
97	carbon dioxide is a kind of greenhouse gas	nongold
98	a motion is a kind of event; action	nongold
99	hydropower is a kind of alternative energy resource	nongold
