Question	During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called	question
Answer	camouflage	answer
0	a fox is a kind of animal	gold
1	camouflage is a kind of adaptation for hiding in an environment	gold
2	the arctic is a kind of environment	gold
3	coloration is a kind of adaptation for hiding;camouflage	nongold
4	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
5	the arctic environment is white in color from being covered in snow	gold
6	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
7	blending in is synonymous with hiding	gold
8	Camouflage is synonymous with visual disguise	gold
9	An example of camouflage is when something is; has the same color as its environment	gold
10	an adaptation is a kind of characteristic	nongold
11	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
12	camouflage can be used for hunting for prey; food	nongold
13	snow falls during the winter in the arctic environment	nongold
14	an adaptation is an adaptive feature	nongold
15	adaptations are used for survival	nongold
16	arctic animals live in an arctic environment	gold
17	coat means fur coat	nongold
18	camouflage is a kind of protection against predators; from predators; against consumers	nongold
19	white is a kind of color	nongold
20	white fur is white in color	gold
21	An example of camouflage is when an organism looks like its environment	nongold
22	disguise means  changing appearance to hide	gold
23	color is a kind of physical; visual property	nongold
24	the arctic environment covered in snow	nongold
25	fur is often part of an animal	nongold
26	snow is white in color	gold
27	an adaptation is a kind of change	nongold
28	an animal is a kind of living thing	nongold
29	color is a property of  an object; a material	nongold
30	a living thing is a kind of object	nongold
31	if an animal's fur is a color then that animal is that color	nongold
32	hair; fur is  a part of skin for protection; keeping warm	nongold
33	adapting is when a living thing responds to a change in an environment	nongold
34	a wolf is a kind of animal	nongold
35	fur is a covering around the body of an animal	nongold
36	hiding is a kind of protection against predators; from predators	nongold
37	snow falls during the winter in some environments	nongold
38	cold environments sometimes are white in color from being covered in snow	nongold
39	hiding means visibility; ability to be seen decreases for camouflage	nongold
40	coloration means a thing's color	nongold
41	snow is a covering found on the surface of an arctic environment	nongold
42	adaptation is when an organism develops a trait over time for survival	nongold
43	when snow falls in an environment in an environment , that environment will become white	nongold
44	a rabbit is a kind of animal	nongold
45	coloration means a pattern of colors	nongold
46	answering questions requires information	nongold
47	an animal is a kind of organism	nongold
48	the color of; coloration of fur is an inherited characteristic	nongold
49	animals adapt to their environment	nongold
50	An example of camouflage is an organism looking like leaves	nongold
51	winter is a kind of season	nongold
52	trait is synonymous with characteristic	nongold
53	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
54	feature is synonymous with characteristic	nongold
55	appearance is a property of objects; materials	nongold
56	dark means dark in color	nongold
57	snow is a kind of object	nongold
58	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
59	a covering is a kind of object	nongold
60	the arctic  environment usually is cold in  temperature from being at a northern lattitude	nongold
61	winter is a part of the year	nongold
62	snow is cold	nongold
63	well-suited is similar to adapted	nongold
64	something hard; something strong can be used for protection	nongold
65	some animals' fur grows thicker for staying warm in the winter	nongold
66	a human is a kind of animal	nongold
67	gray is a combination of black and white	nongold
68	covering something is a kind of protection	nongold
69	trait means property	nongold
70	green is a kind of color	nongold
71	a rabbit is a kind of mammal	nongold
72	an environment means an area	nongold
73	snow is a kind of precipitation	nongold
74	winter is the opposite of summer	nongold
75	objects in an environment are a part of that environment	nongold
76	the color of an environment means the color of the things that environment contains	nongold
77	colorless means no color	nongold
78	characteristic means property	nongold
79	can be means able to be	nongold
80	if an animal's fur is a certain color then the skin of that animal is probably that same color	nongold
81	surroundings means environment	nongold
82	snow is a kind of ice	nongold
83	high is similar to increase	nongold
84	adapt is similar to evolve	nongold
85	a structure of something is synonymous with a part of that something	nongold
86	the colors of parts of an organism are inherited characteristics	nongold
87	fur is usually part of a mammal	nongold
88	to change means to become different	nongold
89	a type is synonymous with a kind	nongold
90	opposite is a kind of different	nongold
91	appearance  is a kind of physical property	nongold
92	an organism is a living thing	nongold
93	a part of something means a characteristic of something	nongold
94	to distinguish means to tell the difference between	nongold
95	looking like is similar to camouflaging as	nongold
96	form means kind	nongold
97	color is an intensive property	nongold
98	appearance is sometimes a physical property	nongold
99	skin is a part of an animal; plant	nongold
