Question	The brown tree snake is a nonnative species found on the South Pacific island of Guam. The brown tree snake population in Guam is so large that it negatively affects the humans there. Which statement best explains why the brown tree snake has flourished in Guam?	question
Answer	There are no natural snake predators.	answer
0	the brown tree snake is nonnative to Guam	gold
1	sometimes nonnative species have no natural predators	gold
2	nonliving; non-living; die is the opposite of living; alive; live	nongold
3	harming an animal species has a  negative impact on the population size of that species	nongold
4	harming something has a  negative impact on; effect on that something	nongold
5	harming an animal species causes that animal's population to decrease	nongold
6	a snake is a kind of animal	nongold
7	having no natural predators increases population size	gold
8	flourishing means large; high in population size	gold
9	negative impact is the opposite of positive impact	nongold
10	nonliving means not living	nongold
11	killing means harming something causing death	nongold
12	to impact means to affect	nongold
13	if something affects a part of something else then that something affects that something else	nongold
14	killing a living thing decreases the number; population size of that living thing	nongold
15	an animal is a member of an animal species	nongold
16	if a living thing requires something then that something has a positive impact on that living thing	nongold
17	a predator is a kind of animal	nongold
18	a human is a kind of animal	nongold
19	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
20	an organism is a living thing	nongold
21	causing is a kind of affecting	nongold
22	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
23	population is a measure of the number of a species in an environment	nongold
24	an animal is a kind of living thing	nongold
25	negative impacts on a species will decrease populations of a species	nongold
26	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
27	a predator usually kills its prey to eat it	nongold
28	if there is none of a thing then that thing does not exist	nongold
29	most predators live in; live near the same environment as their prey	nongold
30	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
31	an ecosystem contains nonliving things	nongold
32	an animal is a kind of organism	nongold
33	an increase is the opposite of a decrease	nongold
34	a human is a kind of mammal	nongold
35	impact means effect	nongold
36	predators; carnivores; omnivores eat other animals	nongold
37	an animal; living thing requires nutrients for survival	nongold
38	predators eat prey	nongold
39	killing means changing a living thing from alive to dead by harming	nongold
40	found in means existing in	nongold
41	positive impacts on a species will increase populations of a species	nongold
42	a tree is a kind of living thing	nongold
43	harming an environment causes harm to the living things; to the organisms in that environment	nongold
44	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
45	an ecosystem contains a large community of; large numbers of living organisms	nongold
46	harming an organism can cause that organism to die	nongold
47	humans live on land	nongold
48	human is a kind of organism	nongold
49	organisms are a part of an environment	nongold
50	brown is a kind of color	nongold
51	if the population of an animal decreases then that animal may no longer be found in that place	nongold
52	a population is made of one type of organism in an area	nongold
53	humans changing animal habitats usually causes harm to those animals	nongold
54	an environment means an area	nongold
55	a living thing is a kind of object	nongold
56	carnivores; omnivores are predators	nongold
57	fewer means lower; less in number	nongold
58	an animal requires a habitat for survival	nongold
59	to lack means to not have	nongold
60	a lizard is a kind of animal	nongold
61	a negative impact is a kind of consequence; risk	nongold
62	if something is required for a process then that something positively impacts that process	nongold
63	carnivores only eat animals	nongold
64	prey  is a kind of animal	nongold
65	animals; living things live and feed in their habitats; near their habitats	nongold
66	an environment is a kind of place	nongold
67	decreasing something negative has a positive impact on a thing	nongold
68	a tree is a kind of habitat	nongold
69	small is the opposite of large	nongold
70	an aquatic animal is a kind of animal	nongold
71	as  population of prey decreases , the population of predators will  decrease	nongold
72	to cause means to have an effect	nongold
73	as population of predators increases , the population of prey will decrease in an environment	nongold
74	life means living things	nongold
75	a positive impact is  a benefit	nongold
76	if members of a species are born; survive then the population of that species increases	nongold
77	an island is a kind of landform	nongold
78	as population of predators decreases , the population of prey will increase in an environment	nongold
79	organisms mean life	nongold
80	carnivores; omnivores; herbivores are a kind of animal	nongold
81	if a living thing dies then that living thing is dead	nongold
82	a natural ecosystem contains native living things only	nongold
83	organisms; living things live in their habitat; their home	nongold
84	a tree is a kind of plant	nongold
85	if a species existed for a relatively short time then that species is now extinct	nongold
86	humans changing an environment causes animal populations to decrease in that environment	nongold
87	an environment is similar to an ecosystem	nongold
88	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
89	lack is similar to low; little	nongold
90	a predator eats other animals for food	nongold
91	an ecosystem is a kind of habitat	nongold
92	a predator is a kind of enemy to its prey	nongold
93	reproduction increases the number; population of a living thing	nongold
94	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
95	person is synonymous with human	nongold
96	if something required by something else is in a place then that something else may be in that place	nongold
97	affecting an organism's niche means affecting that organism	nongold
98	habitat is similar to environment	nongold
99	brown is dark in color	nongold
