Question	Paco throws a ball. What force pulls the ball down toward the ground?	question
Answer	gravity	answer
0	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	gold
1	gravity pulls objects towards planets	nongold
2	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
3	gravity accelerates an object while that object falls by pulling on it	nongold
4	gravity is a kind of force	gold
5	downward means down	nongold
6	pulling is a kind of motion	nongold
7	a ball is a kind of object	nongold
8	a pull is a kind of force	nongold
9	up means upward	nongold
10	low means down	gold
11	the ground is at the bottom of an area	gold
12	the ground is part of the Earth	nongold
13	ground means floor	nongold
14	falling means moving downward	nongold
15	lowering is a kind of motion	nongold
16	a force is a kind of push or pull on an object	nongold
17	to land on the ground means to hit the ground	nongold
18	the ground means Earth's surface	nongold
19	upward is the opposite of downward	nongold
20	the bottom is the lowest part of something	gold
21	the mass of an object causes the gravitational force exerted by that object	nongold
22	toward is a kind of direction	nongold
23	weight means the force of gravity acting on an object	nongold
24	to lift means to move up	nongold
25	below means lower down	nongold
26	rolling down is similar to falling	nongold
27	to drop means to fall	nongold
28	the mass of a planet causes the pull of gravity on that planet	nongold
29	a motion is a kind of event; action	nongold
30	rising is a kind of motion	nongold
31	Weight is  the  force of gravity acting on an object	nongold
32	down is a kind of direction	nongold
33	pull is similar to attract	nongold
34	rising means moving upward	nongold
35	Earth is a kind of planet	nongold
36	come down is similar to falling	nongold
37	raising is a kind of motion	nongold
38	gravitational fore is a kind of non-contact force	nongold
39	an object exerts an upward force objects that sit on that object	nongold
40	a landform is a kind of object	nongold
41	a living thing is a kind of object	nongold
42	downward is a kind of direction	nongold
43	high is similar to increase	nongold
44	particles in objects are a kind of matter	nongold
45	gravity helps move blood through the body	nongold
46	towards means closer to something	nongold
47	to lower means to decrease	nongold
48	gravity causes orbits	nongold
49	motion; movement means moving; to move	nongold
50	to travel up means to rise	nongold
51	sinking means moving down	nongold
52	hitting is a kind of motion	nongold
53	low is the opposite of high	nongold
54	counter means reduce; stop; resist	nongold
55	force causes the speed of an object to increase; to decrease	nongold
56	below is the opposite of above	nongold
57	skidding is a kind of motion	nongold
58	rolling is a kind of motion	nongold
59	producing thrust causes something; an animal; an object to move	nongold
60	weight is a measure of the force of the gravity on the mass of an object	nongold
61	an animal is a kind of living thing	nongold
62	an event is a kind of action	nongold
63	increase means more	nongold
64	if there is no gravitational pull , then the weight of an object will be equal to zero	nongold
65	exerting force on an object means a force acts on an object	nongold
66	upward is a kind of direction	nongold
67	motion is when moves an object; something to a direction	nongold
68	objects are made of materials; substances; matter	nongold
69	pulling away is similar to separating	nongold
70	push is a kind of force; application of force	nongold
71	toward is the opposite of away	nongold
72	to cause is similar to bring	nongold
73	low is similar to decrease	nongold
74	to move toward means to move nearer	nongold
75	dropping something causes that something to fall	nongold
76	jumping off is a kind of  moving down	nongold
77	a human is a kind of animal	nongold
78	pushing an object requires force	nongold
79	beneath means below	nongold
80	speed up means increase	nongold
81	movement is a kind of change	nongold
82	a particle is a kind of object	nongold
83	to slow; to slow down decreases speed	nongold
84	a surface is a part of an object	nongold
85	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
86	lower means less	nongold
87	a roll is a kind of movement	nongold
88	a component of something means a part of that something	nongold
89	an part of an object is smaller than the entire object	nongold
90	closer means lower; less; a decrease in distance	nongold
91	as an object is moving down , the speed of the object  will increase	nongold
92	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
93	to add means to increase	nongold
94	a bird is a kind of living thing	nongold
95	a bird is a kind of animal	nongold
96	a rock is a kind of object	nongold
97	setting is a kind of motion	nongold
98	force requires energy	nongold
99	an animal is a kind of organism	nongold
