Question	Which of the following best describes a mineral?	question
Answer	a natural substance that makes up rocks	answer
0	a mineral is a kind of solid; natural material	nongold
1	a mineral is a kind of object	nongold
2	rock is made of minerals	gold
3	made up of means contains; made of	nongold
4	all minerals are formed by natural geological processes	gold
5	the parts of something make up that something	nongold
6	a rock is a kind of object	gold
7	rock is a kind of material	nongold
8	objects are made of materials; substances; matter	gold
9	Earth is made of rock	nongold
10	composed of means made of	gold
11	substances are made of matter	nongold
12	the properties of something are used for describing that something	gold
13	rock means stone	nongold
14	soil is made of very small rocks; minerals	nongold
15	material means substance	nongold
16	made of is similar to contains	nongold
17	best means most positive	nongold
18	made by humans; artificial is the opposite of natural	nongold
19	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
20	a mountain is made of rocks; soil	nongold
21	a part of a living thing is a natural structure	nongold
22	an object is made of its parts	nongold
23	to cause means to make	nongold
24	a landform is a kind of natural formation	nongold
25	if something is made of something; a material then that something contains that something; that material	nongold
26	rock is a kind of nonliving thing	nongold
27	a description sometimes provides information	nongold
28	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
29	if an object is made of something then the parts of that object are made of that something	nongold
30	materials are made of matter	nongold
31	to be made of means to consist of	nongold
32	sometimes rocks are formed by quartz; feldspar mixed together	nongold
33	a mineral usually has a crystal structure	nongold
34	measuring is used for describing an object	nongold
35	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
36	to be made of something means to be formed of that something	nongold
37	substances are made of elements	nongold
38	if something is made of something else then that something can be broken down into that something else	nongold
39	mechanical weathering is when rocks are broken down by mechanical means	nongold
40	metamorphosed rock is a kind of rock	nongold
41	a living thing is a kind of object	nongold
42	structure is a property of an object; a material; a substance	nongold
43	a rock is usually a solid	nongold
44	to make means to form	nongold
45	a structure of something is synonymous with a part of that something	nongold
46	composition means the (materials, substances) of which something is composed	nongold
47	form means kind	nongold
48	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
49	igneous is a kind of rock	nongold
50	sand is made of very small rocks; minerals	nongold
51	if something is made of something else , then that something else will be the component of that something	nongold
52	better means good	nongold
53	make means produce	nongold
54	different classes of rocks are formed by different methods	nongold
55	rock is hard	nongold
56	can be means able to be	nongold
57	an object; material; substance comes from that object or material's source	nongold
58	some minerals are nutrients	nongold
59	good means positive	nongold
60	answering questions requires information	nongold
61	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
62	a component means a part of	nongold
63	to create means to make	nongold
64	a component of something means a part of that something	nongold
65	a type is synonymous with a kind	nongold
66	rocks often contain large amounts of metal	nongold
67	class is a measure of how a rock is formed	nongold
68	gypsum is a kind of mineral	nongold
69	mica is a kind of mineral	nongold
70	organic is similar to natural	nongold
71	the properties of something can be used to identify; used to describe that something	nongold
72	information is used to describe something	nongold
73	state means form	nongold
74	water is a kind of substance	nongold
75	if something is caused by something else , then that something can be explained by that something else	nongold
76	metamorphic is a kind of rock	nongold
77	creating means making	nongold
78	to be made of is similar to collection	nongold
79	to give is similar to to cause	nongold
80	to split means to break down	nongold
81	made of is similar to is built from	nongold
82	granite is a kind of igneous rock	nongold
83	Earth's surface is made of rock	nongold
84	if an object is made of a material then that object has the properties of that material	nongold
85	composition is a property of an object; matter	gold
86	a source of something emits; produces; generates; provides that something	nongold
87	metamorphic rock is a kind of rock	nongold
88	where something  comes from is a source of that something	nongold
89	what an object is made of is a kind of characteristic	nongold
90	if something is made of something else then the formation of that something requires that something else	nongold
91	an event is a kind of action	nongold
92	system means a set of objects	nongold
93	sulfur is a kind of mineral	nongold
94	a boulder is a kind of rock	nongold
95	a structure is a kind of feature	nongold
96	all the other means the rest of	nongold
97	to be a combination of means to be made of	nongold
98	to be formed by is similar to being produced by	nongold
99	a whole is formed by its parts	nongold
