Question	When ice melts, it becomes a	question
Answer	liquid.	answer
0	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
1	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
2	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
3	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
4	becoming is similar to changing	gold
5	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
6	water is a kind of liquid at room temperature	gold
7	liquid is a kind of state of matter	nongold
8	freezing is a kind of phase change	nongold
9	solid is a kind of state of matter	nongold
10	ice is a kind of solid	gold
11	a liquid is a kind of fluid	nongold
12	temperature is a measure of heat energy	nongold
13	gas is a kind of state of matter	nongold
14	a liquid is a kind of substance	nongold
15	melting is when solids are heated above their melting point	nongold
16	water is a kind of substance	nongold
17	frozen means solid	nongold
18	answering questions requires information	nongold
19	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
20	melting is a kind of phase change	nongold
21	liquid water cooling causes that liquid water to freeze	nongold
22	heat means heat energy	nongold
23	icy means made of ice	nongold
24	water is a kind of matter	nongold
25	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
26	a solid is a kind of substance	nongold
27	warm; becoming warm means heat is added	nongold
28	ice is a kind of object	nongold
29	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
30	ice is a kind of water phase	nongold
31	cold means low in temperature	nongold
32	freezing means cold temperatures	nongold
33	heat energy can change the state of matter	nongold
34	freezing causes a solid to form	nongold
35	ice cream is a kind of solid	nongold
36	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
37	ice is a kind of food	nongold
38	to add means to increase	nongold
39	ice is cold in temperature	nongold
40	heating means adding heat	nongold
41	snow is a kind of ice	nongold
42	gas is a kind of substance	nongold
43	hot means high in heat energy; temperature	nongold
44	ice crystals means  ice	nongold
45	phase means state	nongold
46	water is a kind of water phase	nongold
47	water is a kind of object	nongold
48	vapor is synonymous with gas	nongold
49	melting point means temperature at which a solid melts; above which a solid melts	nongold
50	to convert means to change	nongold
51	heat energy is synonymous with thermal energy	nongold
52	an increase is a kind of change	nongold
53	adding heat means increasing temperature	nongold
54	high is similar to increase	nongold
55	temperature changing can cause phase changes	nongold
56	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
57	a beverage is a kind of liquid	nongold
58	an ice cube is a kind of solid	nongold
59	substances are made of matter	nongold
60	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
61	ice is colder than water in temperature	nongold
62	colder; cooler means lower in temperature	nongold
63	absorbing energy causes objects; materials; substances to heat	nongold
64	becoming is similar to forming	nongold
65	frost is a kind of solid water	nongold
66	a container contains objects; material; substances	nongold
67	cool means cold	nongold
68	temperature is a property of weather	nongold
69	moisture means liquid; liquid water	nongold
70	an ice cube is a kind of object	nongold
71	snow is a kind of object	nongold
72	mass has no impact on boiling; melting; freezing point	nongold
73	temperature is a kind of condition	nongold
74	to reduce means to decrease	nongold
75	something in a cold place becomes cold	nongold
76	plasma is a kind of state of matter	nongold
77	to change means to cause a change	nongold
78	volume has no impact on boiling; melting; freezing point	nongold
79	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
80	to give is similar to to cause	nongold
81	an increase is the opposite of a decrease	nongold
82	a decrease is a kind of change	nongold
83	warmer means greater; higher in temperature; warmth	nongold
84	lava is a kind of matter	nongold
85	objects are made of materials; substances; matter	nongold
86	warm means medium heat energy; temperature	nongold
87	ice cube is made of ice	nongold
88	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
89	matter; materials; substances are made of atoms; particles	nongold
90	cycles of freezing and thawing water cause ice wedging	nongold
91	gas is a kind of object	nongold
92	a glacier is a kind of body of water	nongold
93	a rock is usually a solid	nongold
94	evaporating is a kind of phase change	nongold
95	variable means able to change	nongold
96	warm means warm temperature	nongold
97	when water freezes , that water expands	nongold
98	water expanding when it freezes is a physical property of water	nongold
99	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
