Question	A student adds water and detergent to a cup of soil. The mixture is shaken and allowed to settle. The student observes that silt particles stay suspended long after the other particles form layers at the bottom of the jar. The most likely explanation is that the silt particles are	question
Answer	less dense.	answer
0	silt is a kind of substance	gold
1	denser liquids; particles in liquids; materials settle below liquids or particles in liquids; materials that are less dense	gold
2	settling in a liquid is the opposite of staying suspended in a liquid	gold
3	a student is a kind of human	nongold
4	soil is made of solid particles	nongold
5	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
6	less dense liquids; particles in liquids; materials float liquids; particiles in liquids; materials that are more dense	nongold
7	a jar is a kind of container	nongold
8	soil usually has layers	nongold
9	an increase is the opposite of a decrease	nongold
10	a solution is a kind of mixture	nongold
11	denser means more dense	nongold
12	to add means to increase	nongold
13	less is similar to decrease	nongold
14	dense means high in density	nongold
15	An example of a mixture is sand; clay; soil mixed together	nongold
16	a mixture is a kind of substance	nongold
17	solid water is less dense than liquid water	nongold
18	soil is a kind of material	nongold
19	less means a reduced amount	nongold
20	less is the opposite of more	nongold
21	increase means more	nongold
22	low is similar to decrease	nongold
23	a particle is a kind of object	nongold
24	fewer means lower; less in number	nongold
25	deplete is similar to decrease	nongold
26	soil is made of very small rocks; minerals	nongold
27	to reduce means to decrease	nongold
28	a container contains objects; material; substances	nongold
29	to lower means to decrease	nongold
30	water is a kind of substance	nongold
31	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
32	staying means not changing	nongold
33	lower means less	nongold
34	soil contains water; humus; weathered rocks; organic matter	nongold
35	the top layer of soil contains the most nutrients	nongold
36	a solid is more dense than a gas	nongold
37	a decrease is a kind of change	nongold
38	greater means higher; more in value	nongold
39	little is similar to decrease	nongold
40	an increase is a kind of change	nongold
41	high is similar to increase	nongold
42	studying is similar to observing	nongold
43	causing is similar to allowing	nongold
44	to be used for is similar to allowing	nongold
45	a container is a kind of object	nongold
46	if an amount of objects decreases then those objects are fewer in number	nongold
47	a liquid is a kind of substance	nongold
48	keeping means staying	nongold
49	sand  is a kind of mixture	nongold
50	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
51	water is more dense than oil	nongold
52	if an object is made of a material then that object has the properties of that material	nongold
53	a cup is a kind of drinking container	nongold
54	water is a kind of liquid at room temperature	gold
55	too much is similar to increase	nongold
56	particles in objects are a kind of matter	nongold
57	moisture means liquid; liquid water	nongold
58	matter; materials; substances are made of atoms; particles	gold
59	the bottom is the lowest part of something	gold
60	material means substance	nongold
61	sand is similar to soil	nongold
62	an mixture is formed by two or more substances combined together physically	nongold
63	soil is usually part of an environment	nongold
64	An example of a suspension is oil mixed with water	nongold
65	heat means heat energy	nongold
66	a molecule is a kind of particle	nongold
67	density is a kind of physical property	nongold
68	a solution is formed by one substance being dissolved in another substance	nongold
69	as the volume of an object decreases , the density of that object will increase	nongold
70	solution is a kind of liquid	nongold
71	a solution is made of one substance dissolved in another substance	nongold
72	as the amount of a source of something decreases , the amount of that something will decrease	nongold
73	observe means see	nongold
74	smaller means less; lower in size	nongold
75	a human is a kind of animal	nongold
76	water is a kind of object	nongold
77	to slow; to slow down decreases speed	nongold
78	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
79	sand  is a kind of material	nongold
80	sand is made of small particles	nongold
81	sand in water settles to the bottom of water	nongold
82	if a medium is denser , then the medium will be another medium	nongold
83	water is a kind of matter	nongold
84	soil loss causes an area decrease in size	nongold
85	materials are made of matter	nongold
86	low quality soil has a small; a low number of nutrients	nongold
87	objects are made of materials; substances; matter	nongold
88	live is similar to stay	nongold
89	decreasing something negative has a positive impact on a thing	nongold
90	a  solution  is a kind of object	nongold
91	low is the opposite of high	nongold
92	if something is made of something; a material then that something contains that something; that material	nongold
93	weak means low in strength	nongold
94	adding heat means increasing temperature	nongold
95	substances are made of matter	nongold
96	lowest means least in value; amount; number	nongold
97	particles in a solid are slower than particles in a liquid	nongold
98	strong means high in strength	nongold
99	as the cause of something decreases , that something will decrease	nongold
