Question	Martin is writing a report for science class about how the tilt of Earth affects living organisms. Which subject should Martin include in his report that is directly affected by Earth's tilt?	question
Answer	changing of the seasons	answer
0	Earth's tilt on its rotating axis causes seasons to change; to occur	gold
1	the Earth being tilted on its rotating axis causes seasons	nongold
2	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
3	an organism is a living thing	nongold
4	Earth orbiting the Sun causes seasons to change	nongold
5	seasons cause change to the environment	nongold
6	each season occurs once per year	nongold
7	to impact means to affect	nongold
8	different seasons occur during different times of the year	nongold
9	affected means changed	nongold
10	an animal is a kind of living thing	nongold
11	winter is a kind of season	nongold
12	an animal is a kind of organism	nongold
13	Autumn is a kind of season	nongold
14	Earth is a kind of planet	nongold
15	a living thing is a kind of object	nongold
16	life means living things	nongold
17	annual means once per year	nongold
18	change is a kind of impact	nongold
19	causing is a kind of affecting	gold
20	weather changes from seasons to seasons	nongold
21	an increase is a kind of change	nongold
22	impact means effect	nongold
23	to change means to have an effect	nongold
24	season is a major yearly temperature change	nongold
25	increase means more	nongold
26	to cause means to have an effect	nongold
27	to vary means to change	nongold
28	spring is a kind of season	nongold
29	if something affects a part of something else then that something affects that something else	nongold
30	winter is a part of the year	nongold
31	summer is a kind of season	nongold
32	a decrease is a kind of change	nongold
33	an increase is the opposite of a decrease	nongold
34	to change means to become different	nongold
35	variable means able to change	nongold
36	the Earth rotates on its axis	nongold
37	a seasonal change is a kind of environmental change	nongold
38	if a living thing requires something then that something has a positive impact on that living thing	nongold
39	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
40	high is similar to increase	nongold
41	including means containing	nongold
42	every summer  is a kind of period of time	nongold
43	to be affected by something is similar to depending on something	nongold
44	spring follows winter	nongold
45	a human is a kind of animal	nongold
46	winter has cold temperatures;weather	nongold
47	seasonal changes are made in response to changes in the environment	nongold
48	movement is a kind of change	nongold
49	to lower means to decrease	nongold
50	to turn means to change	nongold
51	a plant is a kind of organism	nongold
52	the intensity of sunlight is a kind of seasonal weather pattern	nongold
53	a plant is a kind of living thing	nongold
54	to report means to show	nongold
55	to add means to increase	nongold
56	if the component of something changed , then the whole thing will change	nongold
57	answering questions requires information	nongold
58	rotation is a kind of motion	nongold
59	to change means to cause a change	nongold
60	a new season occurs four times per year	nongold
61	summer follows spring	nongold
62	if something is made by something else then that something is affected by that something else	nongold
63	winter is the opposite of summer	nongold
64	setting is a kind of motion	nongold
65	human is a kind of organism	nongold
66	spring has warm temperatures; weather	nongold
67	to act on means to affect	nongold
68	Mars is a kind of planet	nongold
69	a type is synonymous with a kind	nongold
70	changed is the opposite of unchanged	nongold
71	to reduce means to decrease	nongold
72	a motion is a kind of event; action	nongold
73	organisms are a part of an environment	nongold
74	stay the same means not changing	nongold
75	becoming is similar to changing	nongold
76	fall means autumn	nongold
77	fall is a kind of season	nongold
78	having an impact on something means altering that something	nongold
79	to modify means to change	nongold
80	a source of something increases the amount of that something	nongold
81	causing means influencing	nongold
82	revolving is a kind of motion	nongold
83	to cause is similar to bring	nongold
84	a new season occurs once per 3.0 months	nongold
85	change is a kind of process	nongold
86	yearly means every year	nongold
87	shift means move	nongold
88	rising is a kind of motion	nongold
89	classifying is when one sorts something by kind; type	nongold
90	a source of something emits; produces; generates; provides that something	nongold
91	unchanged means not changed	nongold
92	the effects of something is a property of that something	nongold
93	to be a source of something means to cause that something	nongold
94	an event is a kind of action	nongold
95	low is similar to decrease	nongold
96	a mammal is a kind of animal	nongold
97	due to means caused by	nongold
98	a component means a part of	nongold
99	variation means change	nongold
