Question	Which of the following is the main role of flowers found on most flowering plants?	question
Answer	to produce seeds	answer
0	role means function	nongold
1	a flower's purpose is to produce seeds	gold
2	purpose means role	gold
3	a flower produces pollen and seeds	gold
4	a flower is a part of a plant for attracting pollinators; producing seeds	gold
5	something is used for that something's purpose	nongold
6	pollinating is a kind of function	nongold
7	the function of something is what that something  is used to do	nongold
8	plant reproduction; seed production requires pollination	nongold
9	part means role	nongold
10	function is similar to purpose	nongold
11	to be found in means to be contained in	nongold
12	green plants are a kind of producer	nongold
13	to produce means to provide	nongold
14	a seed is a part of a plant	nongold
15	In the flowering plant life cycle , seed	nongold
16	pollination requires pollinators; pollinating animals	nongold
17	producer is a kind of role in the food chain process; in an ecosystem	nongold
18	plant requires seed dispersal for reproduction	nongold
19	pollen is part of a flower for reproduction	nongold
20	producing is a kind of function	nongold
21	a flower is a source of nectar	nongold
22	if something is a part of something then that something can be found in that something	nongold
23	to be a vehicle for is a kind of function	nongold
24	a source of something emits; produces; generates; provides that something	nongold
25	to have a function is similar to to be responsible for	nongold
26	a flower is a kind of plant	nongold
27	role is similar to importance	nongold
28	a role in the ecosystem is a role in the food chain process	nongold
29	found in means existing in	nongold
30	In the food chain process a  green plant has the role of  producer	nongold
31	flowers are a source of fruit	nongold
32	to contribute is similar to produce	nongold
33	In the flowering plant life cycle , germination can follow seed	nongold
34	a producer produces its own food	nongold
35	In the flowering plant life cycle , fruiting is part of reproduction	nongold
36	In the flowering plant life cycle , pollination is part of reproduction	nongold
37	if something performs a task then that task is that something's function	nongold
38	pollination is a kind of process for plant reproduction	nongold
39	to be involved in something means to have a role in something	nongold
40	In the flowering plant life cycle , flowering is part of reproduction	nongold
41	role means niche	nongold
42	a plant is a kind of living thing	nongold
43	producing is a kind of process	nongold
44	a producer is a kind of living thing	nongold
45	pollinator means pollinating animal	nongold
46	providing is a kind of function	nongold
47	a berry contains seeds	nongold
48	a seed is used for storing food for a new plant	nongold
49	a flower contains pollen for sexual reproduction	nongold
50	fruit contains seeds	nongold
51	some flowers become fruits	nongold
52	a seed is a kind of young plant	nongold
53	make means produce	nongold
54	plant reproduction often requires pollen	nongold
55	In the flowering plant life cycle , fruiting can follow pollination	nongold
56	to be used for something means to be required by that something	nongold
57	pollination is when pollinating animals; wind; water carry pollen from one flower to another flower	nongold
58	a plant is a kind of organism	nongold
59	if something causes a process then that something is required for that process	nongold
60	most means over 50% of something	nongold
61	converting is similar to producing	nongold
62	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
63	In the flowering plant life cycle , seed dispersal can follow fruiting	nongold
64	causing is a kind of function	nongold
65	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
66	seed dispersal has a positive impact on a plant; a plant's reproduction	nongold
67	a plant; living thing requires food for survival	nongold
68	emit means produce	nongold
69	to depend on; to rely on; to need means to require	nongold
70	an organism is a living thing	nongold
71	plants are the source of fruit	nongold
72	a plant; living thing requires nutrients to grow	nongold
73	living things can all reproduce	nongold
74	products are formed; are produced; are created	nongold
75	In the flowering plant life cycle , growth can follow germination	nongold
76	an animal is a kind of living thing	nongold
77	being used for is similar to providing	nongold
78	all living things grow	nongold
79	reproduction is a kind of process	nongold
80	In the flowering plant life cycle , pollination can follow flowering	nongold
81	a food contains nutrients for living things	nongold
82	seed dispersal is a kind of method of sexual reproduction	nongold
83	to provide something means to be the source of that something	nongold
84	pollinated means after pollination	nongold
85	reproduction produces; produce offspring	nongold
86	to cause means to be responsible for	nongold
87	a plant requires photosynthesis to grow; survive	nongold
88	seed dispersal is when the seeds of a plant are moved from the plant to  a new environment	nongold
89	a leaf is a part of a  green plant	nongold
90	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
91	a function is an activity	nongold
92	a living thing is a kind of object	nongold
93	if a plant sprouts from a seed then that plant is born	nongold
94	to work means to function	nongold
95	generate means produce	nongold
96	seeds sprouting causes plants to grow	nongold
97	a leaf is a kind of plant	nongold
98	An insect is a pollinating animal	nongold
99	vegetation means plants	nongold
