Question	Smoking harms the body in many ways. It is most harmful to which organ?	question
Answer	lung	answer
0	smoking causes direct damage to the lungs	gold
1	a lung is a kind of organ for breathing air	gold
2	the lungs are a part of the body of an animal used for breathing air	nongold
3	harming something has a  negative impact on; effect on that something	nongold
4	the lungs are a part of the respiratory system	nongold
5	exhaling  is when an animal expels air from the lungs	nongold
6	the respiratory system is a kind of human; organ; body system	nongold
7	something harmful can cause harm	nongold
8	damage means harm	gold
9	adverse effect means negative impact	nongold
10	breathing  is when a lung converts from oxygen in air into oxygen in blood	nongold
11	to hurt means to harm	nongold
12	harm means injury	nongold
13	lungs are used for breathing air by land animals; birds	nongold
14	the body is a part of an organism	nongold
15	an animal; bacterium requires oxygen for survival; to breathe	nongold
16	breathing in is when animals inhale air into their lungs	nongold
17	killing means harming something causing death	nongold
18	negative impact is the opposite of positive impact	nongold
19	blood absorbs oxygen in the lungs	nongold
20	breathing out is when animals exhale carbon dioxide from their lungs into the air	nongold
21	damage has a negative impact on a thing	nongold
22	smoking tobacco decreases stamina; cardiovascular efficiency	nongold
23	an animal is a kind of organism	nongold
24	a human is a kind of animal	nongold
25	death means to die	nongold
26	burning a living thing usually causes harm to that living thing	nongold
27	harming an organism can cause that organism to die	nongold
28	the bladder is a part of the body	nongold
29	an animal is a kind of living thing	nongold
30	an organism is a living thing	nongold
31	the absorption of oxygen through the blood occurs in the lungs	nongold
32	to combust means to catch fire	nongold
33	impact means effect	nongold
34	the respiratory system takes in oxygen from the air	nongold
35	the respiratory system performs respiration	nongold
36	high is similar to increase	nongold
37	killing means changing a living thing from alive to dead by harming	nongold
38	protecting something means preventing harm to that something	nongold
39	an animal requires air for survival	nongold
40	air is a kind of gas	nongold
41	a negative impact is a kind of consequence; risk	nongold
42	helping bodily processes has a positive impact on an animal; an animal's health	nongold
43	human is a kind of organism	nongold
44	to impact means to affect	nongold
45	to help; to benefit means to be of use	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	to be a source of something means to cause that something	nongold
48	to give off means to be the source of	nongold
49	atmosphere means  air	nongold
50	to exhale means to release	nongold
51	decreasing something negative has a positive impact on a thing	nongold
52	fire causes burning	nongold
53	disease has a negative impact on an organism	nongold
54	to reduce means to decrease	nongold
55	breathing is a kind of  function	nongold
56	life means living things	nongold
57	all animals breathe	nongold
58	toxic means poisonous	nongold
59	decreasing something positive has a negative impact on a thing	nongold
60	good means positive	nongold
61	burning is a kind of action	nongold
62	something dangerous can cause harm	nongold
63	less is similar to decrease	nongold
64	helping something has a  positive impact on that something	nongold
65	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
66	organ system means body system	nongold
67	most means over 50% of something	nongold
68	too much is similar to increase	nongold
69	fire gives off light; heat; smoke	nongold
70	due to means caused by	nongold
71	low is similar to decrease	nongold
72	an increase is the opposite of a decrease	nongold
73	causing is a kind of function	nongold
74	to lower means to decrease	nongold
75	the function of something is what that something  is used to do	nongold
76	best means most positive	nongold
77	gas is a kind of substance	nongold
78	if a living thing dies then that living thing is dead	nongold
79	a living thing is a kind of object	nongold
80	to cause means to have an effect	nongold
81	increase means more	nongold
82	causing is a kind of affecting	nongold
83	breathing is when animals convert oxygen into carbon dioxide	nongold
84	dying is the opposite of living; surviving	nongold
85	can be means able to be	nongold
86	destroying something causes harm to that something	nongold
87	affected means changed	nongold
88	oxygen is a kind of gas at room temperature	nongold
89	to give is similar to to cause	nongold
90	emit means produce	nongold
91	to depend on; to rely on; to need means to require	nongold
92	poison causes harm to living things; organisms	nongold
93	combustion is a kind of exergonic reaction	nongold
94	producing is similar to causing	nongold
95	oxygen has a positive impact on air quality	nongold
96	internal organs are a part of the body	nongold
97	a body system is a part of the body; an animal	nongold
98	reptiles have lungs	nongold
99	a component means a part of	nongold
