Question	An element is identified by	question
Answer	its number of protons.	answer
0	an element is identified by its number of protons	gold
1	atomic number means proton number	nongold
2	a proton is a part of an atom; an element	nongold
3	an atom is made of protons; neutrons; electrons	nongold
4	an atom is the smallest particle; unit that has the properties of an element	nongold
5	one is a kind of number	nongold
6	protons are a kind of subatomic particle	nongold
7	atomic number is a property of elements	nongold
8	proton is a kind of subatomic particles	nongold
9	how many means what number	nongold
10	amount is similar to number	nongold
11	the number in chemical formula shows the number of atoms of each element in a molecule	nongold
12	protons are found in the nucleus of an atom	nongold
13	the properties of something can be used to identify; used to describe that something	nongold
14	the number of parts of something is a property of that something	nongold
15	classifying means grouping objects; materials by their properties	nongold
16	classify is similar to characterize	nongold
17	four is a kind of number	nongold
18	to identify means to discover	nongold
19	classifying is when one sorts something by kind; type	nongold
20	an  element is a kind of atom	nongold
21	something's function can be used to describe; identify that something	nongold
22	to categorize means to classify	nongold
23	the nucleus of an atom is usually made of both protons and neutrons	nongold
24	an element is made of one kind of atoms	nongold
25	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
26	an electron is a kind of charged particle	nongold
27	an element is a kind of  substance	nongold
28	if an object has a negative net charge then that object contains more electrons than protons	nongold
29	if a substance is made of one element , then the substance is called an element	nongold
30	protons and neutrons are formed during nuclear fusion	nongold
31	substances are made of elements	nongold
32	many means high in number	nongold
33	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
34	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
35	to tell the difference between things means to classify those things	nongold
36	RNA is a kind of nucleic acid	nongold
37	atom cannot be divided into smaller substances	nongold
38	an atom is a kind of object	nongold
39	substances are made of molecules	nongold
40	N means newton	nongold
41	all elements are a kind of pure substance	nongold
42	a halogen is a kind of element	nongold
43	a pure substance is made of only one kind of atom; molecule	nongold
44	an animal is a kind of organism	nongold
45	classifying requires comparing	nongold
46	can be means able to be	nongold
47	a molecule is a kind of object	nongold
48	a living thing is a kind of object	nongold
49	a molecule is a kind of particle	nongold
50	identifying is similar to determining	nongold
51	an part of an object is smaller than the entire object	nongold
52	an animal is a kind of living thing	nongold
53	identifying sometimes requires examining	nongold
54	a human is a kind of animal	nongold
55	chemical reactions do not cause the total number of atoms to change	nongold
56	the structure  of an atom can be used for identifying the element	nongold
57	a molecule is the smallest particle; unit that has the properties of a compound	nongold
58	an atom is exceptionally small in size	nongold
59	DNA is a kind of nucleic acid	nongold
60	a kind of something is classified as that something	nongold
61	a particle is a kind of object	nongold
62	charged particles are a kind of high-energy particles	nongold
63	an organism is a living thing	nongold
64	matter; materials; substances are made of atoms; particles	nongold
65	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
66	made up of means contains; made of	nongold
67	to be made of something means to be formed of that something	nongold
68	to be made of means to consist of	nongold
69	electron configuration is a property of elements	nongold
70	elements in nitrogen family have five; 5 valence electrons	nongold
71	elements in oxygen family have six; 6 valence electrons	nongold
72	a protozoan is a kind of animal	nongold
73	if the outermost electron shell of an atom is full; complete , then the  element of those atoms will not react with other elements easily	nongold
74	an event is a kind of action	nongold
75	an object is made of its parts	nongold
76	hydrogen is a kind of element	nongold
77	an animal is a kind of eukaryote	nongold
78	composed of means made of	nongold
79	a source of something emits; produces; generates; provides that something	nongold
80	unit is similar to part	nongold
81	a mammal is a kind of animal	nongold
82	the composition of something can be used to identify that something	nongold
83	the properties of something are used for describing that something	nongold
84	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
85	according to is similar to be determined by	nongold
86	length is a part of size	nongold
87	form means kind	nongold
88	a prong is a kind of object	nongold
89	atoms are made of particles	nongold
90	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
91	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
92	a living thing is made of cells	nongold
93	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
94	objects are made of materials; substances; matter	nongold
95	if something is made of something else then that something can be broken down into that something else	nongold
96	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
97	greatest means largest; highest; most amount of something	nongold
98	if the elements are in the same family , then the elements will share the same number of valence electrons	nongold
99	metalloid is a kind of element	nongold
