Question	Why does the leaf of a plant look green?	question
Answer	Because it reflects green light	answer
0	a leaf is often green in color	nongold
1	a leaf is a part of a  green plant	gold
2	a leaf is a kind of plant	nongold
3	a leaf is a part of a tree	nongold
4	reflection is when light is reflected from one object; one place to  another object; another place	nongold
5	green is a kind of color	gold
6	a leaf is a kind of object	nongold
7	shiny things; objects reflect light	nongold
8	if an object reflects a light of a certain color then the object appears to be that color	gold
9	a plant is a kind of living thing	gold
10	a leaf performs photosynthesis; gas exchange	nongold
11	sunlight is a kind of light	nongold
12	a tree is a kind of living thing	nongold
13	reflecting light; sound is the opposite of absorbing light; sound	nongold
14	a tree is a kind of plant	nongold
15	to reflect light means to scatter light	nongold
16	a living thing is a kind of object	gold
17	a  plant requires sunlight for photosynthesis	nongold
18	a leaf absorbs sunlight to perform photosynthesis	nongold
19	a leaf is small in size	nongold
20	reflection is a property of light	nongold
21	a plant light is used for help plants by mimicking sunlight	nongold
22	a plant is a kind of organism	nongold
23	green plants are a kind of producer	nongold
24	if an object reflects light toward the eye then that object can be seen	nongold
25	if an object is white then that object reflects all visible light	nongold
26	a plant is a member of a plant species	nongold
27	how something  appears is how that something  looks	gold
28	if an object is blue then that object reflects only blue light	nongold
29	a deciduous tree's leaves usually change color in the autumn season	nongold
30	sunlight is a kind of solar energy	nongold
31	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
32	a forest environment usually is green in color	nongold
33	to bounce back means to reflect	nongold
34	sunlight means solar energy	nongold
35	color is a property of  an object; a material	nongold
36	bright means bright; light in color	nongold
37	plants are a part of the environment	nongold
38	refracting sunlight; light causes sunlight; light to split into different colors	nongold
39	to receive sunlight means to absorb sunlight	nongold
40	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
41	leaves changing color is a kind of process	nongold
42	changes to the amount of light cause leaves on certain trees to change color in autumn	nongold
43	to see means to look	nongold
44	the color of an environment means the color of the things that environment contains	nongold
45	a blue object reflects only blue light	nongold
46	a white object reflects all visible light	nongold
47	reflection is a kind of process	nongold
48	light reflecting off of an object causes that object to be visible to the observer	nongold
49	the sun is a source of light; light energy called sunlight	nongold
50	a flower is a kind of object	nongold
51	if something is outside during the day , then that something will reflect enough light to be seen	nongold
52	high is similar to increase	nongold
53	a vegetable is a kind of plant	nongold
54	a tree is a kind of matter	nongold
55	a water lily is a kind of green plant	nongold
56	grass is a kind of green plant	nongold
57	chlorophyll is green in color	nongold
58	a flower is a kind of plant	nongold
59	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
60	a fern is a kind of plant	nongold
61	large leaves are a kind of adaptation for absorbing sunlight	nongold
62	receiving sunlight  is synonymous with absorbing sunlight	nongold
63	if an object reflects more light then that object is more easily seen	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	grass is green in color	nongold
66	an part of an object is smaller than the entire object	nongold
67	a mirror reflects light	nongold
68	bouncing something back means reflecting that something	nongold
69	a leaf is a kind of plant organ	nongold
70	low is similar to decrease	nongold
71	UV light is a kind of light	nongold
72	shade means low sunlight	nongold
73	a type is synonymous with a kind	nongold
74	if an object is in the light then that object is blocking the light	nongold
75	as lightness in color of an object increases , the ability of that object to reflect light will increase	nongold
76	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
77	coloration means a thing's color	nongold
78	to add means to increase	nongold
79	a branch is a part of a tree	nongold
80	to look like means to have the visual properties of	nongold
81	the leaves of a plant tilt in the direction of sunlight	nongold
82	roots are a part of a plant; tree	nongold
83	an animal is a kind of living thing	nongold
84	yellow is a kind of color	nongold
85	light is a kind of wave	nongold
86	affected means changed	nongold
87	a stem is often a part of plant	nongold
88	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
89	bright means a lot of light	nongold
90	In the food chain process a  green plant has the role of  producer	nongold
91	the sun is the source of solar energy called sunlight	nongold
92	leaves changing color occurs when seasons change	nongold
93	intensity of sunlight is similar to amount of sunlight	nongold
94	a  plant requires sunlight to  grow	nongold
95	to turn means to change	nongold
96	solar energy is a kind of light	nongold
97	can be means able to be	nongold
98	form means kind	nongold
99	a producer is a kind of living thing	nongold
