Question	Which object below is gaining stored energy?	question
Answer	A rubber band that is being stretched	answer
0	when a rubber band is stretched , then the rubber band will gain potential energy	gold
1	a rubber band is a kind of object	gold
2	beneath means below	nongold
3	rubber is usually flexible	nongold
4	rubber is a kind of material	nongold
5	gaining is similar to increasing	nongold
6	rubber is a kind of solid	nongold
7	flexible means high flexibility	nongold
8	below means lower down	nongold
9	rubber is thermal;thermal energy insulator	nongold
10	below is the opposite of above	nongold
11	rubber is durable	nongold
12	as the thickness of something; of an object increases , the resistance to damage of that object; of that something will increase	nongold
13	if something gains something from something else then that something else is a source of that something	nongold
14	a rubber band snapping causes the particles in the rubber band to vibrate	nongold
15	increase is similar to extend	nongold
16	metal is usually flexible	nongold
17	to gain means to obtain	nongold
18	plastic is high in strength	nongold
19	if an object is made of a material then that object has the properties of that material	nongold
20	high is similar to increase	nongold
21	leather is a kind of material	nongold
22	fiber is a kind of material	nongold
23	heat is a kind of energy	nongold
24	friction causes an object to lose energy	nongold
25	skin is a kind of material	nongold
26	thermal energy is a kind of energy	nongold
27	felt is high in roughness	nongold
28	conductivity is a property of a material; substance	nongold
29	rubber is a kind of nonmetal	nongold
30	a living thing is a kind of object	nongold
31	skin is flexible	nongold
32	plastic is a kind of material made by humans	nongold
33	a human is a kind of animal	nongold
34	objects are made of materials; substances; matter	nongold
35	a surface is a part of a material	nongold
36	potential energy means stored energy	gold
37	gloves often are made of rubber	nongold
38	metal is a kind of material	nongold
39	a surface is a part of an object	nongold
40	thickness is  a measure of how thick an object  is	nongold
41	contracting is a kind of movement	nongold
42	as the thickness of an object increases , the resistance to tearing; to breaking will increase	nongold
43	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
44	increase means more	nongold
45	flexibility means the shape of a material; of an object can be easily changed	nongold
46	to add means to increase	nongold
47	texture means how an object feels	nongold
48	friction converts mechanical energy into heat energy	nongold
49	to reduce means to decrease	nongold
50	a surface is a kind of object	nongold
51	friction occurs when two object's surfaces move against each other	nongold
52	higher means greater; above in value; amount; number	nongold
53	mechanical energy is a kind of energy	nongold
54	friction exerts force on moving objects	nongold
55	a bar is a kind of object	nongold
56	can be means able to be	nongold
57	stretching is a kind of change in shape	nongold
58	person is synonymous with human	nongold
59	plastic is durable	nongold
60	to store means to hold	nongold
61	a covering is a kind of object	nongold
62	friction acts to counter the motion of two objects when their surfaces are touching	nongold
63	an animal is a kind of living thing	nongold
64	sound is a kind of energy	nongold
65	metal is a thermal; thermal energy conductor	nongold
66	smooth is a kind of texture	nongold
67	thermal energy is a source of initial energy gain in the water of a geyser	nongold
68	an increase is a kind of change	nongold
69	extreme means very high in value	nongold
70	to lower means to decrease	nongold
71	structure is a property of an object; a material; a substance	nongold
72	length is a part of size	nongold
73	an increase is the opposite of a decrease	nongold
74	plastic is a kind of thermal insulator	nongold
75	material means substance	nongold
76	strength is a property of an object; a material	nongold
77	as roughness of a surface increases , friction will increase	nongold
78	form means kind	nongold
79	to depend on; to rely on; to need means to require	nongold
80	a  rubber eraser is made of rubber	nongold
81	motion; movement means moving; to move	nongold
82	an object is made of its parts	nongold
83	an animal requires energy to move	nongold
84	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
85	conductivity is a kind of physical property	nongold
86	affected means changed	nongold
87	heat means heat energy	nongold
88	being  on something; placed in something; placed over something means touching  that something	nongold
89	a body part is a kind of object	nongold
90	low means down	nongold
91	rubbing  is a kind of motion	nongold
92	thickness is a property of an object and includes ordered  values of thin; thick	nongold
93	strong means high in strength	nongold
94	a structure of something is synonymous with a part of that something	nongold
95	to enhance means to increase	nongold
96	a strip is a kind of object	nongold
97	a wax crayon is made of wax	nongold
98	a source of something emits; produces; generates; provides that something	nongold
99	plastic is recyclable	nongold
