Question	Which of the following does not affect the strength of an electromagnet?	question
Answer	size of the object being attracted by the core	answer
0	size of the object attracted by the electromagnet has no impact on the strength of the electromagnet	gold
1	an electromagnet is a kind of electric magnet	nongold
2	an electromagnet is a kind of device	nongold
3	the core of an electromagnet is the metal	gold
4	an electromagnet requires a ferrous metal to be the core	nongold
5	an electromagnet contains a wire; cylindrical ferrous metal	gold
6	electromagnets generate magnetic fields	nongold
7	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
8	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
9	larger means greater; higher; more; increase in size	nongold
10	a conducting metal loop is a kind of electromagnet	nongold
11	strength is a property of an object; a material	nongold
12	smaller means less; lower in size	nongold
13	as the current supplied to an electromagnet increases , the strength of the electromagnet will increase	nongold
14	length is a part of size	nongold
15	a magnet is a kind of object	nongold
16	if something contains a large amount of magnetic material then that something will attract magnets	nongold
17	a electromagnet is formed by attaching an iron nail wrapped in a copper wire to a circuit	nongold
18	electromagnets can be powered by electricity	nongold
19	to impact means to affect	gold
20	magnetism can affect objects that are not touching	nongold
21	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
22	impact means effect	nongold
23	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
24	plastic is always nonmagnetic	nongold
25	pull is similar to attract	nongold
26	if battery in an electromagnet is active then the nail in the electromagnet will become magnetic	nongold
27	strong means high in strength	nongold
28	mass is similar to size	nongold
29	magnetic attraction pulls two objects together	nongold
30	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
31	affected means changed	nongold
32	if a magnet is attracted to a metal then that magnet will stick to that metal	nongold
33	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
34	objects are made of materials; substances; matter	nongold
35	weak means low in strength	nongold
36	to touch means to contact	nongold
37	larger; bigger is the opposite of smaller	nongold
38	chromium is always nonmagnetic	nongold
39	to change means to have an effect	nongold
40	attract means move closer	nongold
41	weaker is the opposite of stronger	nongold
42	if an object is made of a material then that object has the properties of that material	nongold
43	an part of an object is smaller than the entire object	nongold
44	magnetic force means magnetism	nongold
45	size difference is a kind of difference	nongold
46	size is an extensive property	nongold
47	steel; carbon steel is always ferromagnetic; magnetic	nongold
48	strength is a kind of property	nongold
49	a piece of an object is smaller in size than the whole object	nongold
50	an electrical charge can attract objects to other objects	nongold
51	change is a kind of impact	nongold
52	magnetism can cause objects to repel each other	nongold
53	two objects are usually different in size	nongold
54	to cause means to have an effect	nongold
55	aluminum is always nonmagnetic	nongold
56	soft iron; iron is always ferromagnetic; magnetic	nongold
57	causing is a kind of affecting	nongold
58	a magnetic field is a kind of force	nongold
59	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	nongold
60	a molecule is exceptionally small in size	nongold
61	materials are made of matter	nongold
62	non-contact forces can affect objects that are not touching	nongold
63	an increase is a kind of change	nongold
64	matter; materials; substances are made of atoms; particles	nongold
65	radiation can affect objects that are not touching	nongold
66	an insect usually has a small size	nongold
67	largest means greatest in size	nongold
68	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
69	oxygen is always nonmagnetic	nongold
70	tin is always nonmagnetic	nongold
71	Magnetite is always magnetic	nongold
72	electric currents produce magnetic fields	nongold
73	magnetic energy is a kind of energy	nongold
74	if something is made by something else then that something is affected by that something else	nongold
75	magnetism is a kind of force	nongold
76	metal is sometimes magnetic	nongold
77	glass is always nonmagnetic	nongold
78	high is similar to increase	nongold
79	if something affects a part of something else then that something affects that something else	nongold
80	copper is always nonmagnetic	nongold
81	lead is always nonmagnetic	nongold
82	bronze is always nonmagnetic	nongold
83	touching something means feeling that something	nongold
84	silver is always nonmagnetic	nongold
85	a molecule is a kind of object	nongold
86	growth means size;number;value;strength increases	nongold
87	an atom is exceptionally small in size	nongold
88	substances are made of matter	nongold
89	a factor impacts something	nongold
90	as amount; size of something increases , the intensive properties of that something will not change	nongold
91	plastic is high in strength	nongold
92	zinc is always nonmagnetic	nongold
93	electromagnetic wave is not a mechanical wave	nongold
94	an object has properties	nongold
95	metal is a kind of material	nongold
96	pewter is always nonmagnetic	nongold
97	sand is always nonmagnetic	nongold
98	a wave is a kind of object	nongold
99	wax is always nonmagnetic	nongold
