Question	Timber companies can best manage the number of trees in forests by	question
Answer	planting trees to replace what they cut down.	answer
0	An example of managing; maintaining the number; the use of something is replacing that something	gold
1	managing the number of something is similar to replacing that something	nongold
2	a tree can be replaced by planting a new tree each time one is cut down	nongold
3	timber companies cut down trees	gold
4	logging is when humans cut down trees; forests for wood	nongold
5	replacement means something that is replaced	nongold
6	cutting down trees in a forest causes the number of trees to decrease in that forest	nongold
7	An example of replacing a natural resource is planting new trees where a forest once stood	nongold
8	a forest contains  lots of plants; trees	nongold
9	planting trees is the opposite of cutting down trees	gold
10	how many means what number	nongold
11	amount is similar to number	nongold
12	replace means change from one thing into  another	nongold
13	replanting  a plant means replacing that plant	nongold
14	woodland means forest	nongold
15	a forest is a kind of ecosystem	nongold
16	cutting down a forest means cutting down the trees in that forest	nongold
17	a tree is a kind of plant	nongold
18	many means high in number	nongold
19	wood is a renewable resource	nongold
20	a renewable resource can be replaced	nongold
21	a forest is a kind of environment	nongold
22	a tree is a kind of living thing	nongold
23	replacing something causes that something to decrease	nongold
24	planting trees is sometimes a human activity	nongold
25	planting is a kind of human action	nongold
26	planting trees has a  positive impact on an ecosystem	nongold
27	a tree contains wood	nongold
28	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
29	wood is a kind of biomass	nongold
30	wood is a kind of resource	nongold
31	one is a kind of number	nongold
32	trees are a renewable resource	nongold
33	roots are a part of a plant; tree	nongold
34	population is a measure of the number of a species in an environment	nongold
35	some species of tree are deciduous	nongold
36	forest is synonymous with wooded area	nongold
37	building usually requires cutting down trees	nongold
38	to be used for something means to be required by that something	nongold
39	vegetation means plants	nongold
40	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
41	a plant is a kind of living thing	nongold
42	if a tree is cut down then that tree will die	nongold
43	a rainforest is a kind of ecosystem	nongold
44	quantity means amount	nongold
45	best means most positive	nongold
46	clearing a forest means humans cutting down the trees	nongold
47	wood is a kind of object	nongold
48	trees are a kind of natural resource	nongold
49	resource management means managing the use of resources	nongold
50	better means good	nongold
51	fewer means lower; less in number	nongold
52	a leaf is a part of a tree	nongold
53	four is a kind of number	nongold
54	a rain forest is a kind of forest	nongold
55	if something does not have to be replaced for a long time then that something will save money	nongold
56	high is similar to increase	nongold
57	to depend on; to rely on; to need means to require	nongold
58	abundant means high in number	nongold
59	trees are a kind of resource	nongold
60	a lot means large in amount; quantity	nongold
61	An example of managing the use of something is using less of that something	nongold
62	rainforests contain many species	nongold
63	good means positive	nongold
64	an oak is a kind of tree	nongold
65	if a resource is not replaced then the resource has low availability	nongold
66	can be means able to be	nongold
67	a redwood tree is a kind of tree	nongold
68	green plants are a kind of producer	nongold
69	an ecosystem contains a large community of; large numbers of living organisms	nongold
70	a part of a process means a stage in a process	nongold
71	wood is a kind of natural material	nongold
72	largest amount means most	nongold
73	helping means something can be done; completed more easily; better	nongold
74	increase means more	nongold
75	an event is a kind of action	nongold
76	if a resource is limited in supply then that resource needs to be replaced	nongold
77	an increase is the opposite of a decrease	nongold
78	people can plant trees	nongold
79	a source of something emits; produces; generates; provides that something	nongold
80	harming something has a  negative impact on; effect on that something	nongold
81	a process is a kind of event	nongold
82	the number of parts of something is a property of that something	nongold
83	accounting for means making up some amount	nongold
84	growing is a kind of process	nongold
85	a plant is a kind of organism	nongold
86	a renewable resource is a kind of naturally replaced resource	nongold
87	answering questions requires information	nongold
88	negative impact is the opposite of positive impact	nongold
89	to reduce means to decrease	nongold
90	removing a forest means cutting down the trees in that forest	nongold
91	a tree is a kind of matter	nongold
92	a branch is a part of a tree	nongold
93	bark is a part of a tree	nongold
94	a billion is a kind of  number	nongold
95	removing a forest means cutting down a forest	nongold
96	a process usually requires all of the stages in that process	nongold
97	plants are a kind of resource	nongold
98	planting native plants has a  positive impact on an ecosystem	nongold
99	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
