Question	Which best describes a parallel circuit?	question
Answer	Electricity flows along more than one pathway.	answer
0	if electricity; electric current divides into more than one pathway then the circuit is parallel	gold
1	a junction leads to more than one pathway	nongold
2	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
3	completing a circuit causes electricity; electric current to flow  through that circuit	nongold
4	path is a kind of pathway	nongold
5	a pathway is a kind of plane	nongold
6	flowing is a kind of motion	nongold
7	electricity means electrical energy	nongold
8	electricity can  not flow through an open circuit	nongold
9	powering an electrical device with a battery requires a path for electricity to flow through a closed circuit	nongold
10	a circuit is a kind of electrical component	nongold
11	a closed circuit has continuous path	nongold
12	An electrical conductor is a vehicle for the flow of electricity	nongold
13	the properties of something are used for describing that something	nongold
14	to flow is similar to to transfer	nongold
15	flowing is a kind of action	nongold
16	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
17	when a switch in a simple series circuit is closed , electricity will flow through the circuit	nongold
18	increase means more	nongold
19	household appliances are connected  in parallel circuit	nongold
20	electricity is made of moving charges; moving charged particles	nongold
21	a switch is used to start; stop the flow of current by  closing; opening the electric circuit	nongold
22	a wire is a kind of path for electricity	nongold
23	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
24	a complete electrical circuit is a source of  electrical energy	nongold
25	when an electrical circuit is working properly , electrical current runs through that circuit; the wires in that circuit	nongold
26	electrical current means electrical energy	nongold
27	if the electrical  devices are connected in parallel circuit , then turning on or off any devices will not affect other devices	nongold
28	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
29	if one electrical conductor contacts another electrical conductor then electricity will flow through both conductors	nongold
30	current means electric current	nongold
31	closing an electric circuit causes an electrical device to function	nongold
32	electricity is used as an energy source by electrical devices	nongold
33	electric devices require electrical energy to function	nongold
34	to run through means to transfer	nongold
35	a source of something emits; produces; generates; provides that something	nongold
36	a cycle happens; occurs repeatedly	nongold
37	events occur at a specific place; at a specific time; with a specific frequency	nongold
38	electrical energy is a kind of energy	nongold
39	less is the opposite of more	nongold
40	something's function can be used to describe; identify that something	nongold
41	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
42	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
43	greater means higher; more in value	nongold
44	affected means changed	nongold
45	answering questions requires information	nongold
46	travel means to move	nongold
47	the properties of something can be used to identify; used to describe that something	nongold
48	an event is a kind of action	nongold
49	electromagnets can be powered by electricity	nongold
50	high is similar to increase	nongold
51	to transfer is similar to transport	nongold
52	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
53	the direction of back and forth is perpendicular to the direction of right to left	nongold
54	conductivity is a measure of how easily electricity travels through a material	nongold
55	an electromagnet is a kind of device	nongold
56	electrical signals are made of electrical energy	nongold
57	if something transfers something else then that something is a source of something else	nongold
58	the function of something is what that something  is used to do	nongold
59	a wire is a part of an electrical circuit for conducting electricity	nongold
60	a generator converts kinetic energy into electrical energy; electricity	nongold
61	if the amount of electricity converted from the potential energy of an object is less than the amount of potential energy in the object , then the  potential energy is converted into other energy other than electricity	nongold
62	can be means able to be	nongold
63	emit means send out	nongold
64	to pass through means to move through	nongold
65	a motion is a kind of event; action	nongold
66	measuring is used for describing an object	nongold
67	matter; materials; substances are made of atoms; particles	nongold
68	emit means produce	nongold
69	a component of something means a part of that something	nongold
70	fewer means lower; less in number	nongold
71	a process is a kind of event	nongold
72	electricity sometimes is used for heating buildings; substances	nongold
73	a component means a part of	nongold
74	meters;centimeters;kilometers are used to describe distance; describe length	nongold
75	to add means to increase	nongold
76	lightning is a kind of electricity	nongold
77	to pass means to transfer	nongold
78	information is used to describe something	nongold
79	electrical devices are used for industrial purposes; household purposes by humans	nongold
80	when an electrical conductor is plugged into an outlet , a circuit is completed	nongold
81	media; medium means the material something travel through	nongold
82	transport means to move; to make travel	nongold
83	single means one	nongold
84	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
85	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
86	motion is when moves an object; something to a direction	nongold
87	an electromagnet contains a wire; cylindrical ferrous metal	nongold
88	an electrical device requires electricity to turn on	nongold
89	a resistor is used to control the amount of current in the electric circuit	nongold
90	convert is similar to transfer	nongold
91	faster means increased rate	nongold
92	faster means an increase; higher in speed	nongold
93	a description sometimes provides information	nongold
94	both means two	nongold
95	counter means reduce; stop; resist	nongold
96	many means high in number	nongold
97	particles in a liquid flows past each other	nongold
98	movement is a kind of change	nongold
99	something that happens is a kind of event	nongold
