Question	In Alaska, there are fewer hours of daylight in the winter than in the summer. Which statement best explains why this difference occurs?	question
Answer	The Northern Hemisphere is tilted away from the Sun in the winter.	answer
0	winter is when a hemisphere is tilted away from the sun	gold
1	when a hemisphere is tilted away from the sun , that hemisphere receives less direct sunlight	nongold
2	daylight hours means time during which there is daylight	nongold
3	the amount of daylight is least in the winter	gold
4	winter in a hemisphere occurs when the Pole located in that hemisphere is tilted away from the Sun	nongold
5	summer is when a hemisphere is tilted towards the sun	nongold
6	daylight occurs during the day	nongold
7	the amount of daylight is greatest in the summer	gold
8	winter in the Northern Hemisphere is during the summer in the Southern Hemisphere	nongold
9	when a hemisphere is tilted towards the sun , that hemisphere receives more direct sunlight	nongold
10	winter in the Southern Hemisphere is during the summer in the Nouthern Hemisphere	nongold
11	being in the sun is synonymous with being in the sunlight	nongold
12	daylight means sunlight	nongold
13	when the season changes , the amount of daylight will change	nongold
14	the amount of daylight is least on the winter solstice	nongold
15	the sunlight occurs during the day	nongold
16	amount of daylight means length of daylight	nongold
17	as the distance of a location from the North Pole becomes smaller; closer , the amount of daylight received by that location will decrease during the winter	nongold
18	Alaska is a state located in the United States of America	gold
19	the Northern Hemisphere is a kind of hemisphere of Earth	nongold
20	daylight is when the sun shines on a location	nongold
21	when the seasons change from the summer to the fall , the amount of daylight will decrease	nongold
22	the Southern Hemisphere is a kind of hemisphere of Earth	nongold
23	period of daylight is synonymous with amount of daylight	nongold
24	as the distance of a location from the North Pole becomes smaller; closer , the  amount of daylight received by that location will increase during the summer	nongold
25	the Southern Hemisphere is located south of the Northern Hemisphere	nongold
26	the amount of daylight is greatest on the summer solstice	nongold
27	summer has the most sunlight	nongold
28	winter is a part of the year	nongold
29	an increase is the opposite of a decrease	nongold
30	less is similar to decrease	nongold
31	summer is a kind of season	gold
32	sunlight is a kind of light	nongold
33	winter is a kind of season	gold
34	hours are a kind of unit for measuring time	nongold
35	a hemisphere is a kind of place	nongold
36	winter means environmental; outdoor temperature decreases	nongold
37	sunlight is a kind of solar energy	nongold
38	a hemisphere is a part of Earth	nongold
39	to be in the sun means to be in the sunlight	nongold
40	summer has hot temperatures; weather	nongold
41	amount of sunlight causes changing weather patterns	nongold
42	winter has cold temperatures;weather	nongold
43	the sun is the source of solar energy called sunlight	nongold
44	sunlight means solar energy	nongold
45	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
46	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
47	less is the opposite of more	nongold
48	the sun is a source of light; light energy called sunlight	nongold
49	temperature is a measure of heat energy	nongold
50	fewer means lower; less in number	gold
51	intensity of sunlight is similar to amount of sunlight	nongold
52	an increase is a kind of change	nongold
53	a decrease is a kind of change	nongold
54	low is similar to decrease	nongold
55	winter is the opposite of summer	nongold
56	near; close is the opposite of far; away	nongold
57	a change is a kind of difference	nongold
58	less means a reduced amount	nongold
59	snow falls during the winter in some environments	nongold
60	to lower means to decrease	nongold
61	the sun sets in the west	nongold
62	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
63	as distance from a source of something increases , that something will decrease	nongold
64	as a person in the northern hemisphere moves south , distance from the equator will decrease	nongold
65	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
66	little is similar to decrease	nongold
67	to happen means to occur	nongold
68	away is a kind of direction	nongold
69	the sun is a source of radiation; heat called sunlight	nongold
70	to change means to become different	nongold
71	temperature is a property of weather	nongold
72	high is similar to increase	nongold
73	increase means more	nongold
74	the Earth being tilted on its rotating axis causes seasons	gold
75	daytime means day	nongold
76	to reduce means to decrease	nongold
77	far is the opposite of close	nongold
78	the intensity of sunlight is a kind of seasonal weather pattern	nongold
79	the sun rises in the east	nongold
80	heat means heat energy	nongold
81	the Western Hemisphere is a kind of hemisphere of Earth	nongold
82	as the sun sets , the temperature will decrease	nongold
83	if something is outside during the day then that something will receive sunlight	nongold
84	weather changes from seasons to seasons	nongold
85	if an amount of objects decreases then those objects are fewer in number	nongold
86	receiving sunlight  is synonymous with absorbing sunlight	nongold
87	sunlight is intense in space	nongold
88	sunlight produces heat	nongold
89	snow falls during the winter in the arctic environment	nongold
90	the Eastern Hemisphere is a kind of hemisphere of Earth	nongold
91	heat means temperature increases	nongold
92	the sun rising; setting occurs once per day	nongold
93	sunshine means sunlight	nongold
94	precipitation is a kind of weather	nongold
95	as distance from the equator decreases , the climate will become warmer	nongold
96	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
97	areas on the equator have a consistent number of daylight hours	nongold
98	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
99	different seasons occur during different times of the year	nongold
