Question	A class planted trees and shrubs in an empty dirt lot beside the school. The roots of the plants can help protect the soil. The soil is most likely being protected from what?	question
Answer	wind erosion	answer
0	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
1	soil erosion means soil loss through wind;water; animals	gold
2	tree roots reduce soil erosion	nongold
3	roots are a part of a plant; tree	nongold
4	erosion usually causes harm to the environment	nongold
5	wind and rain; storms cause erosion	nongold
6	wind causes erosion	nongold
7	In the erosion process roots of plants are an inhibitor	gold
8	protecting something means preventing harm to that something	gold
9	erosion; storms can cause a landslide	nongold
10	erosion of soil has a  negative impact on the environment; soil quality	gold
11	grass roots reduce soil erosion	nongold
12	to protect means to defend	nongold
13	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
14	roots anchor plants into the soil	nongold
15	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
16	roots hold soil in place	nongold
17	protection means resistance to damage increases	nongold
18	helping something has a  positive impact on that something	nongold
19	protecting nature has a positive impact on the environment	nongold
20	to help; to benefit means to be of use	nongold
21	trees reduce wind force	nongold
22	soil erosion is a kind of slow; natural process	nongold
23	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
24	rain causes erosion	nongold
25	a root is a kind of object	nongold
26	erosion is a kind of destructive force	nongold
27	to protect means to make safe	nongold
28	something hard; something strong can be used for protection	nongold
29	harming something has a  negative impact on; effect on that something	gold
30	overgrazing increases soil erosion	nongold
31	to be used  for something means to help to do that something	nongold
32	erosion is a kind of process	nongold
33	a plant is a kind of living thing	nongold
34	a plant requires soil for survival; to grow	nongold
35	a tree is a kind of plant	nongold
36	damage means harm	nongold
37	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
38	dirt means soil	nongold
39	a shrub is a kind of plant	nongold
40	shelter can protect animals;humans from weather	nongold
41	a tree is a kind of living thing	nongold
42	vegetation means plants	nongold
43	weathering is a kind of erosion	nongold
44	erosion is a kind of change	nongold
45	something harmful can cause harm	nongold
46	a plant's  roots slowly break down rocks as the roots grow	nongold
47	planting trees has a  positive impact on an ecosystem	nongold
48	water causes the most soil and rock erosion	nongold
49	erosion sometimes decreases the amount of nutrients in soil	nongold
50	to help means to aid	nongold
51	protecting is a kind of function	nongold
52	soil is usually part of an environment	nongold
53	damage has a negative impact on a thing	nongold
54	weathering; erosion usually occurs over a period of many years	nongold
55	shelter is a kind of place;building;structure for protection	nongold
56	a plants; living things require water for survival; to grow	nongold
57	a plant is a kind of organism	nongold
58	wind carries; transports sand; dirt from one place to another place	nongold
59	covering something is a kind of protection	nongold
60	lots means much	nongold
61	soil is a part of the ground outside	nongold
62	trees are a kind of natural resource	nongold
63	negative impact is the opposite of positive impact	nongold
64	wind means moving air	nongold
65	a forest contains  lots of plants; trees	nongold
66	An example of protecting the environment is creating protected areas	nongold
67	people can plant trees	nongold
68	requiring is similar to needing help	nongold
69	soil erosion is a kind of event	nongold
70	soil is a kind of material	nongold
71	good means positive	nongold
72	a part of a living thing is a natural structure	nongold
73	plants are a part of the environment	nongold
74	to hurt means to harm	nongold
75	helping means to assist in a change	nongold
76	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
77	windy means high wind speeds	nongold
78	structure is a property of an object; a material; a substance	nongold
79	planting trees is sometimes a human activity	nongold
80	often is similar to likely	nongold
81	a structure of something is synonymous with a part of that something	nongold
82	to enable is to help	nongold
83	inhibitor means something that prevents something from happening	gold
84	best means most positive	nongold
85	a student is a kind of human	nongold
86	if a living thing requires something then that something has a positive impact on that living thing	nongold
87	to belong to a class means to be a kind of something	nongold
88	if a plant is planted; growing somewhere then that plant is located there	nongold
89	a living thing is a kind of object	nongold
90	an environment means an area	nongold
91	a lot means large in amount; quantity	nongold
92	planting trees is the opposite of cutting down trees	nongold
93	to reduce means to decrease	nongold
94	a tree is a kind of matter	nongold
95	decreasing use  of a resource protects that resource	nongold
96	a tree is a source of shelter; food for birds; animals in an ecosystem	nongold
97	adverse effect means negative impact	nongold
98	killing means harming something causing death	nongold
99	decreasing something negative has a positive impact on a thing	nongold
