Question	Which list contains only things that are part of our solar system?	question
Answer	planets, moons, comets	answer
0	moons; comets; planets are part of the solar system	gold
1	a comet is a kind of celestial body	nongold
2	a comet is a kind of celestial object	nongold
3	the solar system contains the moon	nongold
4	moons orbit planets	nongold
5	a moon is a kind of celestial object; body	nongold
6	a planet is a kind of celestial object; body	nongold
7	planets in the solar system orbit the Sun	nongold
8	the moon orbits the Earth	nongold
9	the solar system is a kind of system	nongold
10	Earth is a kind of planet	nongold
11	system means a set of objects	nongold
12	the solar system contains eight planets	nongold
13	made of is similar to contains	nongold
14	unit is similar to part	nongold
15	if something is a part of something else then that something else contains that something	nongold
16	an object is made of its parts	nongold
17	a comet is made of ice, gases, and dust	nongold
18	moons are large; solid; spherical	nongold
19	made up of means contains; made of	nongold
20	Neptune is a kind of planet in the solar system	nongold
21	answering questions requires information	nongold
22	a whole is formed by its parts	nongold
23	a comet orbit occurs usually once per 1000.0 years	nongold
24	astronomy is the study of celestial (objects, bodies)	nongold
25	the Sun is a kind of star	nongold
26	comet orbits are elliptical	nongold
27	a living thing is a kind of object	nongold
28	including means containing	nongold
29	contains means located in	nongold
30	the solar system contains asteroids	nongold
31	a component of something means a part of that something	nongold
32	the parts of something make up that something	nongold
33	a component means a part of	nongold
34	if an object is made of something then the parts of that object are made of that something	nongold
35	all the other means the rest of	nongold
36	to contain something means to have that something	nongold
37	to be found in means to be contained in	nongold
38	a part of something means a characteristic of something	nongold
39	classifying is when one sorts something by kind; type	nongold
40	planets orbit stars	nongold
41	an event is a kind of action	nongold
42	to be made of means to consist of	nongold
43	a type is synonymous with a kind	nongold
44	a moon phase is a kind of natural event	nongold
45	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
46	comets reflect the light of the sun	nongold
47	a part of a process means a stage in a process	nongold
48	Mars is a kind of planet	nongold
49	can be means able to be	nongold
50	if something is a part of something then that something can be found in that something	nongold
51	a body system is a kind of object	nongold
52	a planet completes one orbit around its star over a period of one planetary year	nongold
53	a part of something is present in that something	nongold
54	revolving  around something means orbiting that something	nongold
55	setting is a kind of motion	nongold
56	composed of means made of	nongold
57	an animal is a kind of living thing	nongold
58	the Moon is Earth's moon	nongold
59	a star is a kind of celestial object; celestial body	nongold
60	the moon orbiting the Earth occurs approximately 13 times per year	nongold
61	a phase of the moon is a kind of state	nongold
62	a motion is a kind of event; action	nongold
63	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
64	a moon is a kind of satellite	nongold
65	a comet is often made of ice	nongold
66	a process is a kind of event	nongold
67	events occur at a specific place; at a specific time; with a specific frequency	nongold
68	revolving is a kind of motion	nongold
69	Mars is a kind of inner planet	nongold
70	to contain means to have inside	nongold
71	aspect of something is similar to part of something	nongold
72	if something is made of something; a material then that something contains that something; that material	nongold
73	a kind of something is classified as that something	nongold
74	Saturn is a kind of planet	nongold
75	to disperse means to separate	nongold
76	if there is none of a thing then that thing does not exist	nongold
77	to be made of something means to be formed of that something	nongold
78	our Sun is located at the center of our solar system	nongold
79	something that happens is a kind of event	nongold
80	the moon orbiting the Earth occurs once per month	nongold
81	a source of something emits; produces; generates; provides that something	nongold
82	one is a kind of number	nongold
83	a planet is a kind of location	nongold
84	contain is similar to store	nongold
85	hypothesis means scientific guess about the cause and effect of an event	nongold
86	once per means every	nongold
87	all the time means at day and at night	nongold
88	emit means produce	nongold
89	movements of celestial bodies are a kind of event	nongold
90	part means role	nongold
91	a planet contains environments	nongold
92	the sun is  the largest celestial body in our solar system	nongold
93	orbiting is a kind of action	nongold
94	to be formed by is similar to being produced by	nongold
95	a moon phase occurs 28 days after the last time it occurred	nongold
96	usually means most of the time	nongold
97	a structure of something is synonymous with a part of that something	nongold
98	if something is made of something else then that something can be broken down into that something else	nongold
99	if something is a source of something else then that something usually contains that something else	nongold
