Question	What is the main source of energy that drives all weather patterns?	question
Answer	the Sun	answer
0	solar energy causes the weather patterns	gold
1	wind pattern is a kind of weather pattern	nongold
2	the sun  is the source of energy for physical cycles on Earth	nongold
3	solar energy is a kind of energy	nongold
4	to drive means to cause	gold
5	cycle is similar to pattern	nongold
6	an energy source is a kind of resource	nongold
7	amount of sunlight causes changing weather patterns	nongold
8	the sun is a source of light; light energy called sunlight	nongold
9	the sun is the source of energy for life on Earth	nongold
10	a source of something emits; produces; generates; provides that something	nongold
11	atmospheric disturbance is a kind of weather pattern	nongold
12	ocean currents is a kind of weather pattern	nongold
13	to power means to provide energy for	nongold
14	the intensity of sunlight is a kind of seasonal weather pattern	nongold
15	unequal heating of Earth's surface by the Sun causes global wind patterns	nongold
16	the Sun is a kind of star	nongold
17	the sun is the source of solar energy called sunlight	gold
18	sunlight is a kind of solar energy	nongold
19	causing means influencing	nongold
20	to provide something means to be the source of that something	nongold
21	weather is a property of a environment	nongold
22	resources sometimes are used for energy	nongold
23	a star is a kind of celestial object; celestial body	nongold
24	sunlight means solar energy	nongold
25	wind is a source of energy	nongold
26	if something requires something else then that something requires a source of that something else	nongold
27	if something generates energy for something else then that something powers that something else	nongold
28	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
29	if something is powered by something else then that something requires a source of that something else	nongold
30	a planet is a kind of celestial object; body	nongold
31	solar energy is an inexhaustible resource	nongold
32	to be used for something means to be required by that something	nongold
33	a cloud is a kind of weather	nongold
34	sky conditions are a property of weather	nongold
35	heat is a kind of energy	nongold
36	temperature is a property of weather	nongold
37	if something transfers something else then that something is a source of something else	nongold
38	if something causes a process then that something is required for that process	nongold
39	solar power means solar energy	nongold
40	a component means a part of	nongold
41	the function of something is what that something  is used to do	nongold
42	storm is a kind of weather; weather event	nongold
43	sunny is a kind of weather	nongold
44	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
45	high is similar to increase	nongold
46	to depend on; to rely on; to need means to require	nongold
47	weather  usually happens in troposphere	nongold
48	Earth is a kind of planet	nongold
49	wind speed is a property of weather	nongold
50	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
51	if something comes from something else then that something else is a source of that something	nongold
52	astronomy is the study of celestial (objects, bodies)	nongold
53	a component of something means a part of that something	nongold
54	solar energy is a renewable; inexhaustible resource	nongold
55	rainy is a kind of weather	nongold
56	solar energy is a kind of heat energy	nongold
57	food is a source of energy for animals; plants	nongold
58	affected means changed	nongold
59	the sun is a kind of yellow dwarf	nongold
60	weather forecast means weather prediction	nongold
61	where something  comes from is a source of that something	nongold
62	if something gains something from something else then that something else is a source of that something	nongold
63	a type is synonymous with a kind	nongold
64	wind direction is a property of weather	nongold
65	events occur at a specific place; at a specific time; with a specific frequency	nongold
66	variable means able to change	nongold
67	generate means produce	nongold
68	the sun is a source of radiation; heat called sunlight	nongold
69	variation means change	nongold
70	weather changes from seasons to seasons	nongold
71	thermal energy is a kind of energy	nongold
72	a cycle is a kind of process	nongold
73	answering questions requires information	nongold
74	an increase is a kind of change	nongold
75	precipitation is a kind of weather	nongold
76	emit means produce	nongold
77	weather is a source of wind and water for the weathering process	nongold
78	solar energy is a kind of light	nongold
79	an object; material; substance comes from that object or material's source	nongold
80	the Earth revolves around the sun	nongold
81	something is used for that something's purpose	nongold
82	heat has a great impact on weather	nongold
83	form means kind	nongold
84	to produce means to provide	nongold
85	to turn means to change	nongold
86	tornado is a kind of weather	nongold
87	motion is when moves an object; something to a direction	nongold
88	to give off means to be the source of	nongold
89	oil is a source of energy	nongold
90	if something releases something else then that something is the source of that something else	nongold
91	greatest means largest; highest; most amount of something	nongold
92	the solar system is a kind of system	nongold
93	light is a kind of energy	nongold
94	light is a kind of energy	nongold
95	a weather report describes weather	nongold
96	a producer is a kind of living thing	nongold
97	a process is a kind of event	nongold
98	precipitation is a property of weather	nongold
99	can be means able to be	nongold
