Question	Light sometimes behaves as waves and other times as particles. Which property of light is equally explainable by treating light as either particles or waves?	question
Answer	reflection of light	answer
0	reflection is a property of light	gold
1	reflection is when light is reflected from one object; one place to  another object; another place	nongold
2	light is a kind of wave	gold
3	reflecting light; sound is the opposite of absorbing light; sound	nongold
4	light means light energy	nongold
5	matter; materials; substances are made of atoms; particles	nongold
6	reflection is when particles bounce off a surface	gold
7	particles in objects are a kind of matter	nongold
8	a wave is a kind of object	nongold
9	reflection is a kind of process	nongold
10	a particle is a kind of object	nongold
11	state of matter is a kind of physical property	nongold
12	light is a kind of energy	nongold
13	light is a kind of energy	nongold
14	both means two	nongold
15	refraction is a property of light	nongold
16	to reflect light means to scatter light	nongold
17	an object has properties	nongold
18	sunlight is a kind of light	nongold
19	a living thing is a kind of object	nongold
20	if something is caused by something else , then that something can be explained by that something else	nongold
21	frequency is a property of a wave; a particel of light; an event	nongold
22	conductivity is a kind of physical property	nongold
23	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
24	objects are made of materials; substances; matter	nongold
25	the properties of something are used for describing that something	nongold
26	a physical property is a kind of property	nongold
27	the  property of something is the same for the things of same kind	nongold
28	structure is a property of an object; a material; a substance	nongold
29	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	gold
30	substances are made of matter	nongold
31	electromagnetic wave is a kind of  wave	nongold
32	waves can travel through matter	nongold
33	atoms are made of particles	nongold
34	the ability to refract is a property of waves	nongold
35	the ability to reflect is a property of sound wave	nongold
36	opposite is a kind of different	nongold
37	can be means able to be	nongold
38	light is a kind of electromagnetic radiation	nongold
39	the effects of something is a property of that something	nongold
40	not is similar to the opposite of	nongold
41	state of matter at room temperature is a kind of physical property	nongold
42	to bounce back means to reflect	nongold
43	characteristic means property	nongold
44	an image in a mirror is formed by reflecting light	nongold
45	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
46	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
47	physical state means state of matter	nongold
48	waves contain mechanical energy	nongold
49	state of matter means physical state	nongold
50	radiation is when electromagnetic waves transfers heat and light energy	nongold
51	when light hits a reflective object , that light bounces off that object	nongold
52	a property is similar to a factor	nongold
53	a mirror is a kind of reflective object	nongold
54	wavelength is a property of wave	nongold
55	electromagnetic energy is a kind of energy	nongold
56	conductivity is a property of a material; substance	nongold
57	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
58	form means kind	nongold
59	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
60	a vibration is similar to a wave	nongold
61	a motion is a kind of event; action	nongold
62	phase means state	nongold
63	to be characterized by  a property means to have that property	nongold
64	UV light is a kind of light	nongold
65	state means form	nongold
66	radiation is when heat is transferred through waves; particles	nongold
67	composed of means made of	nongold
68	material means substance	nongold
69	a component of something means a part of that something	nongold
70	what something needs is a property of that something	nongold
71	an event is a kind of action	nongold
72	if something is made by something else then that something is affected by that something else	nongold
73	refraction is when light passes from one medium to another medium	nongold
74	a kind of something is an example of that something	nongold
75	a source of something emits; produces; generates; provides that something	nongold
76	all waves transfer; transmit energy from one place to another	nongold
77	bouncing something back means reflecting that something	nongold
78	aspect is similar to property	nongold
79	different is the opposite of the same	nongold
80	answering questions requires information	nongold
81	distorting is a kind of affecting	nongold
82	affected means changed	nongold
83	all the other means the rest of	nongold
84	a component means a part of	nongold
85	if something is made of something else , then that something else will be the component of that something	nongold
86	a wave is formed by the vibration of the source spreading around from the source	nongold
87	variable means able to change	nongold
88	to cause means to have an effect	nongold
89	to be made of something means to be formed of that something	nongold
90	once means one time	nongold
91	amplitude is a property of wave	nongold
92	a mirror reflects light	nongold
93	to give off means to be the source of	nongold
94	an object; material; substance comes from that object or material's source	nongold
95	sound wave is a kind of wave	nongold
96	if something is made of something else then that something can be broken down into that something else	nongold
97	charged particles are a kind of high-energy particles	nongold
98	if something comes from something else then that something else is a source of that something	nongold
99	shiny things; objects reflect light	nongold
