Question	A scientist is measuring the amount of movement along a fault. Which tool is best used for making this measurement?	question
Answer	meter stick	answer
0	a meter stick is a kind of tool for measuring length; measuring distance	gold
1	a meter stick is used to measure distance; height; length	gold
2	a meter is a kind of unit for measuring distance; measuring length	nongold
3	a stick is a kind of object	nongold
4	a scientist is a kind of human	nongold
5	motion; movement means moving; to move	nongold
6	instrument means tool	nongold
7	a tectonic plate moves along a fault line	gold
8	a tool is a kind of object	nongold
9	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
10	distance moved; distance travelled is a measure of how far an object moves	gold
11	device means tool	nongold
12	meters;centimeters;kilometers are used to describe distance; describe length	nongold
13	earthquakes are most common along tectonic plate boundaries	nongold
14	motion is when moves an object; something to a direction	nongold
15	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
16	earthquake  is a kind of vibration  of the ground	nongold
17	measuring requires reading a measurement	nongold
18	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
19	best means most positive	nongold
20	tectonic plates being pushed together causes earthquakes	nongold
21	moving is similar to travelling	nongold
22	an instrument is a piece of equipment	nongold
23	a human is a kind of animal	nongold
24	a living thing is a kind of object	nongold
25	a seismometer is used to measure the strength or magnitude of an earthquake	nongold
26	a vehicle is a kind of object	nongold
27	scientists make observations	nongold
28	an earthquake is a kind of natural; geological event	nongold
29	the function of something is what that something  is used to do	nongold
30	instrument means device	nongold
31	speed is a measure of how fast an object is moving	nongold
32	a motion is a kind of event; action	nongold
33	length is a measure of distance from one end of an object to the other end of that object	nongold
34	objects are made of materials; substances; matter	nongold
35	movement is a kind of change	nongold
36	a rock is a kind of object	nongold
37	a device is a kind of object	nongold
38	calculation means measurement	nongold
39	to cause means to make	nongold
40	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
41	a simple machine is a kind of tool	nongold
42	something is used for that something's purpose	nongold
43	answering questions requires information	nongold
44	quantity means amount	nongold
45	high is similar to increase	nongold
46	a vehicle is a kind of tool for travel; transport	nongold
47	a seismograph is a kind of tool for measuring the size of an earthquake	nongold
48	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
49	increase means more	nongold
50	a velocity is a measure of a speed in a direction	nongold
51	measuring is used for describing an object	nongold
52	an animal is a kind of living thing	nongold
53	flowing is a kind of motion	nongold
54	seconds are used to measure time	nongold
55	an part of an object is smaller than the entire object	nongold
56	a rotation is a kind of movement	nongold
57	moving something is a kind of function	nongold
58	a centimeter is used for measuring short lengths; short distances	nongold
59	material means substance	nongold
60	measuring sometimes requires  recording; learning an amount	nongold
61	travel means to move	nongold
62	an event is a kind of action	nongold
63	a measurement is a kind of data	nongold
64	rolling is a kind of motion	nongold
65	if an object is made of a material then that object has the properties of that material	nongold
66	greatest means largest; highest; most amount of something	nongold
67	determining often requires measuring; observing	nongold
68	a surface is a part of an object	nongold
69	a measure of time is a length of time	nongold
70	property is similar to measurement	nongold
71	turning is a kind of motion	nongold
72	a surface is a part of a material	nongold
73	surfaces sometimes cause objects to break	nongold
74	earthquake causes seismic waves	nongold
75	experimentation requires measuring	nongold
76	rotation is a kind of motion	nongold
77	how long something takes is a kind of measurement of time	nongold
78	rate is similar to speed	nongold
79	speed is a property of an object and includes values of slow; fast	nongold
80	can be means able to be	nongold
81	measuring is a kind of science skill	nongold
82	faster means an increase; higher in speed	nongold
83	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
84	pulling is a kind of motion	nongold
85	a machine is a kind of object	nongold
86	a machine is a kind of  device	nongold
87	seconds are a kind of unit for measuring time	nongold
88	setting is a kind of motion	nongold
89	an object is made of its parts	nongold
90	a source of something increases the amount of that something	nongold
91	a tectonic plate is a kind of object	gold
92	a wheel is a kind of object	nongold
93	to lower means to decrease	nongold
94	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
95	to be used for something means to be required by that something	nongold
96	to make means to form	nongold
97	an animal is a kind of organism	nongold
98	faulting of rock in Earth's crust causes earthquakes	nongold
99	an increase is the opposite of a decrease	nongold
