Question	Howie put his plants under a plant light. What was he helping his plants do by providing light?	question
Answer	make food	answer
0	provide is similar to give; make	nongold
1	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
2	a plant; living thing requires food for survival	nongold
3	helping something has a  positive impact on that something	nongold
4	a plant is a kind of living thing	nongold
5	providing something means making;delivering something	nongold
6	to be used  for something means to help to do that something	nongold
7	a source of something emits; produces; generates; provides that something	nongold
8	to help; to benefit means to be of use	nongold
9	a plant light is used for help plants by mimicking sunlight	gold
10	a  plant requires sunlight for photosynthesis	nongold
11	to provide something means to be the source of that something	nongold
12	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
13	a plant is a kind of organism	nongold
14	green plants are a kind of producer	nongold
15	an animal is a kind of living thing	nongold
16	sunlight is a kind of light	gold
17	vegetation means plants	nongold
18	a tree is a kind of plant	nongold
19	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
20	helping means to assist in a change	nongold
21	an animal needs to eat food for nutrients	nongold
22	a food contains nutrients for living things	nongold
23	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
24	being used for is similar to providing	nongold
25	make means produce	nongold
26	food is a source of energy for animals; plants	nongold
27	requiring is similar to needing help	nongold
28	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
29	crops are a kind of edible plant for eating	nongold
30	if a living thing requires something then that something has a positive impact on that living thing	nongold
31	providing is a kind of function	nongold
32	an animal is a kind of organism	nongold
33	food is what an animal eats	nongold
34	to enable is to help	nongold
35	a living thing is a kind of object	nongold
36	to help means to aid	nongold
37	sunlight is a kind of solar energy	nongold
38	an animal; living thing requires nutrients for survival	nongold
39	sunlight means solar energy	nongold
40	to produce means to provide	nongold
41	light means light energy	nongold
42	solar energy is a kind of light	nongold
43	a human is a kind of animal	nongold
44	to make something easier means to help	nongold
45	to cause means to make	nongold
46	a tree is a kind of living thing	nongold
47	In the food chain process a  green plant has the role of  producer	nongold
48	to depend on; to rely on; to need means to require	nongold
49	if something is required then that something must be provided	nongold
50	to eat means to consume food	nongold
51	helping means something can be done; completed more easily; better	nongold
52	containing something is similar to providing that something	nongold
53	an animal is a kind of consumer	nongold
54	to be used for something means to be required by that something	nongold
55	good means positive	nongold
56	an organism is a living thing	nongold
57	the sun is a source of light; light energy called sunlight	nongold
58	cooking food requires adding heat energy to the food	nongold
59	creating means making	nongold
60	a plant requires photosynthesis to grow; survive	nongold
61	providing structure is a kind of function	nongold
62	if something contains something , then something is able to provide something	nongold
63	usually plants store the food they produce for future use	nongold
64	sunlight shining means sunlight is provided	nongold
65	light is a kind of energy	nongold
66	light is a kind of energy	nongold
67	help means advantage	nongold
68	to provide means to supply	nongold
69	a leaf performs photosynthesis; gas exchange	nongold
70	to be helpful means to help to do	nongold
71	food is a kind of substance	nongold
72	life means living things	nongold
73	the function of something is what that something  is used to do	nongold
74	herbivores only eat plants	nongold
75	best means most positive	nongold
76	requiring something means needing that something	nongold
77	something is used for that something's purpose	nongold
78	to illuminate means to light up	nongold
79	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
80	to be good for means to have a positive impact on	nongold
81	providing support is a kind of function	nongold
82	humans eat crops	nongold
83	to power means to provide energy for	nongold
84	a producer produces its own food	nongold
85	if a plant dies then that plant will not produce food	nongold
86	food is a kind of object	nongold
87	solar energy is a kind of energy	nongold
88	a tree is a kind of matter	nongold
89	if something causes a process then that something is required for that process	nongold
90	a vegetable is a kind of food	nongold
91	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
92	a flower is a kind of plant	nongold
93	a  plant requires sunlight to  grow	nongold
94	a plants; living things require water for survival; to grow	nongold
95	production is similar to making	nongold
96	a consumer is a kind of organism	nongold
97	cooking is a kind of skill for preparing food	nongold
98	a plant; living thing requires nutrients to grow	nongold
99	living things eat their food source	nongold
