Question	An engineer constructs a prototype from wood. Which of the following is the best tool for the engineer to use to make the prototype's surface smooth?	question
Answer	sandpaper	answer
0	sandpaper is used to smooth wooden objects	gold
1	sandpaper is a kind of tool for smoothing objects	gold
2	rough is the opposite of smooth	nongold
3	a rough surface is a part of sandpaper	nongold
4	sandpaper is made of sand glued to the surface of paper	nongold
5	a sheet of sandpaper is a kind of object	nongold
6	sand has a rough surface	nongold
7	smooth is a kind of texture	nongold
8	wood has a smooth surface	nongold
9	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
10	sandpaper is a kind of paper	nongold
11	a prototype is a kind of object	gold
12	sand  is a kind of material	nongold
13	texture means how an object feels	nongold
14	friction occurs when two object's surfaces move against each other	nongold
15	wood is a kind of object	nongold
16	sand  is a kind of solid	nongold
17	soft is a kind of hardness	nongold
18	sand  is a kind of substance	nongold
19	a surface is a kind of object	nongold
20	a surface is a part of an object	gold
21	a tool is a kind of object	nongold
22	instrument means tool	nongold
23	as roughness of a surface increases , friction will increase	nongold
24	to rub; to rub together means to move against	nongold
25	friction acts to counter the motion of two objects when their surfaces are touching	nongold
26	wood is a kind of natural material	nongold
27	gravel is a rough surface	nongold
28	a surface is a part of a material	nongold
29	soft is a kind of touch sensation	nongold
30	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	nongold
31	wood is a strong material	nongold
32	felt is high in roughness	nongold
33	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
34	wood is a light material	nongold
35	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
36	friction exerts force on moving objects	nongold
37	sand is made of small particles	nongold
38	texture is a kind of physical property	nongold
39	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface	nongold
40	objects are made of materials; substances; matter	nongold
41	sand is insoluble in water	nongold
42	sand is insoluble in water	nongold
43	rubbing  is a kind of motion	nongold
44	using an object often requires creating that object	nongold
45	if an object is made of a material then that object has the properties of that material	nongold
46	to make means to build	nongold
47	motion; movement means moving; to move	nongold
48	down is soft	nongold
49	made of is similar to is built from	nongold
50	rocks contacting; rubbing each other over long periods of time causes those rocks to smooth	nongold
51	a wall is a kind of surface	nongold
52	glass is made of sand	nongold
53	an instrument is a piece of equipment	nongold
54	a human is a kind of animal	nongold
55	friction converts mechanical energy into heat energy	nongold
56	if two things are made from the same objects; material then those two things are similar	nongold
57	wood is an thermal; thermal energy insulator	nongold
58	grease is used to make an object's surface more smooth	nongold
59	wood is a thermal; thermal energy insulator	nongold
60	best means most positive	nongold
61	if one surface; one substance; one object touches something then one is exposed to that something	nongold
62	if a material scratches easily then that material has low hardness	nongold
63	to enhance means to increase	nongold
64	friction is a kind of force	nongold
65	plastic is a kind of material made by humans	nongold
66	frame construction requires wood	nongold
67	sand is made of very small rocks; minerals	nongold
68	to scrape means to scratch	nongold
69	wood is usually sturdy	nongold
70	touch can be used for detecting texture	nongold
71	carpet has a rough surface	nongold
72	rubbing against something is a kind of contact	nongold
73	counter means reduce; stop; resist	nongold
74	sometimes weathering smooths; rounds rocks	nongold
75	to reduce means to decrease	nongold
76	a strip is a kind of object	nongold
77	to touch means to contact	nongold
78	thickness is a property of an object and includes ordered  values of thin; thick	nongold
79	friction causes speed to decrease	nongold
80	a machine is a kind of object	nongold
81	developing means creating; inventing	nongold
82	thickness is  a measure of how thick an object  is	nongold
83	the texture of an object can sometimes be told by looking at the object	nongold
84	combing is a kind of rubbing	nongold
85	person is synonymous with human	nongold
86	sand is similar to soil	nongold
87	an object has properties	nongold
88	inventing a tool allows; enables that tool to be used	nongold
89	a simple machine is a kind of tool	nongold
90	form means kind	nongold
91	a sheet of is similar to a piece of	nongold
92	to be used for something means to be required by that something	nongold
93	clay is a kind of material	nongold
94	a wall is a kind of object	nongold
95	touching is when a body part makes contact with the surface of an object	nongold
96	helping means something can be done; completed more easily; better	nongold
97	plastic is high in strength	nongold
98	to make means to invent	nongold
99	material means substance	nongold
