Question	Scientists group animals based on physical features. Trout are classified as fish because of what physical feature?	question
Answer	Fish have gills.	answer
0	gills are a part of trout	gold
1	trout is a kind of fish	gold
2	gills are a part of a fish used for breathing water	gold
3	gills are used for breathing water by aquatic animals	gold
4	a fish is a kind of aquatic animal	gold
5	feature is synonymous with characteristic	nongold
6	a fish is a kind of animal	nongold
7	classifying means grouping objects; materials by their properties	gold
8	classifying is when one sorts something by kind; type	nongold
9	to categorize means to classify	nongold
10	a gill is a kind of organ for breathing water	nongold
11	a property of something is a feature of that something	gold
12	a kind of something is classified as that something	nongold
13	an aquatic animal is a kind of animal	gold
14	gills are a kind of adaptation for getting oxygen underwater	nongold
15	to belong to a group means to be classified in that group	nongold
16	classify is similar to characterize	nongold
17	an animal is a kind of living thing	gold
18	a structure is a kind of feature	gold
19	a land feature is a kind of physical characteristic	nongold
20	to be characterized by  a property means to have that property	nongold
21	a living thing is a kind of object	gold
22	landform means surface feature; physical feature; land feature	nongold
23	aquatic animal means water animal	nongold
24	trout live in lakes	nongold
25	to belong to a class means to be a kind of something	nongold
26	category means kind	nongold
27	a fish is a kind of scaled animal	nongold
28	classifying requires comparing	nongold
29	a fish lives in water	nongold
30	trait is synonymous with characteristic	nongold
31	an animal is a kind of organism	nongold
32	characteristic means property	nongold
33	an organism is a living thing	nongold
34	if two organisms are more closely related , then the two  organisms will be classifed in a class	nongold
35	a physical property is a kind of property	nongold
36	species means a group of like organisms	nongold
37	a scientist is a kind of human	nongold
38	to belong to a group means to be a kind of something	nongold
39	if two things have the same features then those two things are alike	nongold
40	appearance  is a kind of physical property	nongold
41	classifying is a kind of science process	nongold
42	to tell the difference between things means to classify those things	nongold
43	fishing is when a human kills; catches fish for food	nongold
44	a fish is a kind of predator	nongold
45	appearance is sometimes a physical property	nongold
46	grouping means putting; placing in different groups	nongold
47	a structure of something is synonymous with a part of that something	gold
48	breathing is when a gill converts from oxygen in water into oxygen in blood	gold
49	a type is synonymous with a kind	nongold
50	an animal is a member of an animal species	nongold
51	young amphibians breathe through gills	nongold
52	trait means property	nongold
53	species is an inherited characteristic	nongold
54	what an object is made of is a kind of characteristic	nongold
55	a mussel is a kind of water animal	nongold
56	an object has properties	nongold
57	fish is a kind of meat	nongold
58	fishing has a negative impact on ecosystems	nongold
59	to classify means to decide what class something belongs to	nongold
60	a mammal is a kind of animal	nongold
61	a shark is a kind of fish	nongold
62	mussels are a kind of aquatic animal	nongold
63	a part of something means a characteristic of something	nongold
64	anatomy studies the body structure of organisms	nongold
65	structure is a property of an object; a material; a substance	nongold
66	to group means to separate	nongold
67	a body of water is a kind of land feature	nongold
68	the properties of something are used for describing that something	nongold
69	to lack means to not have	nongold
70	a  fish is cold-blooded	nongold
71	a goldfish is a kind of fish	nongold
72	physical fitness is an acquired characteristic	nongold
73	appearance is a property of objects; materials	nongold
74	the structure of an organism's anatomy is used to classify the organism into the appropriate taxonomic rank	nongold
75	whiskers are a part of some fish for feeling	nongold
76	an amphibian is a kind of animal	nongold
77	an inherited characteristic is a kind of characteristic	nongold
78	water is a kind of object	nongold
79	the head is a part of an animal	nongold
80	fish eat insects	nongold
81	resemble means similar characteristics	nongold
82	a body part is a kind of object	nongold
83	unique  is the opposite of diverse	nongold
84	an animal; living thing requires nutrients for survival	nongold
85	a body of water is a kind of environment	nongold
86	to look like means to have the visual properties of	nongold
87	animals; living things require water for survival	nongold
88	humans sometimes eat fish	nongold
89	the properties of something can be used to identify; used to describe that something	nongold
90	freshwater is a kind of water	nongold
91	scientists make observations	nongold
92	not is similar to the opposite of	nongold
93	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
94	a body of water contains water	nongold
95	a part of a living thing is a natural structure	nongold
96	a kind of something is an example of that something	nongold
97	mammals is a kind of class	nongold
98	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
99	a source of something emits; produces; generates; provides that something	nongold
