Question	During a lab investigation a scientist heats a solid substance. The scientist observes that the solid has two different melting points. The scientist is able to separate the two resulting liquids. Which statement best classifies the original solid substance?	question
Answer	It was a mixture.	answer
0	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
1	melting is when solids are heated above their melting point	nongold
2	temperature is a measure of heat energy	nongold
3	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
4	a mixture is a kind of substance	gold
5	classifying is when one sorts something by kind; type	gold
6	an mixture is formed by two or more substances combined together physically	nongold
7	if two substances together form a mixture then those substances can be separated from one another by physical changes	gold
8	melting point means temperature at which a solid melts; above which a solid melts	nongold
9	melting is a kind of phase change	nongold
10	melting point is a property of a substance; material	nongold
11	mixture means solids combined together that maintain their physical properties	nongold
12	a scientist is a kind of human	nongold
13	heating means adding heat	nongold
14	a mixture usually is made of objects with different physical properties	nongold
15	a mixture of solids can be easily separated	nongold
16	classifying means grouping objects; materials by their properties	nongold
17	heat means heat energy	nongold
18	boiling is when liquids are heated above their boiling point	nongold
19	a solution is a kind of mixture	nongold
20	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
21	boiling point is a property of a substance; material	nongold
22	combining; mixing two substances chemically causes chemical reactions	nongold
23	best means most positive	nongold
24	to tell the difference between things means to classify those things	nongold
25	solid is a kind of state of matter	nongold
26	to disperse means to separate	nongold
27	classify is similar to characterize	nongold
28	mass has no impact on boiling; melting; freezing point	nongold
29	a kind of something is classified as that something	nongold
30	liquid is a kind of state of matter	nongold
31	to decompose means to separate	nongold
32	investigation sometimes requires experimentation	nongold
33	a solid is a kind of substance	nongold
34	to belong to a class means to be a kind of something	nongold
35	freezing point is similar to melting point	nongold
36	boiling is a kind of phase change	nongold
37	both means two	nongold
38	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
39	melting is a kind of process	nongold
40	boiling point is the highest temperature a liquid can reach	nongold
41	substances are made of matter	nongold
42	a liquid is a kind of substance	nongold
43	decomposing is similar to separating	nongold
44	heat energy is synonymous with thermal energy	nongold
45	ability to undergo a phase change is a property of a substance; material	nongold
46	material means substance	nongold
47	separate is similar to break down	nongold
48	heat means temperature increases	nongold
49	boiling point is a kind of physical  property	nongold
50	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
51	dissolving is a kind of  mixing	nongold
52	evaporation can be used for separating a mixture of a liquid and a solid	nongold
53	the boiling point of water is 212F; 100C; 373K	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	investigating sometimes requires measuring	nongold
56	to categorize means to classify	nongold
57	classifying is a kind of science process	nongold
58	phase means state	nongold
59	chemical reactions cause new substances; different substances to form	nongold
60	if something is insoluble in something , then they will remain separated	nongold
61	volume has no impact on boiling; melting; freezing point	nongold
62	to add means to combine	nongold
63	to cause means to result in	nongold
64	matter; materials; substances are made of atoms; particles	nongold
65	heat means the transfer of thermal energy	nongold
66	to add means to increase	nongold
67	to change means to become different	nongold
68	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
69	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
70	water is a kind of liquid at room temperature	nongold
71	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
72	scientists make observations	nongold
73	heat energy can change the state of matter	nongold
74	classifying requires comparing	nongold
75	to give off means to be the source of	nongold
76	can be means able to be	gold
77	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
78	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
79	if a substance is mixed with another substance then those substances will undergo physical change	nongold
80	to produce means to result in	nongold
81	particles in objects are a kind of matter	nongold
82	substances are made of elements	nongold
83	alloy is a kind of mixture	nongold
84	boiling is a kind of event	nongold
85	investigating is a kind of process	nongold
86	variable means able to change	nongold
87	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
88	new means different from the former one	nongold
89	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
90	objects are made of materials; substances; matter	nongold
91	freezing point is a property of a substance; material	nongold
92	opposite is a kind of different	nongold
93	a boiling point can be used for identifying a liquid	nongold
94	the air is a kind of mixture	nongold
95	lab equipment is often used for measuring; observing	nongold
96	to be a combination of means to be made of	nongold
97	melting point can be used to identify a pure substance	nongold
98	combustion is a kind of chemical change	nongold
99	state of matter means physical state	nongold
