Question	Rocks and Earth and on the Moon are made of similar materials. What does this observation most likely suggest?	question
Answer	The Moon was probably formed from material from Earth.	answer
0	if two objects are made of similar materials then one of those objects may be formed from material from the other object	gold
1	an object; material; substance comes from that object or material's source	nongold
2	if two objects are composed of similar materials then those objects may have come from the same source	nongold
3	Earth is a kind of planet	gold
4	if two things are made from the same objects; material then those two things are similar	nongold
5	the Moon is Earth's moon	nongold
6	Earth is made of rock	nongold
7	a moon is a kind of celestial object; body	gold
8	to be made of something means to be formed of that something	nongold
9	if something is made of something; a material then that something contains that something; that material	nongold
10	a planet is a kind of celestial object; body	gold
11	rock is a kind of material	nongold
12	objects are made of materials; substances; matter	gold
13	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
14	if an object is made of a material then that object has the properties of that material	nongold
15	moons are large; solid; spherical	nongold
16	composed of means made of	gold
17	materials are made of matter	nongold
18	the chemical composition of moon rocks is similar to the chemical composition of Earth rocks	nongold
19	to cause the formation of means to form	nongold
20	material means substance	nongold
21	made up of means contains; made of	nongold
22	a star is a kind of celestial object; celestial body	nongold
23	to be formed by is similar to being produced by	nongold
24	a rock is a kind of object	gold
25	matter; materials; substances are made of atoms; particles	nongold
26	to be made of means to consist of	nongold
27	made of is similar to is built from	nongold
28	state means form	nongold
29	the Sun is a kind of star	nongold
30	if an object is made of something then the parts of that object are made of that something	nongold
31	the moon orbits the Earth	nongold
32	to change into means to form	nongold
33	to be formed means to be originated	nongold
34	composition means the (materials, substances) of which something is composed	nongold
35	if something comes from something else then that something else is a source of that something	nongold
36	type of moon; kind of moon means moon phase	nongold
37	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
38	where something  comes from is a source of that something	nongold
39	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
40	to make means to form	nongold
41	to form means to create	nongold
42	an object is made of its parts	nongold
43	if an object breaks off of another object then that object is formed from the same materials as that other object	nongold
44	Earth's surface is made of rock	nongold
45	form means kind	nongold
46	usually craters on planets; craters on moons are formed by asteroids;meteoroids impacting that planet or moon's surface	nongold
47	made of is similar to contains	nongold
48	gas is a kind of material	nongold
49	substances are made of matter	nongold
50	different classes of rocks are formed by different methods	nongold
51	form is similar to body	nongold
52	a structure of something is synonymous with a part of that something	nongold
53	if something is made of something else then that something can be broken down into that something else	nongold
54	to be believed to be is similar to maybe	nongold
55	if something is made of something else then the formation of that something requires that something else	nongold
56	composition is a property of an object; matter	nongold
57	often is similar to likely	nongold
58	classifying means grouping objects; materials by their properties	nongold
59	class is a measure of how a rock is formed	nongold
60	structure is a property of an object; a material; a substance	nongold
61	products are formed; are produced; are created	nongold
62	moons; comets; planets are part of the solar system	nongold
63	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
64	if two things perform the same function then those two things are similar	nongold
65	stars generally have the same chemical composition	nongold
66	material composition is a kind of chemical property	nongold
67	if two objects are similar , then the two objects share properties	nongold
68	a surface is a part of a material	nongold
69	the sun  is the source of energy for physical cycles on Earth	nongold
70	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
71	an element is a kind of material	nongold
72	the moon does not contain air; water	nongold
73	if something is a part of something else then that something else contains that something	nongold
74	heat means heat energy	nongold
75	soil contains water; humus; weathered rocks; organic matter	nongold
76	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
77	if something is a raw material then that something comes directly from a source	nongold
78	a whole is formed by its parts	nongold
79	formation of a state of matter is a kind of process	nongold
80	the earth has more mass than the moon	nongold
81	to generate means to form	nongold
82	same means identical; equal in value; amount; number; quantity	nongold
83	the sun is a kind of yellow dwarf	nongold
84	forming something is a kind of change	nongold
85	a mineral is a kind of solid; natural material	nongold
86	the parts of something make up that something	nongold
87	Mars is a kind of planet	nongold
88	can be means able to be	nongold
89	metal is a kind of material	nongold
90	to increase is similar to to create	nongold
91	forming is similar to converting	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	soil is a kind of material	nongold
94	breaking down is a kind of forming	nongold
95	if something is made of something else , then that something else will be the component of that something	nongold
96	a rock is usually a solid	nongold
97	becoming is similar to forming	nongold
98	the four planets closest to the sun are made of rock	nongold
99	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
