Question	Which process occurs when rocks and soil slide down a mountain?	question
Answer	erosion	answer
0	soil erosion is when wind; moving water; gravity move soil from fields; environments	gold
1	sliding is a kind of motion	gold
2	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
3	erosion is a kind of process	nongold
4	a slide is a kind of object	nongold
5	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
6	a mountain is made of rocks; soil	nongold
7	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	gold
8	sliding is a kind of movement	nongold
9	soil erosion is a kind of event	nongold
10	soil is formed by rocks eroding	nongold
11	soil erosion is a kind of slow; natural process	gold
12	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
13	rolling down is similar to falling	nongold
14	flowing is a kind of motion	nongold
15	erosion; storms can cause a landslide	gold
16	breaking down is a kind of forming	nongold
17	weathering is a kind of erosion	nongold
18	sinking means moving down	nongold
19	weathering is a kind of process	nongold
20	soil is formed by weathering	nongold
21	soil erosion means soil loss through wind;water; animals	nongold
22	weathering; erosion usually occurs over a period of many years	nongold
23	to happen means to occur	nongold
24	falling means moving downward	nongold
25	the formation of rock is a kind of process	nongold
26	a landslide is a kind of natural event	nongold
27	landslides often occur on mountains	gold
28	boulders; sand; gravel are formed by glaciers melting sometimes	nongold
29	erosion is a kind of change	nongold
30	break down means change from a whole into pieces	nongold
31	a process is a kind of event	nongold
32	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
33	downhill means down	nongold
34	lowering is a kind of motion	nongold
35	low means down	nongold
36	wind and rain; storms cause erosion	nongold
37	water  flows down a slope	nongold
38	weathering occurs at the surface of the Earth	nongold
39	to break down means to break into smaller pieces	nongold
40	wind causes erosion	nongold
41	mechanical weathering is when rocks are broken down by mechanical means	nongold
42	the formation of something is a kind of process	nongold
43	soil is made of very small rocks; minerals	gold
44	to lift means to move up	nongold
45	a mountain top is a part of a mountain	nongold
46	a boulder is a kind of rock	nongold
47	sometimes weathering smooths; rounds rocks	nongold
48	a mountain is a kind of landform	nongold
49	mechanical weathering is a kind of weathering	nongold
50	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
51	a river is a kind of flowing body of water	nongold
52	rising is a kind of motion	nongold
53	to drop means to fall	nongold
54	to wash away is a kind of movement by moving water	nongold
55	a boulder is a kind of large rock	nongold
56	a mountain; hill is taller than the land around it	nongold
57	dissolving is similar to breaking down	nongold
58	an earthquake is a kind of natural; geological event	nongold
59	downward means down	nongold
60	to travel up means to rise	nongold
61	come down is similar to falling	nongold
62	soil contains water; humus; weathered rocks; organic matter	nongold
63	igneous intrusion is a kind of geologic process	nongold
64	sand is made of very small rocks; minerals	nongold
65	a mountain is taller than a hill	nongold
66	the surface of the Earth contains mountains	nongold
67	change is a kind of process	nongold
68	a rock is a kind of object	nongold
69	something that happens is a kind of event	nongold
70	rain causes erosion	nongold
71	the bottom is the lowest part of something	nongold
72	erosion of soil has a  negative impact on the environment; soil quality	nongold
73	high mountains with well-rounded peaks can be formed by collision of crustal plates; erosion	nongold
74	sediment falls to the bottom of bodies of water	nongold
75	to reduce means to decrease	nongold
76	a mountain; mountain range is a kind of environment	nongold
77	weather is a source of wind and water for the weathering process	nongold
78	motion; movement means moving; to move	nongold
79	erosion causes deposition	nongold
80	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
81	a mountain is high in altitude	nongold
82	sediment is similar to soil	nongold
83	pulling is a kind of motion	nongold
84	rolling is a kind of motion	nongold
85	the rock cycle is a cyclical process, with stages of formation, weathering	nongold
86	falling means height decreases	nongold
87	Earth is made of rock	nongold
88	below means lower down	nongold
89	breaking apart rocks can cause debris	nongold
90	water causes the most soil and rock erosion	nongold
91	a climber is a kind of human	nongold
92	rising means elevation	nongold
93	high is similar to increase	nongold
94	if a substance is poured , then that something will sink down	nongold
95	soil is made of solid particles	nongold
96	metamorphosis is a kind of process	nongold
97	extreme means very high in value	nongold
98	a hill is a kind of incline	nongold
99	to add means to increase	nongold
