Question	Which of the following is a cause of the ocean levels periodically rising and then falling?	question
Answer	the force of gravity from the Moon	answer
0	rising is a kind of motion	nongold
1	the moon rising occurs once per day	nongold
2	a moon is a kind of celestial object; body	nongold
3	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
4	the tide is when ocean levels periodically rise; fall	gold
5	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	gold
6	gravity is a kind of force	nongold
7	an ocean is a kind of body of water	nongold
8	a cycle happens; occurs repeatedly	nongold
9	falling means moving downward	nongold
10	rising means moving upward	nongold
11	the Moon is Earth's moon	nongold
12	rising means height; altitude increases	nongold
13	lowering is a kind of motion	nongold
14	moons are large; solid; spherical	nongold
15	a planet is a kind of celestial object; body	nongold
16	to drop means to fall	nongold
17	rising means elevation	nongold
18	a planet's  moon is smaller than that planet	nongold
19	water level is similar to ocean level	nongold
20	the sun rising; setting occurs once per day	nongold
21	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
22	if something comes from something else then that something else is a source of that something	nongold
23	to ascend means to rise	nongold
24	low means down	nongold
25	falling means height decreases	nongold
26	the gravitational pull of the Moon on Earth's oceans causes the tides	gold
27	the sun rising is a kind of event	nongold
28	the moon orbits the Earth	nongold
29	dropping something causes that something to fall	nongold
30	where something  comes from is a source of that something	nongold
31	sinking means moving down	nongold
32	the mass of an object causes the gravitational force exerted by that object	nongold
33	the moon is the celestial object that is closest to the  Earth	nongold
34	extreme means very high in value	nongold
35	the earth has more mass than the moon	nongold
36	an ocean contains waves	nongold
37	the Moon is closer to the Earth than the Sun	nongold
38	each of the moon's phases occurs once per month	nongold
39	type of moon; kind of moon means moon phase	nongold
40	level is similar to amount; quantity	nongold
41	rolling down is similar to falling	nongold
42	the melting of ice caps causes the ocean water level  to rise	nongold
43	an object; material; substance comes from that object or material's source	nongold
44	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
45	gravity accelerates an object while that object falls by pulling on it	nongold
46	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
47	the bottom is the lowest part of something	nongold
48	as the amount of water in a body of water increases , the water levels will rise; increase especially at the edge of that body of water	nongold
49	a moon is located in space	nongold
50	sea means ocean	nongold
51	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
52	an increase is the opposite of a decrease	nongold
53	to give is similar to to cause	nongold
54	to be a source of something means to cause that something	nongold
55	gravity causes orbits	nongold
56	the moon rotates on its axis	nongold
57	the mass of a planet causes the pull of gravity on that planet	nongold
58	the moon does not contain air; water	nongold
59	to add means to increase	nongold
60	the lowest gravitational pull is during a quarter moon	nongold
61	to change means to cause a change	nongold
62	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
63	to travel up means to rise	nongold
64	a decrease is a kind of change	nongold
65	upwelling is when the water from deep ocean; the ocean floor rises to the ocean's surface	nongold
66	an increase is a kind of change	nongold
67	oceans are located on Earth	nongold
68	a pull is a kind of force	nongold
69	low is similar to decrease	nongold
70	a moon is a kind of satellite	nongold
71	form means kind	nongold
72	high is similar to increase	nongold
73	gravity pulls objects towards planets	nongold
74	to cause means to make	nongold
75	to lower means to decrease	nongold
76	due to means caused by	nongold
77	a new moon is a kind of phase of the moon	nongold
78	greatest means largest; highest; most amount of something	nongold
79	Earth is a kind of planet	nongold
80	the Moon has less water; air than Earth	nongold
81	a waning gibbous is a kind of phase of the moon	nongold
82	as gravitational pull of the moon decreases , the ocean tides will be lower	nongold
83	come down is similar to falling	nongold
84	a cause of something is a reason for that something	nongold
85	events occur at a specific place; at a specific time; with a specific frequency	nongold
86	to cause means to have an effect	nongold
87	to be formed by is similar to being produced by	nongold
88	downward means down	nongold
89	impact means effect	nongold
90	to happen means to occur	nongold
91	to cause is similar to bring	nongold
92	a type is synonymous with a kind	nongold
93	the solar system contains the moon	nongold
94	the new moon is when the dark half of the moon faces the Earth	nongold
95	can be means able to be	nongold
96	raising is a kind of motion	nongold
97	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
98	Weight is  the  force of gravity acting on an object	nongold
99	pulling is a kind of motion	nongold
