Question	Which is the best example of recycling?	question
Answer	using aluminum cans to make new products	answer
0	An example of recycling is using an object to make a new object	gold
1	recycling means reusing	nongold
2	recycling is similar to reusing	nongold
3	replacing is similar to recycling	nongold
4	recycling reduces the resources needed to make something	nongold
5	recyclable means a material can be recycled	gold
6	a soda can is made of aluminum	nongold
7	recycling means using over again	nongold
8	aluminum is a kind of metal	gold
9	aluminum is recyclable	gold
10	materials are used for making products by manufacturers	nongold
11	plastic is a kind of material made by humans	nongold
12	plastic is recyclable	nongold
13	make means produce	nongold
14	discarding aluminum cans wastes aluminum	nongold
15	recycling is a kind of action	nongold
16	manufacturing means making	nongold
17	a kind of something is an example of that something	nongold
18	recycling has a  positive impact on the environment	nongold
19	a can is a kind of object	gold
20	a can is a kind of container	nongold
21	manufacture means make	nongold
22	a container contains objects; material; substances	nongold
23	metal is a kind of material	gold
24	a garbage can is made of metal	nongold
25	a producer is a kind of living thing	nongold
26	production is similar to making	nongold
27	to be used for something means to be required by that something	nongold
28	a container is a kind of object	nongold
29	processes sometimes produce waste products	nongold
30	aluminum is a kind of element	nongold
31	plastic is high in strength	nongold
32	producing is a kind of process	nongold
33	recycling is a kind of method of disposal	nongold
34	to use means to utilize	nongold
35	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
36	green plants are a kind of producer	nongold
37	converting is similar to producing	nongold
38	a garbage can is a kind of container	nongold
39	trash is synonymous with waste	nongold
40	steel is a kind of metal	nongold
41	material means substance	nongold
42	metal is a kind of substance	nongold
43	plastic is cheap	nongold
44	objects are made of materials; substances; matter	nongold
45	providing something means making;delivering something	nongold
46	recycling reduces; decreases the amount of waste sent to landfills	nongold
47	products are formed; are produced; are created	nongold
48	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
49	ceramic is a kind of material	nongold
50	aluminum is a kind of matter	nongold
51	cardboard is a kind of material	nongold
52	if an object is made of a material then that object has the properties of that material	gold
53	an animal is a kind of consumer	nongold
54	if something is a raw material in a process then that something is required for that process	nongold
55	creating means making	nongold
56	conductivity is a property of a material; substance	nongold
57	a process is a kind of event	nongold
58	to cause means to make	nongold
59	a trashcan contains trash; garbage; waste	nongold
60	if something causes a process then that something is required for that process	nongold
61	making something requires resources	nongold
62	an object; material; substance comes from that object or material's source	nongold
63	a source of something emits; produces; generates; provides that something	nongold
64	making products for cheaper has a positive impact on manufacturing	nongold
65	a part of a process means a stage in a process	nongold
66	if something is required for a process then that something positively impacts that process	nongold
67	using a raw material sometimes requires absorbing that raw material	nongold
68	rubber is a kind of material	nongold
69	a human is a kind of animal	nongold
70	cardboard is recyclable	nongold
71	old is the opposite of new	nongold
72	synthesize means to make	nongold
73	emit means produce	nongold
74	An example of avoiding waste is using an object; a material more than once	nongold
75	an event is a kind of action	nongold
76	generate means produce	nongold
77	producers pass materials they use through the food chain	nongold
78	a product is a kind of object	gold
79	best means most positive	nongold
80	to depend on; to rely on; to need means to require	nongold
81	if something is given off of something , then something is the product of something	nongold
82	to create means to make	nongold
83	glass is a kind of material	nongold
84	something is used for that something's purpose	nongold
85	new means different from the former one	nongold
86	if something is made of something; a material then that something contains that something; that material	nongold
87	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	gold
88	if a container contains something then that container touches that something	nongold
89	if a resource is limited in supply then that resource should be recycled	nongold
90	an element is a kind of material	nongold
91	process is similar to method	nongold
92	all elements are a kind of pure substance	nongold
93	plastic is durable	nongold
94	consumption means use	nongold
95	if two things are made from the same objects; material then those two things are similar	nongold
96	aluminum is a nonrenewable resource	nongold
97	a liquid is a kind of substance	nongold
98	a mass production manufacturing system makes products more cheaply than a custom manufacturing system	nongold
99	waste must be removed	nongold
