Question	Which adaptation often helps an animal attract a mate?	question
Answer	coloration	answer
0	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
1	an animal needs to attract a mate to reproduce	nongold
2	to attract females; males means to attract mates	nongold
3	an adaptation is a kind of change	nongold
4	an adaptation is a kind of characteristic	nongold
5	helping something has a  positive impact on that something	nongold
6	attract a mate means find a mate	gold
7	coloration means a thing's color	gold
8	coloration is a kind of adaptation for hiding;camouflage	gold
9	an animal is a kind of living thing	nongold
10	the color of; coloration of fur is an inherited characteristic	nongold
11	an animal is a kind of organism	nongold
12	adaptation is when an organism develops a trait over time for survival	nongold
13	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
14	coloration is used to find a mate by some animals	gold
15	trait is synonymous with characteristic	nongold
16	an adaptation is an adaptive feature	nongold
17	requiring is similar to needing help	nongold
18	adaptations are used for survival	nongold
19	to be used  for something means to help to do that something	nongold
20	a living thing is a kind of object	nongold
21	if an animal's fur is a color then that animal is that color	nongold
22	attracting is a kind of function; activity	nongold
23	sexual reproduction is a kind of reproduction	nongold
24	reproduction produces; produce offspring	nongold
25	if a living thing requires something then that something has a positive impact on that living thing	nongold
26	to help; to benefit means to be of use	nongold
27	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
28	adapting is when a living thing responds to a change in an environment	nongold
29	fur is often part of an animal	nongold
30	helping means something can be done; completed more easily; better	nongold
31	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
32	coloration means a pattern of colors	nongold
33	color is a property of  an object; a material	nongold
34	a human is a kind of animal	nongold
35	helping means to assist in a change	nongold
36	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
37	to reproduce means to have; to produce offspring	nongold
38	typically means usually	nongold
39	the colors of parts of an organism are inherited characteristics	nongold
40	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
41	pollinator means pollinating animal	nongold
42	an organism is a living thing	nongold
43	camouflage is a kind of adaptation for hiding in an environment	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	gamete means sex cell	nongold
46	animals reproduce sexually	nongold
47	male animals require sperm cells to reproduce	nongold
48	a father is a kind of male parent	nongold
49	reproductive behavior is an inherited characteristic	nongold
50	attract means move closer	nongold
51	a mother is a kind of female parent	nongold
52	sexual reproduction in animals is when egg; sperm join together	nongold
53	pull is similar to attract	nongold
54	An example of an adaptation for flight in birds is feathers; wings; hollow bones	nongold
55	a type is synonymous with a kind	nongold
56	An example of camouflage is when something is; has the same color as its environment	nongold
57	to be used for something means to be required by that something	nongold
58	to impact means to affect	nongold
59	a part of something means a characteristic of something	nongold
60	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
61	pollination requires pollinators; pollinating animals	nongold
62	an inherited characteristic is a kind of characteristic	nongold
63	trait means property	nongold
64	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
65	a hen is a kind of female adult chicken	nongold
66	harming something has a  negative impact on; effect on that something	nongold
67	fur is usually soft in texture	nongold
68	an adaptation is an advantage	nongold
69	reproduction is a kind of process	nongold
70	high is similar to increase	nongold
71	color is a kind of physical; visual property	nongold
72	well-suited is similar to adapted	nongold
73	a chick is a kind of young; baby chicken	nongold
74	to depend on; to rely on; to need means to require	nongold
75	two females can not usually reproduce with each other	nongold
76	gamete development is a stage in the sexual reproduction process	nongold
77	an animal requires a mate to fertilize an egg	nongold
78	an increase is the opposite of a decrease	nongold
79	an increase is a kind of change	nongold
80	An example of an adaptation is a  cactus spine	nongold
81	characteristic means property	nongold
82	a face is often a part of an animal	nongold
83	skin is a part of an animal; plant	nongold
84	an organism's environment affects that organism's acquired characteristics	nongold
85	white fur is a recessive trait in guinea pig	nongold
86	a cat is a kind of animal	nongold
87	usually means most of the time	nongold
88	sexual reproduction increases genetic diversity	nongold
89	parents produce offspring	nongold
90	a baby is the offspring of a parent	nongold
91	a baby is the offspring of a parent	nongold
92	a source of something increases the amount of that something	nongold
93	if an animal's skin is a certain color then that animal is that color	nongold
94	a process is a kind of event	nongold
95	animals adapt to their environment	nongold
96	children; young is synonymous with offspring	nongold
97	help means advantage	nongold
98	a puppy is a young; baby dog	nongold
99	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
