Question	Many processes on Earth occur at or near tectonic plate boundaries. Which geological events are most common along tectonic plate boundaries?	question
Answer	earthquakes and volcanoes	answer
0	volcanoes are most common along tectonic plate boundaries	gold
1	earthquakes are most common along tectonic plate boundaries	gold
2	plate tectonics is a kind of process	nongold
3	a volcano is a kind of geological event	gold
4	events occur at a specific place; at a specific time; with a specific frequency	nongold
5	a process is a kind of event	nongold
6	a tectonic plate moves along a fault line	nongold
7	an earthquake is a kind of natural; geological event	gold
8	a tectonic plate is a kind of object	nongold
9	tectonic plates being pushed together causes earthquakes	nongold
10	Earth's plates means tectonic plates	nongold
11	something that happens is a kind of event	nongold
12	if something requires something else then that something else may be common in that something	nongold
13	event is similar to occurrence	nongold
14	near means close	nongold
15	to happen means to occur	nongold
16	a motion is a kind of event; action	nongold
17	if an event is more common then that event will occur more frequently	nongold
18	volcanoes are often found under oceans	nongold
19	a change is a kind of event	nongold
20	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
21	to cause an event is similar to being involved in that event	nongold
22	the movement of tectonic plates causes volcanic eruptions	nongold
23	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
24	erosion is a kind of process	nongold
25	crustal plate means tectonic plate	nongold
26	near means local	nongold
27	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
28	igneous intrusion is a kind of geologic process	nongold
29	near; close is the opposite of far; away	nongold
30	the formation of something is a kind of process	nongold
31	many means high in number	nongold
32	Earth is a kind of planet	nongold
33	earthquake  is a kind of vibration  of the ground	nongold
34	earthquake causes seismic waves	nongold
35	change is a kind of process	nongold
36	high is similar to increase	nongold
37	weathering; erosion usually occurs over a period of many years	nongold
38	usually means most of the time	nongold
39	an earthquake changes Earth's surface quickly	nongold
40	erosion is a kind of change	nongold
41	an earthquake wave is a kind of wave	nongold
42	the formation of rock is a kind of process	nongold
43	a type is synonymous with a kind	nongold
44	a part of a process means a stage in a process	nongold
45	to vary means to change	nongold
46	a reaction is a kind of process	nongold
47	metamorphosis is a kind of process	nongold
48	a volcano is a source of magma; lava	nongold
49	a volcanic eruption is a kind of change	nongold
50	soil erosion is a kind of event	nongold
51	extreme means very high in value	nongold
52	take place means happen	nongold
53	to keep a process or event happening is similar to causing that process or event to happen	nongold
54	to add means to increase	nongold
55	a volcanic eruption is a kind of quick process	nongold
56	intense means extreme	nongold
57	the ground is part of the Earth	nongold
58	affected means changed	nongold
59	typically means usually	nongold
60	weathering is a kind of process	nongold
61	a cycle is a kind of process	nongold
62	length of time means period of time	nongold
63	a cycle happens; occurs repeatedly	nongold
64	motion is when moves an object; something to a direction	nongold
65	low is similar to decrease	nongold
66	weathering occurs at the surface of the Earth	nongold
67	tectonic plates colliding causes older layers of rock to be located above newer layers of rock	nongold
68	a process usually requires all of the stages in that process	nongold
69	if an event occurs by adding something then that event requires that something	nongold
70	producing is a kind of process	nongold
71	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
72	furthest; farthest means greatest; most; highest in distance	nongold
73	volcanic eruptions early on Earth maybe caused a large proportion of the matter in hydrosphere	nongold
74	to reduce means to decrease	nongold
75	greatest means largest; highest; most amount of something	nongold
76	wind and rain; storms cause erosion	nongold
77	an event is a kind of action	nongold
78	flowing is a kind of motion	nongold
79	formation of a state of matter is a kind of process	nongold
80	to change means to cause a change	nongold
81	natural events usually cause changes to Earth's surface	nongold
82	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
83	impact means effect	nongold
84	to be formed by is similar to being produced by	nongold
85	answering questions requires information	nongold
86	to cause the formation of means to form	nongold
87	variable means able to change	nongold
88	Earth is made of rock	nongold
89	to lower means to decrease	nongold
90	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
91	an earthquake causes the ground to shake	nongold
92	if something causes a process then that something is required for that process	nongold
93	to cause means to make	nongold
94	soil erosion is a kind of slow; natural process	nongold
95	mostly means being the most	nongold
96	Earth's surface is made of rock	nongold
97	due to means caused by	nongold
98	form means kind	nongold
99	an increase is a kind of change	nongold
