Question	Which food is a fruit?	question
Answer	a pumpkin	answer
0	a pumpkin contains seeds	gold
1	a pumpkin is a kind of gourd	gold
2	fruit is a kind of food	gold
3	fruit is a part of a plant; tree	gold
4	a fruit is a kind of object	nongold
5	fruit is  usually a solid	nongold
6	plants are the source of fruit	nongold
7	an apple is a kind of fruit	nongold
8	fruit contains seeds	gold
9	nuts are a kind of fruit	nongold
10	an animal is a kind of living thing	nongold
11	a vegetable is a kind of food	nongold
12	food is what an animal eats	nongold
13	flowers are a source of fruit	nongold
14	food is a kind of substance	nongold
15	fruit drink is a kind of beverage	nongold
16	a vegetable is a kind of plant	nongold
17	an organism is a living thing	nongold
18	a berry is a kind of fruit	nongold
19	seeds are a part of  berries	nongold
20	a living thing is a kind of object	nongold
21	a tree is a kind of plant	nongold
22	food is a kind of object	nongold
23	a plant is a kind of living thing	nongold
24	an  apple is  round in shape	nongold
25	a food contains nutrients for living things	nongold
26	a tree is a kind of living thing	nongold
27	some flowers become fruits	nongold
28	an orange is a kind of fruit	nongold
29	a source of something emits; produces; generates; provides that something	nongold
30	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
31	an apple tree is a kind of plant	nongold
32	a gourd is a kind of fruit	gold
33	an  apple is  hard	nongold
34	fruit juice is a kind of  drink	nongold
35	fruit trees are a kind of crop	nongold
36	person is synonymous with human	nongold
37	an animal is a kind of organism	nongold
38	objects are made of materials; substances; matter	nongold
39	a tree is a kind of matter	nongold
40	an apple is red in color	nongold
41	a human is a kind of animal	nongold
42	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
43	a container contains objects; material; substances	nongold
44	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
45	an animal is a kind of consumer	nongold
46	squirrels eat edible plants; fruit	nongold
47	a container is a kind of object	nongold
48	a plant is a kind of organism	nongold
49	a beverage is a kind of food	nongold
50	to eat means to consume food	nongold
51	fruit salad often is made of  fruit	nongold
52	a lemon is a kind of fruit	nongold
53	nut is a kind of  food	nongold
54	a product is a kind of object	nongold
55	an animal; living thing requires nutrients for survival	nongold
56	green plants are a kind of producer	nongold
57	an apple is smooth on the surface	nongold
58	sweet is a kind of flavor	nongold
59	if something is made of something; a material then that something contains that something; that material	nongold
60	a dessert is a kind of food	nongold
61	nonliving; non-living; die is the opposite of living; alive; live	nongold
62	a flower is a kind of object	nongold
63	living things eat their food source	nongold
64	a flower is a kind of plant	nongold
65	an object is an item	nongold
66	water is a kind of nonliving thing	nongold
67	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
68	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
69	made up of means contains; made of	nongold
70	provide is similar to give; make	nongold
71	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
72	substances are made of matter	nongold
73	eating an animal; a plant means killing that animal; that plant	nongold
74	emit means produce	nongold
75	taking is the opposite of giving; leaving	nongold
76	gas is a kind of substance	nongold
77	a plant; living thing requires food for survival	nongold
78	answering questions requires information	nongold
79	chocolate  is a kind of food	nongold
80	fruit juice is usually high in sugar	nongold
81	birds sometimes eat berries;seeds	nongold
82	if an object is made of something then the parts of that object are made of that something	nongold
83	different kinds of trees produce different types of fruit	nongold
84	a liquid is a kind of substance	nongold
85	when an animal eats or drinks something , that animal tastes that something	nongold
86	candy is a kind of dessert	nongold
87	an object is made of its parts	nongold
88	life means living things	nongold
89	a producer is a kind of living thing	nongold
90	material means substance	nongold
91	fruit salad is a kind of salad	nongold
92	to contain something means to have that something	nongold
93	gas is a kind of object	nongold
94	taste is a kind of sense	nongold
95	matter; materials; substances are made of atoms; particles	nongold
96	a bird is a kind of living thing	nongold
97	juice is a kind of matter	nongold
98	a producer is a source of sugar; food energy in an ecosystem	nongold
99	a molecule is a kind of object	nongold
