Question	What do plants take from the air that helps them make food?	question
Answer	carbon dioxide	answer
0	a plant; living thing requires food for survival	nongold
1	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
2	a plant is a kind of living thing	nongold
3	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
4	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	gold
5	plants are a source of oxygen through photosynthesis	nongold
6	taking in something means receiving; absorbing; getting something	nongold
7	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
8	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
9	helping something has a  positive impact on that something	nongold
10	take in means absorb	nongold
11	an object; material; substance comes from that object or material's source	nongold
12	green plants are a kind of producer	nongold
13	a plant is a kind of organism	nongold
14	carbon dioxide is a kind of gas	nongold
15	a source of something emits; produces; generates; provides that something	nongold
16	vegetation means plants	nongold
17	to be used  for something means to help to do that something	nongold
18	a  plant requires sunlight for photosynthesis	nongold
19	a food contains nutrients for living things	nongold
20	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
21	carbon dioxide is a kind of greenhouse gas	nongold
22	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
23	a tree is a kind of plant	nongold
24	carbon dioxide can be found in the air	gold
25	an animal needs to eat food for nutrients	nongold
26	animals are a source of carbon dioxide by exhaling	nongold
27	provide is similar to give; make	nongold
28	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
29	if something comes from something else then that something else is a source of that something	nongold
30	crops are a kind of edible plant for eating	nongold
31	if something is a raw material then that something comes directly from a source	nongold
32	transpiration is when water vapor moves from plants;leaves into the atmosphere	nongold
33	an animal requires air for survival	nongold
34	atmosphere means  air	nongold
35	to help; to benefit means to be of use	nongold
36	a plants; living things require water for survival; to grow	nongold
37	the air is a kind of substance	nongold
38	an animal; bacterium requires oxygen for survival; to breathe	nongold
39	providing something means making;delivering something	nongold
40	air is a kind of gas	nongold
41	In the food chain process a  green plant has the role of  producer	nongold
42	one can get something from a source	nongold
43	food is what an animal eats	nongold
44	make means produce	nongold
45	plants are a source of biofuel	nongold
46	cooking food requires adding heat energy to the food	nongold
47	where something  comes from is a source of that something	nongold
48	requiring is similar to needing help	nongold
49	a leaf performs photosynthesis; gas exchange	nongold
50	food is a kind of substance	nongold
51	to eat means to consume food	nongold
52	a plant requires photosynthesis to grow; survive	nongold
53	an animal is a kind of living thing	nongold
54	to provide something means to be the source of that something	nongold
55	usually plants store the food they produce for future use	nongold
56	to be used for something means to be required by that something	nongold
57	if a living thing requires something then that something has a positive impact on that living thing	nongold
58	to depend on; to rely on; to need means to require	nongold
59	an animal is a kind of organism	nongold
60	a vegetable is a kind of plant	nongold
61	if something requires something else then that something requires a source of that something else	nongold
62	In the cellular respiration; animal respiration process carbon dioxide is a waste product	nongold
63	taking is the opposite of giving; leaving	nongold
64	automobiles; industrialization are a source of carbon dioxide	nongold
65	an animal; living thing requires nutrients for survival	nongold
66	if something is a raw material in a process then that something is required for that process	nongold
67	heat means heat energy	nongold
68	to give off means to be the source of	nongold
69	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
70	oxygen is a kind of gas at room temperature	nongold
71	photosynthesis is a source of oxygen	nongold
72	helping means to assist in a change	nongold
73	to cause means to make	nongold
74	gas is a kind of substance	nongold
75	a source of something supplies that something	nongold
76	an animal is a kind of consumer	nongold
77	the greenhouse effect is when carbon in the air heats a planet's atmosphere	nongold
78	an organism breaking down sugar is a source of carbon dioxide; water	nongold
79	if a plant dies then that plant will not produce food	nongold
80	production is similar to making	nongold
81	plants are a part of the environment	nongold
82	taking in something means acquiring that something	nongold
83	food contains carbohydrates	nongold
84	an organism is a living thing	nongold
85	plants are a kind of resource	nongold
86	food is a source of energy for animals; plants	nongold
87	if an object is a source of something for something else then that something else can obtain that something from that object	nongold
88	fossil fuels release carbon dioxide into the atmosphere	nongold
89	taking in and releasing means exchanging	nongold
90	when carbon dioxide in the atmosphere is absorbed by plants , the amount of carbon dioxide in the atmosphere is reduced in the atmosphere	nongold
91	photosynthesis is a kind of chemical  process	nongold
92	living things eat their food source	nongold
93	to enable is to help	nongold
94	a tree is a kind of living thing	nongold
95	breathing is when animals convert oxygen into carbon dioxide	nongold
96	biofuel releases carbon dioxide into the atmosphere	nongold
97	absorbing something from the air means removing that something from Earth's atmosphere	nongold
98	carbon monoxide is a kind of gas	nongold
99	absorbing something from the air decreases the  amount of  that something in the air	nongold
