Question	Which piece of lab equipment is necessary to determine the mass of 2 teaspoons of sand?	question
Answer	balance	answer
0	a balance is a kind of instrument for measuring mass; measuring weight	gold
1	a balance is used for measuring mass;weight of an object; of a substance	gold
2	lab equipment is often used for measuring; observing	nongold
3	an instrument is a piece of equipment	gold
4	determining often requires measuring; observing	gold
5	sand  is a kind of substance	nongold
6	sand  is a kind of solid	nongold
7	sand is made of very small rocks; minerals	gold
8	sand  is a kind of material	nongold
9	to be required means to be necessary	gold
10	mass; weight is a property of matter; objects; materials	nongold
11	sand is made of small particles	nongold
12	to be used for something means to be required by that something	nongold
13	instrument means tool	nongold
14	device means tool	nongold
15	sand is similar to soil	nongold
16	experimentation requires measuring	nongold
17	mass is a property of objects; matter	nongold
18	a rock is a kind of object	gold
19	mass is a measure of the amount of matter in an object	nongold
20	density is a measure of mass of an object over volume; divided by volume	nongold
21	essential means required	nongold
22	mass is similar to size	nongold
23	a piece of something is a kind of object	nongold
24	to depend on; to rely on; to need means to require	nongold
25	counter means reduce; stop; resist	nongold
26	rock is a kind of material	nongold
27	objects are made of materials; substances; matter	nongold
28	a piece of an object is smaller in size than the whole object	nongold
29	unbalanced is the opposite of balanced	nongold
30	materials are made of matter	nongold
31	measuring requires reading a measurement	nongold
32	examining sometimes requires measuring	nongold
33	investigating sometimes requires measuring	nongold
34	motion; movement means moving; to move	nongold
35	instrument means device	nongold
36	a surface is a part of an object	nongold
37	sand has a rough surface	nongold
38	to measure means to calculate	nongold
39	calculation means measurement	nongold
40	requiring something means needing that something	nongold
41	weight is a measure of the force of the gravity on the mass of an object	nongold
42	a tool is a kind of object	nongold
43	affected means changed	nongold
44	requiring is similar to needing help	nongold
45	an part of an object is smaller than the entire object	nongold
46	friction occurs when two object's surfaces move against each other	nongold
47	mass is a kind of physical property	nongold
48	a rock is usually a solid	nongold
49	sand is always nonmagnetic	nongold
50	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
51	material means substance	nongold
52	high is similar to increase	nongold
53	a surface is a part of a material	nongold
54	sand is insoluble in water	nongold
55	sand is insoluble in water	nongold
56	if a property affects a value then that property is needed to calculate that value	nongold
57	experiment is synonymous with test	nongold
58	sand  is a kind of mixture	nongold
59	can be means able to be	nongold
60	height is a measure of length from the top of an object to the bottom of an object	nongold
61	a bird is a kind of living thing	nongold
62	an object is made of its parts	nongold
63	a surface is a kind of object	nongold
64	length is a part of size	nongold
65	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
66	a piece is a part of a whole	nongold
67	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
68	to make possible means to be required	nongold
69	determining is similar to controlling	nongold
70	larger means greater; higher; more; increase in size	nongold
71	height is a property of the size of an object	nongold
72	pulling is a kind of motion	nongold
73	if an object is made of a material then that object has the properties of that material	nongold
74	greater means higher; more in value	nongold
75	matter; materials; substances are made of atoms; particles	nongold
76	must have means require	nongold
77	measuring is used for describing an object	nongold
78	strong means high in strength	nongold
79	to study means to examine	nongold
80	mass; weight is an extensive property	nongold
81	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
82	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
83	extreme means very high in value	nongold
84	silica sand is a kind of sand	nongold
85	friction acts to counter the motion of two objects when their surfaces are touching	nongold
86	an animal is a kind of living thing	nongold
87	particles in objects are a kind of matter	nongold
88	sample is similar to small amount of substance; matter	nongold
89	identifying is similar to determining	nongold
90	length is a measure of distance from one end of an object to the other end of that object	nongold
91	answering questions requires information	nongold
92	higher means greater; above in value; amount; number	nongold
93	measuring is a kind of observing	nongold
94	motion is when moves an object; something to a direction	nongold
95	a star's type is determined by the star's mass	nongold
96	a device is a kind of object	nongold
97	to reduce means to decrease	nongold
98	thickness is  a measure of how thick an object  is	nongold
99	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
