Question	Which energy conversion happens when a person shivers and the energy is transferred to make the muscles and joints move?	question
Answer	chemical energy to mechanical energy	answer
0	when an animal moves , chemical energy is converted to mechanical energy	gold
1	mechanical energy can  cause objects to move	nongold
2	mechanical energy is a kind of energy	nongold
3	An example of mechanical energy is an object in motion	nongold
4	shivering is when an animal creates heat by shaking to keep the body warm	nongold
5	shivering is a kind of shaking	nongold
6	a person is a kind of animal	nongold
7	person is synonymous with human	gold
8	mechanical energy is used to move something by animals	nongold
9	energy conversion is similar to energy transformation	nongold
10	motion; movement means moving; to move	nongold
11	a human is a kind of animal	gold
12	convert is similar to transfer	nongold
13	muscles push; pull bones to move the bones	nongold
14	energy transformation means one kind of energy changes into another kind of energy	nongold
15	chemical energy is a kind of energy	nongold
16	to transform means to convert	nongold
17	to convert means to change	nongold
18	active transport converts chemical energy into mechanical energy	nongold
19	an animal is a kind of living thing	nongold
20	kinetic energy is a kind of mechanical energy	nongold
21	a living thing is a kind of object	nongold
22	cold temperatures; cool temperatures cause animals to shiver	nongold
23	to turn means to convert	nongold
24	an automobile engine converts chemical energy into mechanical energy and heat energy	nongold
25	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
26	mechanical force is a kind of mechanical energy	nongold
27	if something transfers something else then that something is a source of something else	nongold
28	forming is similar to converting	nongold
29	an animal requires energy to move	nongold
30	shaking is a kind of motion	nongold
31	muscular movement helps animals move	nongold
32	food is a kind of chemical energy	nongold
33	transfer is a kind of change	nongold
34	make means produce	nongold
35	transferring is similar to adding	nongold
36	an animal is a kind of organism	nongold
37	heat is a kind of energy	nongold
38	motion is a source of kinetic energy in an object	nongold
39	converting is similar to producing	nongold
40	conversion is a kind of process	nongold
41	chemical energy is a kind of potential energy	nongold
42	heat means heat energy	nongold
43	chemical change is the opposite of physical change	nongold
44	sound is produced when mechanical energy is transformed into sound energy	nongold
45	to happen means to occur	nongold
46	adding heat to an object sometimes causes chemical reactions	nongold
47	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
48	a motion is a kind of event; action	nongold
49	to cause means to make	nongold
50	to conduct is similar to to transfer	nongold
51	to add means to increase	nongold
52	a heat engine converts heat energy into mechanical energy	nongold
53	to pass means to transfer	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	an organism is a living thing	nongold
56	if an object undergoes chemical change then that object will have new chemical properties	nongold
57	the muscular system is a kind of body; organ system	nongold
58	mechanical energy exerted by an object can be used to push or pull another object	nongold
59	an increase is a kind of change	nongold
60	movement is a kind of change	nongold
61	pulling is a kind of motion	nongold
62	the muscular system contains muscles	nongold
63	high is similar to increase	nongold
64	vibration is a kind of motion	nongold
65	to convert means to exchange	nongold
66	muscle tissue is a kind of tissue	nongold
67	to send means to transfer	nongold
68	a skeletal system is a part of an animal	nongold
69	human is a kind of organism	nongold
70	a part of a living thing is a natural structure	nongold
71	limbs are part of an animal	nongold
72	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
73	most chemical reactions release or absorb heat energy	nongold
74	transferring is moving from one place to another place	nongold
75	converting is similar to releasing	nongold
76	transfer is a kind of process	nongold
77	converting is similar to turning into	nongold
78	to flow is similar to to transfer	nongold
79	An example of an object with kinetic energy is an object in motion	nongold
80	objects are made of materials; substances; matter	nongold
81	converting is a kind of function	nongold
82	a body part is a kind of object	nongold
83	a body system is a part of the body; an animal	nongold
84	an arm is a kind of limb	nongold
85	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
86	the body is a part of an organism	nongold
87	as the force with which an object is touched increases , the amount of  mechanical energy converted to sound energy will increase	nongold
88	cellular energy is a kind of chemical energy	nongold
89	to create means to make	nongold
90	a vehicle can be used for transferring	nongold
91	friction converts mechanical energy into heat energy	nongold
92	a bone is a part of a body	nongold
93	ATP supplies chemical energy for  organisms to move	nongold
94	substances have chemical properties	nongold
95	a chemical property is the opposite of a physical property	nongold
96	sweat cools; helps to cool a body	nongold
97	temperature is a measure of heat energy	nongold
98	arms are a part of a person's body for manipulating objects	nongold
99	sliding is a kind of movement	nongold
