Question	Which term describes Earth's orbit around the Sun?	question
Answer	revolution	answer
0	revolving  around something means orbiting that something	gold
1	a revolution occurs when something revolves around something else	gold
2	the Earth revolves around the sun	gold
3	Earth's revolution is a kind of cycle	nongold
4	planets orbit stars	nongold
5	a planet completes one orbit around its star over a period of one planetary year	nongold
6	moons orbit planets	nongold
7	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
8	Earth is a kind of planet	nongold
9	planets in the solar system orbit the Sun	nongold
10	the moon orbits the Earth	nongold
11	a revolution of the moon around the Earth takes 1; one month	nongold
12	the Sun is a kind of star	nongold
13	orbiting is a kind of action	nongold
14	gravity causes orbits	nongold
15	a planet rotating causes cycles of day and night on that planet	nongold
16	a moon is a kind of celestial object; body	nongold
17	a planet is a kind of celestial object; body	nongold
18	orbit means orbital path	nongold
19	astronomy is the study of celestial (objects, bodies)	nongold
20	the moon rotates on its axis	nongold
21	the Earth rotates on its axis	nongold
22	the moon orbiting the Earth occurs approximately 13 times per year	nongold
23	revolving is a kind of motion	nongold
24	a star is a kind of celestial object; celestial body	nongold
25	Celestial bodies move in orbits in space around other celestial bodies	nongold
26	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
27	the sun  is the source of energy for physical cycles on Earth	nongold
28	the moon orbiting the Earth occurs once per month	nongold
29	revolve once means to complete a revolution	nongold
30	an event is a kind of action	nongold
31	the moon's orbit is elliptical	nongold
32	revolving is a kind of action	nongold
33	the Moon is Earth's moon	nongold
34	a motion is a kind of event; action	nongold
35	astronomical body means celestial body	nongold
36	planets have cleared their orbits	nongold
37	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
38	planetary orbits are mostly elliptical	nongold
39	Earth rotating on its axis occurs once per day	nongold
40	the properties of something are used for describing that something	nongold
41	a cycle happens; occurs repeatedly	nongold
42	the sun rising and setting causes cycles of day and night	nongold
43	a satellite orbits a planet	nongold
44	Saturn is a kind of planet	nongold
45	a comet orbit occurs usually once per 1000.0 years	nongold
46	the sun setting is a kind of event	nongold
47	a source of something emits; produces; generates; provides that something	nongold
48	cycles of day and night occur once per day	nongold
49	the sun rising is a kind of event	nongold
50	a light-year is used for describing long distances	nongold
51	a moon is a kind of satellite	nongold
52	Mars is a kind of planet	nongold
53	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
54	moons; comets; planets are part of the solar system	nongold
55	rising is a kind of motion	nongold
56	can be means able to be	nongold
57	measuring is used for describing an object	nongold
58	the sun is a kind of yellow dwarf	nongold
59	the day time is part of one day	nongold
60	an orbit is a kind of regular path	nongold
61	a human is a kind of animal	nongold
62	a process is a kind of event	nongold
63	a white dwarf is a kind of star	nongold
64	a planet is exposed to the heat of the star around which it revolves	nongold
65	a cycle is a kind of process	nongold
66	a hemisphere is a part of Earth	nongold
67	setting is a kind of motion	nongold
68	sunlight is a kind of light	nongold
69	a part of a process means a stage in a process	nongold
70	astronomical unit is a measure of distance between Earth and the Sun	nongold
71	approximately means about	nongold
72	if something is caused by something else , then that something can be explained by that something else	nongold
73	Tuesday is a kind of  time	nongold
74	a physical property is a kind of property	nongold
75	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
76	events occur at a specific place; at a specific time; with a specific frequency	nongold
77	something's function can be used to describe; identify that something	nongold
78	a change is a kind of event	nongold
79	to a human a time period of 1000 years or more years is considered very long	nongold
80	the sun rising; setting occurs once per day	nongold
81	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
82	a half of Earth is a hemisphere of Earth	nongold
83	typically means usually	nongold
84	astronomy is a kind of branch of science	nongold
85	a theory is a kind of scientific term	nongold
86	a description sometimes provides information	nongold
87	meters;centimeters;kilometers are used to describe distance; describe length	nongold
88	the moon rising occurs once per day	nongold
89	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
90	a law is a kind of scientific term	nongold
91	the sun is  the largest celestial body in our solar system	nongold
92	person is synonymous with human	nongold
93	length of time means period of time	nongold
94	a yellow dwarf is a kind of main-sequence star	nongold
95	the night time is part of one day	nongold
96	a phase of the moon is a kind of state	nongold
97	the solar system contains the moon	nongold
98	our Sun is located at the center of our solar system	nongold
99	moons are large; solid; spherical	nongold
