Question	Quartz and feldspar are two common minerals. When they are found mixed together in nature they form	question
Answer	rocks.	answer
0	sometimes rocks are formed by quartz; feldspar mixed together	gold
1	quartz is a kind of mineral	nongold
2	a quartzite is a kind of metamorphic rock	nongold
3	a quartz is made of six-sided transparent crystals	nongold
4	a mineral is a kind of solid; natural material	nongold
5	rock is made of minerals	nongold
6	a mineral is a kind of object	nongold
7	to be made of something means to be formed of that something	nongold
8	a rock is a kind of object	nongold
9	a mineral usually has a crystal structure	nongold
10	an mixture is formed by two or more substances combined together physically	nongold
11	form means kind	nongold
12	to be found in means to be contained in	nongold
13	if something requires something else then that something else may be common in that something	nongold
14	all minerals are formed by natural geological processes	nongold
15	both means two	nongold
16	dissolving is a kind of  mixing	nongold
17	similar means in common	nongold
18	An example of a mixture is sand; clay; soil mixed together	nongold
19	in common is similar to the same	nongold
20	granite is a kind of nonmetal	nongold
21	to make means to form	nongold
22	substances are made of elements	nongold
23	composed of means made of	nongold
24	to change into means to form	nongold
25	if something is made of something else then that something can be broken down into that something else	nongold
26	to form means to create	nongold
27	together means in a group	nongold
28	metamorphic is a kind of rock	nongold
29	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
30	nature means a natural environment	nongold
31	metamorphic rock is a kind of rock	nongold
32	granite is a kind of igneous rock	nongold
33	class is a measure of how a rock is formed	nongold
34	forming something is a kind of change	nongold
35	classifying means grouping objects; materials by their properties	nongold
36	to disperse means to separate	nongold
37	if something is a part of something then that something can be found in that something	nongold
38	different classes of rocks are formed by different methods	nongold
39	can be means able to be	nongold
40	composition means the (materials, substances) of which something is composed	nongold
41	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
42	calcium is a kind of element	nongold
43	made of is similar to contains	nongold
44	rock means stone	nongold
45	state means form	nongold
46	to be formed by is similar to being produced by	nongold
47	apart is the opposite of together	nongold
48	an object is made of its parts	nongold
49	to cause the formation of means to form	nongold
50	all elements are a kind of pure substance	nongold
51	if two things are made from the same objects; material then those two things are similar	nongold
52	igneous is a kind of rock	nongold
53	metamorphosed rock is a kind of rock	nongold
54	found in means existing in	nongold
55	to split means to break down	nongold
56	a type is synonymous with a kind	nongold
57	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
58	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
59	a rock is usually a solid	nongold
60	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
61	if two objects are similar , then the two objects share properties	nongold
62	to group means to separate	nongold
63	a mixture is a kind of substance	nongold
64	rock is a kind of material	nongold
65	forming is similar to converting	nongold
66	answering questions requires information	nongold
67	made up of means contains; made of	nongold
68	being made of crystals is synonymous with having a crystal structure	nongold
69	no longer means used to be	nongold
70	sand is made of very small rocks; minerals	nongold
71	coming together means forming a group	nongold
72	to change means to become different	nongold
73	a component means a part of	nongold
74	quartz scratches glass easily	nongold
75	separate is similar to break down	nongold
76	to generate means to form	nongold
77	if two objects are composed of similar materials then those objects may have come from the same source	nongold
78	objects are made of materials; substances; matter	nongold
79	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
80	products are formed; are produced; are created	nongold
81	to decompose means to separate	nongold
82	affected means changed	nongold
83	pair means two	nongold
84	to contain means to have inside	nongold
85	a whole is formed by its parts	nongold
86	composition is a property of an object; matter	nongold
87	to split means to divide	nongold
88	to be formed means to be originated	nongold
89	each is simiar to one	nongold
90	a source of something emits; produces; generates; provides that something	nongold
91	talc is a kind of mineral	nongold
92	to vary means to differ	nongold
93	some minerals are nutrients	nongold
94	high is similar to increase	nongold
95	to add means to combine	nongold
96	rock is hard	nongold
97	to be made of means to consist of	nongold
98	a mixture usually is made of objects with different physical properties	nongold
99	composition is a kind of information	nongold
