Question	Which tool could be used to help someone count the number of ladybugs on a leaf?	question
Answer	hand lens	answer
0	a ladybug is a kind of insect	gold
1	a leaf is a kind of object	nongold
2	a leaf is a kind of plant	nongold
3	a hand lens; a magnifying lens is synonymous with a magnifying glass	gold
4	to help; to benefit means to be of use	nongold
5	a magnifying glass is a kind of tool for observing small things	gold
6	to be used  for something means to help to do that something	nongold
7	device means tool	nongold
8	a leaf is a part of a  green plant	nongold
9	a leaf performs photosynthesis; gas exchange	nongold
10	a labybug  has a small  size	nongold
11	instrument means tool	nongold
12	magnifying glass is used to see  small things by making objects appear bigger	gold
13	a living thing is a kind of object	nongold
14	helping something has a  positive impact on that something	nongold
15	a leaf is a kind of plant organ	nongold
16	person is synonymous with human	nongold
17	counting something usually requires seeing that something	gold
18	a tool is a kind of object	nongold
19	a hand is a kind of object	nongold
20	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
21	an animal is a kind of living thing	nongold
22	a person is a kind of animal	nongold
23	a leaf is a part of a tree	nongold
24	to enable is to help	nongold
25	how many means what number	nongold
26	a plant is a kind of living thing	nongold
27	a leaf is small in size	nongold
28	to help means to aid	nongold
29	the number of parts of something is a property of that something	nongold
30	amount is similar to number	nongold
31	refractions of light can be used to help a person see	nongold
32	one is a kind of number	nongold
33	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
34	an insect is a kind of animal	nongold
35	helping means to assist in a change	nongold
36	lenses are a kind of object	nongold
37	many means high in number	nongold
38	four is a kind of number	nongold
39	a lens is a part of a telescope	nongold
40	some lenses are made of glass	nongold
41	a human is a kind of animal	nongold
42	An insect is a pollinating animal	nongold
43	an part of an object is smaller than the entire object	nongold
44	a device is a kind of object	nongold
45	requiring is similar to needing help	nongold
46	instrument means device	nongold
47	a camera is a kind of tool for recording images	nongold
48	some lenses are made of plastic	nongold
49	tool is similar to appliance	nongold
50	to make something easier means to help	nongold
51	a bird is a kind of animal	nongold
52	a bird is a kind of living thing	nongold
53	objects are made of materials; substances; matter	nongold
54	An example of an assistive device is a contact lens	nongold
55	optical tools are used for observing materials up close; in greater detail	nongold
56	a plant light is used for help plants by mimicking sunlight	nongold
57	if a living thing requires something then that something has a positive impact on that living thing	nongold
58	eyes are usually part of an animal for seeing	nongold
59	an instrument is a piece of equipment	nongold
60	greatest means largest; highest; most amount of something	nongold
61	helping means something can be done; completed more easily; better	nongold
62	a leaf absorbs sunlight to perform photosynthesis	nongold
63	measuring sometimes requires  recording; learning an amount	nongold
64	an animal is a kind of organism	nongold
65	a flower is a kind of object	nongold
66	population is a measure of the number of a species in an environment	nongold
67	a camera is used for recording images	nongold
68	a simple machine is a kind of tool	nongold
69	A bird is a pollinating animal	nongold
70	fewer means lower; less in number	nongold
71	an object is an item	nongold
72	help means advantage	nongold
73	a plant is a kind of organism	nongold
74	an eyeglass lens is a kind of object	nongold
75	to be helpful means to help to do	nongold
76	the function of something is what that something  is used to do	nongold
77	a tree is a kind of living thing	nongold
78	a lot means large in amount; quantity	nongold
79	lenses are a part of eyeglasses	nongold
80	quantity means amount	nongold
81	being  on something; placed in something; placed over something means touching  that something	nongold
82	eyes are a part of a human for seeing	nongold
83	an insect is a kind of prey	nongold
84	answering questions requires information	nongold
85	can be means able to be	nongold
86	shiny things; objects reflect light	nongold
87	an eyeglass lens is often made of glass	nongold
88	length is a measure of distance from one end of an object to the other end of that object	nongold
89	an insect usually has a small size	gold
90	binoculars are a kind of instrument for observing distant objects	nongold
91	a leaf is often green in color	nongold
92	an image transmits visual information	nongold
93	a human hand is large enough to be visible	nongold
94	image means visual depiction of an object	nongold
95	a type is synonymous with a kind	nongold
96	if an object is made of a material then that object has the properties of that material	nongold
97	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
98	material means substance	nongold
99	refraction is when light bends	nongold
