Question	Endothermic reactions are reactions that require more energy to start than they give off in the products. Which statement describes an endothermic reaction?	question
Answer	It absorbs heat energy and is cold to the touch.	answer
0	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	gold
1	an endothermic reaction absorbs heat energy from its surroundings	nongold
2	an endothermic process usually requires more heat energy from its surroundings than it gives off heat	gold
3	an endothermic reaction converts heat energy into chemical energy	nongold
4	absorbing energy causes objects; materials; substances to heat	nongold
5	an exothermic reaction increases the amount of heat	nongold
6	an exothermic process releases heat energy; light energy	nongold
7	requiring something means needing that something	nongold
8	if something is  cold in temperature , then something will be cold to touch	gold
9	most chemical reactions release or absorb heat energy	nongold
10	temperature is a measure of heat energy	nongold
11	to give off means to be the source of	nongold
12	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
13	melting is a kind of endothermic reaction	nongold
14	heat means heat energy	nongold
15	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
16	if heat is added to a substance then that substance absorbs that heat	nongold
17	increase means more	nongold
18	colder; cooler means lower in temperature	nongold
19	if something is given off of something , then something is the product of something	nongold
20	warmer means greater; higher in temperature; warmth	nongold
21	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
22	the properties of something are used for describing that something	nongold
23	heat is a kind of energy	nongold
24	cold means low in temperature	nongold
25	requiring is similar to needing help	nongold
26	cool means cold	nongold
27	cold pack reaction is a kind of endothermic reaction	nongold
28	warm means medium heat energy; temperature	nongold
29	hot means high in heat energy; temperature	nongold
30	if something transfers energy to something else then that something else absorbs that energy	nongold
31	to add means to increase	nongold
32	thermal energy is a kind of energy	nongold
33	cooler means colder	nongold
34	to give is similar to to cause	nongold
35	when a cooler object touches a warmer object , thermal conduction occurs	nongold
36	heating means adding heat	nongold
37	adding heat means increasing temperature	nongold
38	to be required means to be necessary	nongold
39	to be used for something means to be required by that something	nongold
40	an increase is a kind of change	nongold
41	warm is the opposite of cool	nongold
42	a hot; warm something is a source of heat	nongold
43	hot is the opposite of  cold	nongold
44	being  on something; placed in something; placed over something means touching  that something	nongold
45	if one surface; one substance; one object touches something then one is exposed to that something	nongold
46	heat means temperature increases	nongold
47	to depend on; to rely on; to need means to require	nongold
48	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
49	thermal conduction is when heat flows from warmer object to cooler object	nongold
50	to lower means to decrease	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	adding heat to an object sometimes causes chemical reactions	nongold
53	heat energy is synonymous with thermal energy	nongold
54	an increase is the opposite of a decrease	nongold
55	to touch means to contact	nongold
56	a reaction is a kind of process	gold
57	high is similar to increase	nongold
58	a hot pack reaction is a kind of exothermic reaction	nongold
59	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
60	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
61	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
62	the heat energy in the cooler object increases in thermal conduction	nongold
63	if a living thing becomes too cold then that living thing will die	nongold
64	freezing is a kind of  exothermic process	nongold
65	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
66	if something requires something else then that something requires a source of that something else	nongold
67	metal is a thermal; thermal energy conductor	nongold
68	touching something means feeling that something	nongold
69	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
70	give off is similar to make	nongold
71	a decrease is a kind of change	nongold
72	chemical change is a kind of chemical reaction	nongold
73	a product is a kind of object	nongold
74	to reduce means to decrease	nongold
75	liquid is a kind of state of matter	nongold
76	if an event occurs by adding something then that event requires that something	nongold
77	absorbing sunlight causes objects to heat	nongold
78	nuclear reaction is a kind of exothermic reaction	nongold
79	cooling means temperature decreases	nongold
80	heat means the transfer of thermal energy	nongold
81	transferring is similar to giving	nongold
82	warm; becoming warm means heat is added	nongold
83	a process usually requires all of the stages in that process	nongold
84	a chemical reaction is a kind of process	nongold
85	warm means warm temperature	nongold
86	if one object absorbs more energy than another object , then the  object will be warmer	nongold
87	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
88	heat energy can change the state of matter	nongold
89	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
90	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
91	if something emits something else then that something increases the amount of that something else	nongold
92	as the temperature of a chemical reaction increases , the rate of the reaction will increase	nongold
93	if something causes a process then that something is required for that process	nongold
94	solid is a kind of state of matter	nongold
95	conductivity is a property of a material; substance	nongold
96	something in a cold place becomes cold	nongold
97	an organism is a living thing	nongold
98	if something transfers something else then that something is a source of something else	nongold
99	if an event is required for a process then that event must occur before that process can occur	nongold
