Question	Which device converts kinetic energy into electrical energy?	question
Answer	generator	answer
0	a generator converts kinetic energy into electrical energy; electricity	gold
1	a generator is a kind of  device	gold
2	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
3	hydropower converts kinetic energy into electric energy	nongold
4	kinetic energy is a kind of mechanical energy	nongold
5	converting is similar to generating	nongold
6	a source of something emits; produces; generates; provides that something	nongold
7	instrument means device	nongold
8	if something generates energy for something else then that something powers that something else	nongold
9	emit means produce	nongold
10	an electric motor converts electrical energy into mechanical energy	nongold
11	electricity means electrical energy	nongold
12	generate means produce	nongold
13	converting is similar to producing	nongold
14	electricity is used as an energy source by electrical devices	nongold
15	a machine is a kind of  device	nongold
16	electrical energy is a kind of energy	nongold
17	a power plant converts chemical energy from energy source into electricity	nongold
18	a internal combustion engine; car engine; automobile engine usually converts fuel into kinetic energy and heat energy through combustion	nongold
19	mechanical energy is a kind of energy	nongold
20	electric devices require electrical energy to function	nongold
21	a complete electrical circuit is a source of  electrical energy	nongold
22	to power means to provide energy for	nongold
23	if something is powered by something else then that something requires a source of that something else	nongold
24	to transform means to convert	nongold
25	generating power is a kind of positive impact	nongold
26	when an animal moves , chemical energy is converted to mechanical energy	nongold
27	causing is similar to generating	nongold
28	device means tool	nongold
29	a circuit is a kind of electrical component	nongold
30	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
31	changes potential energy into kinetic energy through motion	nongold
32	a heat engine converts heat energy into mechanical energy	nongold
33	nuclear reactor generates electrical power	nongold
34	conversion is a kind of process	nongold
35	to generate means to create	nongold
36	make means produce	nongold
37	the formation of lightning converts mechanical energy into electrical energy	nongold
38	a device requires energy to operate	nongold
39	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
40	an electric motor is a kind of electrical device	nongold
41	chemical energy is a kind of energy	nongold
42	temperature is a measure of kinetic energy of molecules	nongold
43	to generate means to form	nongold
44	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
45	motion is a source of kinetic energy in an object	nongold
46	heat is a kind of energy	nongold
47	to produce means to provide	nongold
48	the function of something is what that something  is used to do	nongold
49	if something converts one kind of energy into other kinds of energy then that something originally stores that energy as the first kind of energy	nongold
50	to convert means to change	nongold
51	products are formed; are produced; are created	nongold
52	an event is a kind of action	nongold
53	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
54	producing is a kind of process	nongold
55	if something transfers something else then that something is a source of something else	nongold
56	a human is a kind of animal	nongold
57	comet striking a planet converts kinetic energy into thermal energy	nongold
58	an automobile engine converts chemical energy into mechanical energy and heat energy	nongold
59	electrical devices are used for industrial purposes; household purposes by humans	nongold
60	energy transformation means one kind of energy changes into another kind of energy	nongold
61	a process is a kind of event	nongold
62	can be means able to be	nongold
63	a simple machine requires mechanical energy to function	nongold
64	if something comes from something else then that something else is a source of that something	nongold
65	electrical impulses are a kind of electrical energy	nongold
66	a flashlight converts electrical energy; electricity into light energy	nongold
67	forming is similar to converting	nongold
68	closing an electric circuit causes an electrical device to function	nongold
69	to be formed by is similar to being produced by	nongold
70	person is synonymous with human	nongold
71	where something  comes from is a source of that something	nongold
72	energy conversion is similar to energy transformation	nongold
73	if something is a raw material then that something comes directly from a source	nongold
74	as a system; a device grows old , that system; device will use more energy	nongold
75	an object; material; substance comes from that object or material's source	nongold
76	to produce means to create	nongold
77	sound is produced when mechanical energy is transformed into sound energy	nongold
78	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
79	a part of a process means a stage in a process	nongold
80	if something releases something else then that something is the source of that something else	nongold
81	active transport converts chemical energy into mechanical energy	nongold
82	all elements are a kind of pure substance	nongold
83	a heating element converts electrical energy; electricity into heat energy for heating	nongold
84	electromagnetic energy is a kind of energy	nongold
85	electricity is made of moving charges; moving charged particles	nongold
86	if something requires something else then that something requires a source of that something else	nongold
87	a mechanism is a kind of system that performs a function	nongold
88	combustion means fire converts chemical energy into light energy and heat energy	nongold
89	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
90	electrical signals are made of electrical energy	nongold
91	sound is a kind of energy	nongold
92	friction converts mechanical energy into heat energy	nongold
93	an electromagnet is a kind of device	nongold
94	if two things perform the same function then those two things are similar	nongold
95	a physical reaction is a kind of process	nongold
96	electrical current means electrical energy	nongold
97	a complex machine is made of more than one simple machine	nongold
98	if something causes an increase in something else then that something produces that something else	nongold
99	to be made of something means to be formed of that something	nongold
