Question	Which scientific model could be used to predict the properties of an element?	question
Answer	Periodic Table	answer
0	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	gold
1	a Periodic Table is a kind of scientific  model	gold
2	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
3	an atom is the smallest particle; unit that has the properties of an element	nongold
4	an  element is a kind of atom	nongold
5	a table is a kind of object	nongold
6	elements in the same group on the Periodic Table of Elements have similar properties	nongold
7	the Periodic Table is a table displays elements	nongold
8	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
9	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
10	an element is a kind of  substance	nongold
11	an element is made of one kind of atoms	nongold
12	atomic number is a property of elements	nongold
13	structure is a property of an object; a material; a substance	nongold
14	a group; family in the periodic table means a column in the periodic table	nongold
15	the periodic table is arranged in rows and columns	nongold
16	a period in the periodic table means a row in the periodic table	nongold
17	an object has properties	nongold
18	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
19	all elements are a kind of pure substance	nongold
20	the properties of something are used for describing that something	nongold
21	electron configuration is a property of elements	nongold
22	the nitrogen family is a kind of group in periodic table	nongold
23	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
24	an atom is a kind of object	nongold
25	a nonmetal is a kind of element	nongold
26	state of matter is a kind of physical property	nongold
27	the properties of something can be used to identify; used to describe that something	nongold
28	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
29	a physical property is a kind of property	nongold
30	the structure  of an atom can be used for identifying the element	nongold
31	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
32	substances are made of elements	nongold
33	oxygen  is a kind of element	nongold
34	can be means able to be	nongold
35	metals are found on the left side of the periodic table of elements	nongold
36	hydrogen is a kind of element	nongold
37	a property is a kind of information	nongold
38	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
39	an event is a kind of action	nongold
40	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
41	according to is similar to be determined by	nongold
42	an element is a kind of material	nongold
43	a  chemical property is a kind of  property	nongold
44	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
45	a property is similar to a factor	nongold
46	a table is hard	nongold
47	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
48	nonmetals are found to the right of the zigzag line on the periodic table	nongold
49	matter; materials; substances are made of atoms; particles	nongold
50	if a substance is made of one element , then the substance is called an element	nongold
51	knowing the properties of something means knowing information about that something	nongold
52	hypothesis means scientific guess about the cause and effect of an event	nongold
53	answering questions requires information	nongold
54	hydrogen is located on the left side; first column on the periodic table	nongold
55	if a property affects a value then that property is needed to calculate that value	nongold
56	a theory is a kind of scientific term	nongold
57	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
58	carbon is a kind of element	nongold
59	characteristic means property	nongold
60	substances have chemical properties	nongold
61	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
62	a scientist is a kind of human	nongold
63	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
64	to be characterized by  a property means to have that property	nongold
65	what something needs is a property of that something	nongold
66	a living thing is a kind of object	nongold
67	the  property of something is the same for the things of same kind	nongold
68	a process is a kind of event	nongold
69	variable means able to change	nongold
70	something that happens is a kind of event	nongold
71	particles in objects are a kind of matter	nongold
72	a hypothesis is a kind of scientific term	nongold
73	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
74	a motion is a kind of event; action	nongold
75	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
76	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
77	a type is synonymous with a kind	nongold
78	a structure of something is synonymous with a part of that something	nongold
79	increasing is a kind of order	nongold
80	a component of something means a part of that something	nongold
81	a chemical property is the opposite of a physical property	nongold
82	determining often requires measuring; observing	nongold
83	warning  people of something requires knowing about; predicting that something	nongold
84	the effects of something is a property of that something	nongold
85	organizing is sorting something by their properties in order	nongold
86	classifying means grouping objects; materials by their properties	nongold
87	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
88	form means kind	nongold
89	the majority of the elements on the periodic table are metals	nongold
90	state means form	nongold
91	a component means a part of	nongold
92	chemical composition is a kind of property	nongold
93	a change is a kind of event	nongold
94	nonmetal means nonmetals	nongold
95	a type of something is a kind of property of that something	nongold
96	the function of something is what that something  is used to do	nongold
97	state of matter means physical state	nongold
98	the most reactive nonmetals are located on the second column from the right side of the periodic table	nongold
99	An example of a chemical property is the elements a compound is made of	nongold
