Question	A lake has been used for more than a century to irrigate crops. How has this practice most likely affected this resource?	question
Answer	It decreased the volume of the lake.	answer
0	a lake is a kind of body of water	gold
1	affected means changed	nongold
2	an increase is the opposite of a decrease	nongold
3	a decrease is a kind of change	nongold
4	increase means more	nongold
5	damage means harm	nongold
6	irrigation is a kind of practice	gold
7	an increase is a kind of change	nongold
8	impact means effect	nongold
9	crops; farming cause nutrients in the soil to decrease	nongold
10	to reduce means to decrease	nongold
11	to impact means to affect	nongold
12	to lower means to decrease	nongold
13	to change means to have an effect	nongold
14	freshwater is a kind of water	nongold
15	as the cause of something decreases , that something will decrease	nongold
16	runoff is when cropland water enters; runs off into bodies of water	nongold
17	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
18	less is similar to decrease	nongold
19	change is a kind of impact	nongold
20	to cause means to have an effect	nongold
21	less means a reduced amount	nongold
22	if there is a loss of something then that something decreases	nongold
23	to be used for something means to be required by that something	nongold
24	harming something has a  negative impact on; effect on that something	nongold
25	low is similar to decrease	nongold
26	a body of water contains water	nongold
27	as the amount of a source of something decreases , the amount of that something will decrease	nongold
28	planting crops is synonymous with growing crops	nongold
29	water is a kind of natural resource	gold
30	water is a kind of natural resource	nongold
31	a farmer farms crops; plants for  food	nongold
32	water is a part of an environment	nongold
33	decreasing something positive has a negative impact on a thing	nongold
34	a crop is a kind of food	nongold
35	causing is a kind of affecting	nongold
36	as the use of a crop increases , the amount of  crops planted will increase	nongold
37	planting crops requires growing crops	nongold
38	freshwater is drinkable	nongold
39	a body of water is a kind of environment	nongold
40	a source of something increases the amount of that something	nongold
41	farming is when a human plants crops for food	nongold
42	using resources decreases those resources	nongold
43	farming changes the environment	nongold
44	decreasing something negative has a positive impact on a thing	nongold
45	a body of water is a source of water	nongold
46	crops grow in soil	nongold
47	flooding decreases the availability of food	nongold
48	if something is required for a process then that something positively impacts that process	nongold
49	irrigation causes water levels to decrease	gold
50	to depend on; to rely on; to need means to require	nongold
51	pollution has a negative impact on the environment; air quality; water quality; society	nongold
52	runoff is a kind of water	nongold
53	adverse effect means negative impact	nongold
54	as the use of something decreases , the use of the source of that something will decrease	nongold
55	most means over 50% of something	nongold
56	a factor impacts something	nongold
57	if something is eliminated then the amount of that something decreases	nongold
58	humans cause pollution	nongold
59	if something affects a part of something else then that something affects that something else	nongold
60	damage has a negative impact on a thing	nongold
61	water is a renewable resource	nongold
62	irrigation depletes nutrients in the soil	nongold
63	reducing is a kind of change	nongold
64	negative impact is the opposite of positive impact	nongold
65	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
66	little is similar to decrease	nongold
67	an environment means an area	nongold
68	lakes are formed by precipitation and runoff	nongold
69	if a plant; crop requires less water then that plant; crop will survive in a drought	nongold
70	high is similar to increase	nongold
71	cropland is used for farming by humans	nongold
72	accumulation means increase	nongold
73	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
74	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
75	planting crops is a kind of activity	nongold
76	centuries are a kind of unit for measuring time	nongold
77	crops growing well has a positive impact on a farmer's livelihood	nongold
78	irrigation requires water use	gold
79	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
80	crops are a kind of edible plant for eating	nongold
81	a natural resource is a kind of environmental factor	nongold
82	producing crops requires using farm land	nongold
83	to limit means to decrease	nongold
84	if something emits something else then that something increases the amount of that something else	nongold
85	requiring something means needing that something	nongold
86	greatest means largest; highest; most amount of something	nongold
87	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
88	a negative impact is a kind of consequence; risk	nongold
89	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
90	flooding is a kind of change	nongold
91	to change means to cause a change	nongold
92	erosion is a kind of change	nongold
93	food is a kind of resource	nongold
94	a plants; living things require water for survival; to grow	nongold
95	fresh water means freshwater	nongold
96	corn is a kind of crop	nongold
97	if something releases something else then that something else decreases in that something	nongold
98	pollution is a kind of environmental problem	nongold
99	to hurt means to harm	nongold
